date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,41770.0,,2855296731521.96,,30.0068495774848,31.769657960321,84.0117031525811,17.2685978176667,,1.89987433815344
2017,41370.0,5.55070464321649,2666229179958.01,,30.3661254439058,31.579013422524,83.678120083971,17.5246311303892,36.0323353125768,1.89018977325797
2016,42990.0,5.55070464321649,2694283209613.29,114.972244759278,28.4392368950012,30.059048479087,84.2190271107839,17.4007343600208,36.6025400417644,2.14028304115553
2015,44280.0,5.6198157124783,2928591002002.51,105.159904345358,27.6514218820426,29.0316741231658,83.9668923092333,17.4133599318899,37.6917161911757,0.581008064602756
2014,44320.0,5.65096716904509,3063803240208.01,106.213063195636,28.5020548195346,29.8963352674917,84.2841214975155,17.1101589504416,38.5955904625438,1.8258425023499
2013,42740.0,5.37,2786022872706.81,95.1373344728072,29.952601103524,31.2292345754384,84.9760592646129,16.3005742073016,39.3126907501169,1.89559598104464
2012,41700.0,5.25999999999995,2704887678386.72,99.2474541864522,29.9751039670716,31.1473140842167,85.3331238710499,15.8390278458303,41.6234456039493,1.66179081780014
2011,41070.0,5.15,2659310054646.23,95.2504060769353,30.7000187976267,31.6048353279704,85.2486227123529,15.6561938179908,41.0169636531019,2.04014405047744
2010,41650.0,5.5,2475244321361.11,81.6963569500982,28.2750712111101,30.2714168623164,85.9077848116674,16.0884984147218,42.2835122948799,1.53346134923196
2009,44220.0,4.95,2410909799034.12,68.9327025781826,26.3730781880932,27.9787640309312,86.6592183969247,14.9464028281886,41.6825680117708,1.65328042296832
2008,48580.0,4.81,2922667279411.76,55.2461081644424,26.9894102322679,29.1406985586167,84.6815993901622,17.4696889361865,39.3001960462435,2.87728398919074
2007,47650.0,4.8,3100882352941.18,44.653866478774,25.2397534941132,27.219272419202,83.4327964326203,18.546657968888,36.4818259657083,2.58471940922304
2006,45230.0,4.69,2713749770009.2,43.6238366341836,27.1010757849732,29.1548779156607,83.857936990609,18.1958651400785,36.305895290805,2.76729132467976
2005,42890.0,4.73,2538680000000.0,44.1499304577755,24.973608331889,27.3761453697483,84.5682151211009,17.8343219167585,36.2511942498392,2.50858200335027
2004,37860.0,4.33994754151704,2416931526913.22,42.7380526736801,23.7127005866098,26.2612413341737,84.9113116303874,17.6372291171765,35.7511544335095,2.54808668445961
2003,32300.0,4.50920912474843,2053018775510.2,39.3492032439637,23.8566363996393,26.0590676228693,84.3365349899879,17.8659757577493,35.191662014483,2.25621773581899
2002,29260.0,4.31655551007607,1784473920863.31,39.4416769345902,24.1114361570333,26.687194114569,84.1894135818801,18.3863443756557,33.8107392820937,2.11297234696974
2001,29020.0,3.80088904890832,1640246149417.01,38.4757419838365,25.0363543338666,27.2372724727705,83.8282232493973,18.3726071301007,32.6199078701758,0.996185042667335
2000,29220.0,3.862106251907,1657816613708.58,42.6074543810027,25.1989000146945,26.9330288568166,83.2822678024298,18.4518610396924,32.251054395971,1.86066886475538
1999,28150.0,3.84104273819062,1682399288141.08,42.7043795936305,23.9240458855784,25.3116913214943,83.1869878669976,18.2006575689183,31.744288584092,0.908178935229301
1998,26840.0,4.04688889111912,1650172242464.39,46.2182875105131,24.1694383835789,24.7867768528685,82.4047998040896,18.2125386652,32.0501137123209,0.950320268149056
1997,25290.0,5.3293328,1559078258022.27,44.9699407215277,25.5504392067501,25.0520589949437,81.7157678636123,17.7858519245814,32.7392534797881,1.06846299380517
1996,22880.0,5.0,1415358814352.57,43.6283473593131,26.1507090146543,25.9826177052505,81.0782093039918,18.7536993866045,33.8570066520069,4.12017859987171
1995,21230.0,5.1,1341584345905.0,43.922334802073,25.5551294929672,25.2825931998843,81.1786459521832,18.5488177547338,35.0640230920695,10.1515155867401
1994,21860.0,5.2,1140489745944.29,40.4800884599488,25.7897769177505,25.817001943113,88.2500931298611,19.3755153140919,37.079774985373,1.34585270471877
1993,21320.0,5.2,1061388722255.55,35.3135500060757,24.5575996631503,24.9247305484829,88.6662635962099,18.3750890306245,37.368983262073,2.69645465925565
1992,21440.0,4.5,1179659529659.53,30.3997500632281,22.670278858027,23.3903633158278,88.4957002395227,18.8303080768258,37.6406266271925,3.35191878294611
1991,19350.0,4.3,1142797178130.51,29.1948960284953,22.3459285981055,22.727825163666,86.9281533907643,19.590184886244,34.7840781769414,6.40270809687844
1990,18530.0,4.2,1093169389204.55,30.2033709452908,23.071900651807,24.9286570955686,85.3592494717163,22.9646425293947,32.583043271347,7.88026002682429
1989,17350.0,4.2,926884816753.927,,22.3908804756122,26.0448510887678,84.6881498714943,25.8357418201203,29.6546233795577,7.94518065997671
1988,16130.0,4.4,910122732123.799,,21.9255464155678,25.1984043262174,85.7389558915788,25.2006820202826,30.9724412757416,6.10724560211857
1987,12670.0,4.4,745162608269.325,,24.3463175243714,25.2851721075083,86.1271387496847,22.5067508032415,33.1374118627526,5.53268946038052
1986,10230.0,4.5,601452653180.885,,24.827397681271,25.4317140656721,87.521297601088,21.5708481858883,34.9778582587354,4.3452857785355
1985,9140.0,4.6,489285164271.047,,27.8753657826471,26.7732143653394,85.5818849262035,21.8143352804321,35.9327582091588,5.46292864494986
1984,9250.0,4.7,461487097632.349,,27.5230305868925,27.5871744017801,86.6544777861684,21.9998767531547,36.8195626985179,5.02264238343048
1983,9840.0,4.9,489618008185.539,,25.7457920254117,24.7883366305367,86.867065519921,20.8960892071542,36.8816195615493,5.12280021344831
1982,10640.0,5.0,515048916841.37,,25.6164707917534,23.7189678916198,86.981923857076,19.9802777683556,37.6715488409641,7.40250324277415
1981,10640.0,5.2,540765675241.158,,25.9634663767954,23.1453876656075,87.0897094969991,19.1892123306762,37.4844380028615,11.5505630389205
1980,9530.0,5.0,564947710899.373,,26.5989711925692,24.4224676980794,86.2576682970172,21.2727498076899,35.5598793897086,19.6996936662269
1979,7560.0,5.0,438994070309.191,,27.3607435851669,27.0035449339823,85.3350635573801,24.7464180170097,33.9799221391943,14.0745938722303
1978,5930.0,5.2,335883029721.956,,27.9938376255259,26.6875857915199,85.6156358363353,24.5960466536883,34.4890187996323,11.4597308652222
1977,5220.0,5.6,263066457352.172,,29.6504939131127,28.9593824925737,86.6882116618926,25.211329036707,34.5281667727562,13.7269662797096
1976,5010.0,5.8,232614555256.065,,27.9924538431827,29.1256186172267,89.509876786404,25.8351571263036,36.4449594438007,15.1146458507401
1975,4870.0,5.7,241756637168.142,,25.3841253180079,27.100059300474,90.9904916997639,23.7326105020407,36.489009279426,25.7791617704287
1974,4360.0,4.7,206131369798.971,,26.8020871369765,31.6503228513432,88.9815886281936,27.5011902520894,33.2535749520883,15.0344285325215
1973,3900.0,4.8,192537971582.558,,22.4318800417335,24.7729756724432,85.0324990457287,26.9573706644273,28.8380792426903,8.4304232846746
1972,3200.0,4.5,169965034965.035,,20.6201331295736,20.7405429511858,85.8077218091516,22.985500484909,29.5118582302289,7.20851491858518
1971,2760.0,4.4,148113896325.14,,21.8747205060795,20.5381156753204,84.5932571475518,23.6030856063096,,8.00690645434754
1970,2470.0,4.4919171,130671946244.3,,21.7920412848249,20.9759523241079,84.0196080880057,24.1804705147748,,9.2470363584017
1969,,,116464702803.218,,,,,,,6.03768329437206
1968,,,107759910067.889,,,,,,,3.96245661664602
1967,,,113116888210.787,,,,,,,2.76872543338511
1966,,,108572752102.045,,,,,,,4.97569613002375
1965,,,101824755078.991,,,,,,,5.5945492049629
1964,,,94407558351.1616,,,,,,,3.34481151557213
1963,,,86561961812.3249,,,,,,,1.58914803567856
1962,,,81247564156.8246,,,,,,,3.36920532629799
1961,,,77741965703.3544,,,,,,,3.38779649664617
1960,,,73233967692.1028,,,,,,,
