date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,63080.0,,20544343456936.5,,12.2186917545542,15.3252110810918,82.2755910181834,21.005572697155,22.367647861964,2.43595060727107
2017,59030.0,4.40382903418674,19485393853000.0,,12.094833790784,15.0474864512352,82.468304829907,20.6589870872958,22.3227676731323,1.90077753786528
2016,57160.0,4.40382903418674,18707188235000.0,99.0171145300394,11.8703515039496,14.6436490913943,82.4277053627456,20.3875694844635,22.5706239064847,1.09352542352599
2015,56720.0,4.40382903418674,18219297584000.0,96.8479213792285,12.4417529794929,15.2950188510407,81.7843055216656,21.0990516087505,22.489855501336,1.06934165915725
2014,55830.0,4.40382903418674,17521746534000.0,96.3722706936402,13.535773933254,16.4330764311238,82.1160777099505,20.8126797915019,22.7401971160143,1.89189129365117
2013,53940.0,4.4135093579806,16784849190000.0,96.0756025714402,13.5445244354918,16.4684827889121,82.5102200396952,20.4137431395057,23.0229104608357,1.75491574826864
2012,52760.0,4.50200166934699,16197007349000.0,94.163413471203,13.5289189711659,17.0392649736644,83.4894601738567,20.0208898479027,23.9997742560758,1.91784900672151
2011,50570.0,5.05,15542581104000.0,90.0547850215033,13.5305390136184,17.2587550423633,84.6247023707987,19.1035258566922,25.4433402890995,2.08890377669013
2010,48990.0,4.84096628264901,14992052727000.0,85.4642738610747,12.3150580752357,15.7428942052039,84.6847275098968,18.7431037708356,26.1594430823802,1.16525054526011
2009,47730.0,4.71215385260814,14448933025000.0,76.1779363289699,10.9488776594284,13.6926857960849,84.9392199324697,17.8045811102374,25.6340138997911,0.762349987094908
2008,48980.0,4.71428397393142,14712844084000.0,64.0622298869459,12.4860631262841,17.4007349318961,83.7956613256529,21.1190167058118,22.8815678381385,1.94513174792792
2007,48500.0,4.60755913332684,14451858650000.0,55.745971470597,11.4923141737205,16.4634878988385,82.3786842116671,22.5924919352847,20.9001933464108,2.6862788620527
2006,47880.0,4.68841276947343,13814611414000.0,55.4711368300526,10.6598220961005,16.2403265120172,82.0412942525059,23.5391854504464,20.5994762698578,3.02620465117329
2005,46190.0,4.44733636935943,13036640229000.0,56.5499612668647,10.0119737683374,15.5440202721268,82.1517109613565,23.3803031030933,20.752411299821,3.11494234269192
2004,43510.0,4.68150127233305,12213729147000.0,56.6783896767545,9.64186274172664,14.7105439982785,82.4101130691301,22.6585751713657,20.4577330144392,2.69221212444054
2003,39770.0,4.92348521694498,11458243878000.0,56.2416463518739,9.04306987207242,13.434030697806,82.6487470578517,21.7422235599583,20.6650584959735,1.85709520256464
2002,37310.0,4.76279807957674,10936419054000.0,53.831020656133,9.13224881991615,13.022022958046,82.1816259565578,21.7081385440482,20.0812815342582,1.58176300748477
2001,36710.0,4.7469178199512,10581821399000.0,15.1658484819226,9.68298331038577,13.1599745213201,81.3000586157408,22.1769477249141,19.5159096164216,2.1934253421126
2000,35960.0,4.51375828866931,10252345464000.0,33.263120248676,10.6927239610622,14.3509112638306,79.9830441609083,23.6751483699321,17.9240936276745,2.23547440913843
