date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,2360.0,,245213686369.157,,105.831805095761,102.474860762582,74.0420277962417,26.5330550389259,,3.39810502289512
2017,2120.0,4.60305015866341,223779865815.183,,101.593435844166,98.7911445822242,74.5420023072429,26.5821143733239,,4.0857881868029
2016,2080.0,4.60305015866341,205276172134.901,,93.6239390610103,91.0623392504064,75.0522849122966,26.5780582592839,,1.11064918600108
2015,1970.0,4.60305015866341,193241108709.536,,89.7792486373269,88.9881660784447,74.2949565237301,27.676727733944,,-0.190788132148072
2014,1880.0,4.60305015866341,186204652922.262,,86.4047593411237,83.1297538559053,72.0708933998602,26.8326723983813,,3.66238381086517
2013,1720.0,4.60305015866341,171222025117.381,,83.6261411693676,81.4680958032644,71.6131521635416,26.6756169052374,,4.76065483992902
2012,1540.0,4.58664230796408,155820001920.492,,80.028618800839,76.52531152372,70.4261298772208,27.2433235893424,,10.9260338090746
2011,1370.0,3.87201604435914,135539438559.709,,79.3908729873232,83.5236772810337,72.2585147560326,29.7506367181317,,21.2606592938748
2010,1250.0,5.36,115931749697.241,,72.0023560728659,80.2150125033135,72.5545316864922,35.6938087743787,,12.0742957047761
2009,1010.0,4.1593139815076,106014659770.222,,62.6088840664865,72.0974336552711,74.2719919697051,37.1625554335215,,6.21562314856034
2008,980.0,4.0369651468251,99130304099.1274,,70.3366919402715,83.9807876874868,76.4993221113,36.4931217965814,,22.6733161756431
2007,840.0,3.91461631214258,77414425532.2452,,70.517874602272,84.0875093942824,73.6614400903455,39.5662708970146,,9.63022561430115
2006,720.0,3.79226747746007,66371664817.0436,,67.7168143260187,70.5968075435795,70.6210170832686,34.5366510764767,,8.56894797475248
2005,630.0,3.66991864277755,57633255618.2731,,63.6994926701393,67.0153533748869,70.9538611008084,33.7574028912441,,18.8105195726821
2004,580.0,3.54756980809503,45427854693.2554,,59.7310414145255,73.2854564543616,71.4687539755657,35.46533166878,,8.43331212914981
2003,500.0,3.42522097341256,39552513316.0734,,56.6732579154217,67.6546965243715,72.5774032795223,35.444857957463,,7.10960246172272
2002,450.0,3.30287213873004,35064105500.8345,,54.7391336889888,61.9577349644058,71.3258872409764,33.2205344910613,,4.69892816585804
2001,430.0,3.18052330404752,32685198735.3053,,55.0619332822697,56.8940047164421,71.1844087306122,31.1727734549497,,2.62226478486534
2000,410.0,3.058174469365,31172518403.3162,,53.9214970086223,57.4955974111619,72.8757873953347,29.6099138223826,,3.40882766179919
1999,360.0,2.93582563468249,28683659006.7752,,49.966245972491,52.8211606311665,75.433437848488,27.6297563146656,,5.73470283230849
1998,340.0,2.8134768,27209602050.0452,,44.8483033771263,52.152945134772,78.5126462188761,29.0498785375758,,8.83786412251837
1997,330.0,2.6,26843700441.5482,,43.1027067532993,51.2417773167147,79.8997522503133,28.2995826198971,,6.59740478181993
1996,300.0,2.6,24657470574.7501,,40.8684874256348,51.8372593767369,82.7945566028026,28.1028981458336,,8.69676712081593
1995,250.0,2.7,20736164458.9505,,32.8128553337382,41.9084105865648,81.7997134019538,27.1442426996138,,17.0401954191466
1994,190.0,2.3,16286433533.3228,,34.0131286445719,43.460069298453,82.9180991768515,25.4758191837969,,16.9523160278167
1993,160.0,2.3,13180953598.1716,,28.7227826669423,37.4894844842362,83.2173576797758,24.2553007628798,,17.4149746300953
1992,130.0,2.3,9866990236.43587,,34.7455958181341,38.8312893079832,86.2320425438787,17.6401405813701,,32.6291844603741
1991,110.0,2.3,9613369520.41885,,30.9150393377397,36.0319130560444,89.8992273589112,15.0703324306778,,72.546384595749
1990,130.0,2.3,6471740805.56984,,36.0386136391372,45.2770843017519,97.094503636277,12.5658443668216,,42.0950981304515
1989,210.0,2.3,6293304974.59403,,23.8493577901968,34.0551043647884,95.5750532460043,14.6306911981632,,69.6887253542157
1988,,2.3,25423812648.5941,,3.94529822568093,15.0051888612192,,17.8443579831388,,411.0402533139
1987,,2.3,36658108850.3149,,6.0014283728223,14.7971782020906,,13.5609751463415,,362.5563211743
1986,,2.3,26336616250.4397,,6.62253929883138,16.5961550250417,,14.4240373288815,,398.073085598503
1985,,2.3,14094687820.7445,,,,,,,
1984,,2.3,,,,,,,,
1983,,2.3,,,,,,,,
1982,,2.3,,,,,,,,
1981,,2.3,,,,,,,,
1980,,2.3,,,,,,,,
1979,,2.3,,,,,,,,
1978,,2.3,,,,,,,,
1977,,2.3,,,,,,,,
1976,,2.3,,,,,,,,
1975,,2.3,,,,,,,,
1974,,2.3,,,,,,,,
1973,,2.3,,,,,,,,
1972,,2.3,,,,,,,,
1971,,2.3,,,,,,,,
1970,,2.3,,,,,,,,
1969,,,,,,,,,,
1968,,,,,,,,,,
1967,,,,,,,,,,
1966,,,,,,,,,,
1965,,,,,,,,,,
1964,,,,,,,,,,
1963,,,,,,,,,,
1962,,,,,,,,,,
1961,,,,,,,,,,
1960,,,,,,,,,,
