date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,,,,,,,,,,
2017,,9.3561772,3855000000.0,,72.503242542153,78.5732814526589,,,,1.51515521896897
2016,,9.3561772,3863000000.0,,72.353093450686,78.4105617395806,,,,2.14451548721834
2015,,9.3561772,3748000000.0,,74.5731056563501,80.8164354322305,,,,3.27820083126784
2014,,9.3561772,3622000000.0,,77.167310877968,83.6278299282165,,,,-2.88015567014021
2013,,9.3561772,3762000000.0,,67.1185539606592,73.2323232323232,,,,-2.44353016249069
2012,,9.3561772,4095000000.0,,80.04884004884,76.043956043956,,,,13.6763074002089
2011,,9.3561772,4239000000.0,,339.018636470866,336.659589525832,,,,6.37377624974076
2010,,9.3561772,4339000000.0,,298.340631481908,284.973496197281,,,,2.31077576043408
2009,,9.3561772,4203000000.0,,254.984534856055,252.081846300262,,,,5.92941176470572
2008,,9.3561772,4250000000.0,,433.223529411765,427.576470588235,,,,-12.3391431369758
2007,,9.3561772,4803000000.0,,294.420154070373,262.502602540079,,,,2.50211570781131
2006,,9.3561772,4504000000.0,,282.637655417407,265.652753108348,,,,-2.08589146617139
2005,,9.3561772,4439000000.0,,262.041000225276,238.612300067583,,,,12.751119638051
2004,,9.3561772,3799000000.0,,226.480652803369,207.159778889181,,,,6.87841074561524
2003,,9.3561772,3453000000.0,,188.821314798726,171.879525050681,,,,5.98272549845848
2002,,9.3561772,3269000000.0,,147.109207708779,134.567145916182,,,,
2001,,9.3561772,,,,,,,,
2000,,9.3561772,,,,,,,,
1999,,9.3561772,,,,,,,,
1998,,9.3561772,,,,,,,,
1997,,9.3561772,,,,,,,,
1996,,9.3561772,,,,,,,,
1995,,9.3561772,,,,,,,,
1994,,9.3561772,,,,,,,,
1993,,9.3561772,,,,,,,,
1992,,9.3561772,,,,,,,,
1991,,9.3561772,,,,,,,,
1990,,9.3561772,,,,,,,,
1989,,9.3561772,,,,,,,,
1988,,9.3561772,,,,,,,,
1987,,9.3561772,,,,,,,,
1986,,9.3561772,,,,,,,,
1985,,9.3561772,,,,,,,,
1984,,9.3561772,,,,,,,,
1983,,9.3561772,,,,,,,,
1982,,9.3561772,,,,,,,,
1981,,9.3561772,,,,,,,,
1980,,9.3561772,,,,,,,,
1979,,9.3561772,,,,,,,,
1978,,9.3561772,,,,,,,,
1977,,9.3561772,,,,,,,,
1976,,9.3561772,,,,,,,,
1975,,9.3561772,,,,,,,,
1974,,7.8783174,,,,,,,,
1973,,7.8783174,,,,,,,,
1972,,7.8783174,,,,,,,,
1971,,7.8783174,,,,,,,,
1970,,6.4004577,,,,,,,,
1969,,,,,,,,,,
1968,,,,,,,,,,
1967,,,,,,,,,,
1966,,,,,,,,,,
1965,,,,,,,,,,
1964,,,,,,,,,,
1963,,,,,,,,,,
1962,,,,,,,,,,
1961,,,,,,,,,,
1960,,,,,,,,,,
