date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,3710.0,,14615900000.0,,19.8653521165306,59.7356303751394,115.890229134025,24.1928310949035,,-0.0919257869906431
2017,3520.0,,14498100000.0,,18.5727785020106,55.6397045130052,114.873673101993,22.8002289955236,8.30515403684311,4.69984248525338
2016,3460.0,,13425700000.0,,17.7346432588245,56.8067214372435,118.191230252426,21.0566301943288,7.66989145495315,1.17561060159612
2015,3380.0,,12673000000.0,,18.4494594807859,59.4776296062495,120.213051369052,21.1268050185434,7.65536757218148,-3.63898282424738
2014,3270.0,,12715600000.0,,17.0837396583724,56.6933530466514,120.470917613011,18.9924187612067,8.18798771532397,2.10620933756528
2013,3190.0,,12476000000.0,,16.6062840654056,54.5367104841295,115.776691247195,21.7000641231164,7.56006226981838,8.20926380590892
2012,3020.0,,11279400000.0,,16.5886483323581,55.8531482171037,117.784633934429,21.0871145628314,7.21404542292211,1.40545356445034
2011,2720.0,,10465400000.0,,17.1938005236303,54.6868729336671,119.390563189176,17.809161618285,8.42143830787998,4.44990734880852
2010,2330.0,,8913100000.0,,15.3403417441743,59.0625035060753,121.792642290561,21.5581559726694,9.39658247886469,13.4435673074756
2009,2080.0,,7268200000.0,,15.5925813819102,68.0113370573182,130.938884455574,20.7038881703861,10.5332305829716,0.228994128575025
2008,1900.0,,6673500000.0,,17.4571064658725,69.6081516445643,131.093129542219,20.5574286356485,12.6802708926528,14.2622088792653
2007,1700.0,,5505800000.0,,19.3668495041593,77.8106723818519,135.319118020996,21.8841948490683,9.89460915776106,5.19890394987506
2006,1570.0,,4910100000.0,,14.9956212704426,75.0168021017902,136.345491945174,23.5249791246614,10.5032704554667,5.74520960498364
2005,1660.0,,4831800000.0,,14.969576555321,73.9662237675401,133.482346123598,25.6902189660168,8.64507813739045,0.731752882188545
2004,1510.0,,4329200000.0,,13.7854568973482,72.4706643259725,131.021897810219,26.5984477501617,,-1.12399201143576
2003,1370.0,,3968000000.0,,12.9813508064516,63.4173387096774,121.927923387097,28.8054435483871,,-2.12561423501401
2002,1190.0,,3555800000.0,,13.437201192418,62.8156814219022,123.283086787783,26.1685134147027,,1.48786178815847
2001,1370.0,,4003700000.0,,15.3832704748108,67.3427079951045,121.93221270325,29.5776406823688,,2.34468924860593
2000,1550.0,,4313600000.0,,20.5165059347181,67.1225890207715,115.117303412463,31.5026891691395,,10.442344704719
1999,1800.0,,4271200000.0,,17.5969282637198,78.7483611163139,117.833395766998,42.875538490354,,-3.02934111792094
1998,1780.0,,4067800000.0,,18.0539849550125,70.9376075519937,118.130193224839,34.4682629431142,,-5.37221425123859
1997,1630.0,,3759800000.0,,17.2961327730198,73.0411192084685,120.626097132826,35.0417575402947,,-3.83389902861346
1996,1470.0,,3409600000.0,,16.0136086344439,73.2549272641952,121.234162365087,36.46175504458,,2.61562183210415
1995,,,3282800000.0,,17.1225782868283,74.3633483611551,118.496405507494,38.0589740465456,,7.78472282145071
1994,,,2843300000.0,,14.5429606443217,71.912918088137,116.730559561073,40.2630745964196,,
1993,,,,,,,,,,
1992,,,,,,,,,,
1991,,,,,,,,,,
1990,,,,,,,,,,
1989,,,,,,,,,,
1988,,,,,,,,,,
1987,,,,,,,,,,
1986,,,,,,,,,,
1985,,,,,,,,,,
1984,,,,,,,,,,
1983,,,,,,,,,,
1982,,,,,,,,,,
1981,,,,,,,,,,
1980,,,,,,,,,,
1979,,,,,,,,,,
1978,,,,,,,,,,
1977,,,,,,,,,,
1976,,,,,,,,,,
1975,,,,,,,,,,
1974,,,,,,,,,,
1973,,,,,,,,,,
1972,,,,,,,,,,
1971,,,,,,,,,,
1970,,,,,,,,,,
1969,,,,,,,,,,
1968,,,,,,,,,,
1967,,,,,,,,,,
1966,,,,,,,,,,
1965,,,,,,,,,,
1964,,,,,,,,,,
1963,,,,,,,,,,
1962,,,,,,,,,,
1961,,,,,,,,,,
1960,,,,,,,,,,
