date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,11123.7729413762,,85910601849095.8,,30.1053597986183,29.3378960857406,,24.3829487296733,27.1402579898529,2.7536470741022
2017,10447.3065746943,3.97170293495747,80951412132502.3,,29.4305112681118,28.5885864457306,,24.318583239398,26.7772940743802,3.40263633372714
2016,10394.6088736048,3.98803888838761,76164616246717.9,,28.4620272489972,27.653625747725,,24.0716938489233,27.0605898825182,1.81347002127168
2015,10655.1102004748,4.00567980186319,75050176318824.8,,29.3160357292535,28.5587087145111,,24.5076077466654,27.3207169159638,2.03051217871905
2014,10993.3509241379,4.06477894329794,79333432907873.6,,30.1832837050589,29.6012239930099,,24.5930067229128,27.3333243985606,1.95793623476759
2013,10873.7128604776,4.08274779961995,77237062496074.3,,30.4059038316578,29.696504919666,,24.4011095466922,27.5924863613445,2.30800000946725
2012,10496.6777627704,4.12557373928445,75085219051414.4,,30.6327998486446,29.948418678124,,24.503143559201,27.9472880252612,3.57651352093811
2011,9899.90609042171,4.24092918983744,73393195809480.6,,30.5638440766767,29.9733180666645,,24.6400154648325,27.9660415267668,5.66265674725217
2010,9411.01276279009,4.25320434330397,66051234056873.6,,28.968666388328,28.1642838692283,,24.2983447902069,28.7789310888269,4.22978499907933
2009,8981.54225923515,4.23625310137014,60334174014009.6,,26.5657146724801,25.8488865488741,,23.4768928282347,28.7939804116278,2.34574281990109
2008,8951.53992589348,4.14262597926315,63611551585506.7,,30.7640262100174,30.1355208965091,,25.7014701643024,26.2527072261916,7.89117664676449
2007,8361.61170019309,4.10675087225982,57968240150757.7,,30.0960007123536,28.9706022220402,,25.8765928475412,25.1675151928008,5.38532704891408
2006,7844.72239457655,4.1584774782922,51448204042310.8,,29.8444809600225,28.6287182120889,,25.499585396917,25.3347729026251,5.74520960498364
2005,7353.08728601957,4.11848604085806,47457320830071.6,,28.6455793098307,27.581584999416,,25.0240503243453,25.4741692505538,5.78125184255491
2004,6635.64060908007,4.1951119641076,43816491277275.7,,27.5072914906298,26.6045040920666,,24.7820105935872,25.0961444733291,5.65948509574096
2003,5823.65985399452,4.30490078314455,38902286267512.5,,25.8346655111806,24.9730170092531,,23.9228225796141,25.6128047266579,3.93354520267644
2002,5422.29396799763,4.21130600125569,34673878373799.4,,25.3008991910518,24.3313087573526,,23.4594920407178,25.3163319437144,3.40737870420769
2001,5464.09303923601,4.17377031027131,33395831094306.3,,25.3139256447239,24.6673467526908,,24.0420751951238,25.1154056070492,3.72253247753254
2000,5488.27617070689,4.05219942090546,33587697817382.8,,26.0267848120661,25.1029862581964,,24.5400424526985,24.2233110669822,4.49379471619187
1999,5304.67472213371,3.99709969619663,32542676561717.9,,23.7222480047954,22.8551271047871,,24.1827354901157,24.3966489050776,4.08471548975844
1998,5299.29290888048,4.04368354447212,31378241723508.0,,23.3867060668585,22.677527325644,,24.5018791294395,25.0153202273763,4.61694348715238
1997,5531.57282043986,4.38024489864094,31439644761511.3,,23.1711024990181,22.4761716259576,,24.7585147681629,25.0612842275611,5.02297720216438
1996,5488.49873454184,4.3200615272769,31554591937227.5,,22.05209096739,21.6392125224066,,24.7345002052435,26.0017269246822,5.94282760341623
1995,5241.85686361479,4.31598747415629,30871294151487.4,,21.862075271686,21.5428117335984,,24.8865013786807,26.4582288075842,8.19191405876813
1994,4944.22744979617,4.54891324718057,27758028392044.0,,20.8780581194703,20.493689062798,,25.0134294937548,25.9716038863344,9.69466004899225
1993,4752.06513854527,4.45714855904305,25846623922777.5,,20.1564696461913,20.2049288971976,,25.000944453135,27.8361147621129,7.03444737018738
1992,4676.26061217492,4.45064684408189,25441503399414.4,,20.6688814589981,20.4252075984908,,25.2757569748107,27.3810311986722,6.26513151051917
1991,4363.2220652606,4.14798989137993,23956128953993.8,,19.2096520961491,19.335543982186,,25.4528653161013,27.1355116971137,8.24678889935375
1990,4214.39942159359,4.08423373129413,22617067157899.3,,19.3459535401861,19.5131681447056,,25.9784498829085,24.6005093629286,7.78730982453642
1989,4063.08849663107,4.06729052670915,20080133258366.4,,19.1263205491791,19.6162524894018,,26.6959687054871,24.7060085652012,7.1477388276425
