date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,6.88600015640259,,,,,
2018,7.01900005340576,50.9747016426956,46.8089247095412,2.21637364776329,50.0,59.0
2017,7.11899995803833,50.8077871356001,46.9530162996215,2.23919656477835,42.0,52.0
2016,7.22300004959106,50.6856291078069,47.0533524343201,2.26101845787304,45.0,55.0
2015,7.28200006484985,50.6151669639,47.108971147683,2.27586188841703,51.0,55.0
2014,7.33099985122681,50.5197967810515,47.1771593108235,2.303043908125,56.0,55.0
2013,7.40000009536743,50.4717924862605,47.2054250456675,2.32278246807198,59.0,54.0
2012,7.37900018692017,50.4679776282642,47.1960194569596,2.33600291477621,65.0,52.0
2011,7.36199998855591,50.5080352679062,47.1445349901888,2.34742974190506,57.0,46.0
2010,9.43000030517578,50.5976302869905,47.0416136223261,2.36075609068341,62.0,52.0
2009,3.78200006484985,50.5645994202524,47.0409736824374,2.3944268973102,46.0,34.0
2008,3.61199998855591,50.5456950462936,47.0222534174387,2.43205153626762,48.0,41.0
2007,3.63700008392334,50.5390889409574,46.9903823243825,2.4705287346601,58.0,43.0
2006,3.71199989318848,50.549459275259,46.9468311531655,2.50370957157556,21.0,8.0
2005,3.79999995231628,50.5896230662746,46.8840207800901,2.52635615363534,21.0,15.0
2004,3.84200000762939,50.4863247405327,46.9589397032596,2.55473555620772,43.0,19.0
2003,3.875,50.38343172762,47.0452439340078,2.57132433837216,44.0,22.0
2002,3.87100005149841,50.2959830227227,47.1271104512211,2.5769065260562,59.0,27.0
2001,3.83500003814697,50.2413082499196,47.1839581280336,2.57473362204677,60.0,26.0
2000,3.83699989318848,50.2332869567105,47.1998337589894,2.5668792843,32.0,19.0
1999,3.84999990463257,50.0804727132996,47.3489382183719,2.57058906832848,40.0,13.0
1998,3.81800007820129,49.956245608203,47.4728347435588,2.57091964823826,59.0,43.0
1997,3.82100009918213,49.8728110078492,47.560203798254,2.56698519389681,78.0,41.0
1996,3.8289999961853,49.8431224163182,47.6002413490604,2.55663623462134,62.0,28.0
1995,3.81900000572205,49.878445682337,47.5836498937341,2.53790442392891,46.0,24.0
1994,3.81599998474121,49.7952383142249,47.6743677143833,2.53039397139179,44.0,27.0
1993,3.80399990081787,49.764371819945,47.7184521449977,2.51717603505731,47.0,30.0
1992,3.74000000953674,49.7845997342575,47.7157490744915,2.49965119125101,39.0,21.0
1991,3.70799994468689,49.8515826032066,47.666676381824,2.48174101496942,39.0,26.0
1990,,49.9704601116135,47.5625709695818,2.46696891880464,38.0,24.0
1989,,49.8980905520902,47.6266102779652,2.47529916994456,48.0,18.0
1988,,49.8190376805309,47.6862681321461,2.49469418732297,56.0,12.0
1987,,49.7680660476647,47.7109713029446,2.52096264939074,55.0,10.0
1986,,49.8255978060701,47.629167942089,2.5452342518409,44.0,10.0
1985,,50.0480576334243,47.3922648240107,2.55967754256501,44.0,8.0
1984,,50.1509867023119,47.2725563233339,2.57645697435421,35.0,8.0
1983,,50.4306055897676,46.9859979892426,2.58339642098982,26.0,6.0
1982,,50.8201319118279,46.5985848239966,2.58128326417549,,
1981,,51.1554496145222,46.2708290752584,2.5737213102194,,
1980,,51.327594572014,46.1091684990174,2.56323692896865,,
1979,,51.3537055474967,46.0674749912107,2.57881946129264,,
1978,,51.1890897706717,46.2125196082974,2.59839062103093,,
1977,,50.9395406129894,46.4395017876259,2.62095759938463,,
1976,,50.8624414091665,46.4922702891088,2.64528830172475,,
1975,,51.1540148063781,46.1767653758542,2.66921981776765,,
1974,,51.1020235514052,46.22168847188,2.67628797671481,,
1973,,51.2856932209239,46.0386870047878,2.67561977428835,,
1972,,51.6390357317983,45.6956907776394,2.66527349056229,,
1971,,51.9567433129877,45.4002523185345,2.64300436847776,,
1970,,52.0805586750566,45.3119119103825,2.6075294145609,,
1969,,52.5581165325523,44.673471124993,2.76841234245477,,
1968,,52.7151325131869,44.3897518422802,2.89511564453297,,
1967,,52.5921233311449,44.4269144890508,2.98096217980435,,
1966,,52.4250788848155,44.5429108834234,3.03201023176101,,
1965,,52.4732912000028,44.4648275646946,3.06188123530258,,
1964,,52.5101463912047,44.4191709775897,3.07068263120562,,
1963,,52.8384574725264,44.0901931134978,3.07134941397577,,
1962,,53.4389437249166,43.4965683576418,3.0644879174416,,
1961,,54.164117616432,42.7907616634415,3.04512072012658,,
1960,,54.8609854603164,42.132066516674,3.00694802300963,,
