date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,10.3370954203177,,,,,
2018,10.5633443867885,62.6616873953689,32.7804361810202,4.55787642361103,84.8386698893194,86.2460416429739
2017,10.6413132963644,62.6496277437421,32.8888127446091,4.46155951164889,86.3494003186918,86.8958744344642
2016,10.4509449779328,62.6594558750604,32.9659851825617,4.37455894237797,86.6598197684043,85.7142090329377
2015,10.6753196937496,62.714050957459,32.9849017698703,4.30104727267074,84.3160893206347,84.6519065117266
2014,10.6546266869742,62.6416126863067,33.113480834424,4.24490647926923,84.1380457353614,85.6711873396276
2013,10.5741309910139,62.5559264634081,33.2398758659951,4.20419767059679,85.449374686751,86.1757827941115
2012,10.4907725198761,62.4394251887773,33.3853237112688,4.17525109995385,84.2688367059503,84.2956888430232
2011,10.2846890547939,62.2712064777934,33.5760960898571,4.1526974323495,86.9093373774686,87.3768260359241
2010,9.24813497006807,62.0426845921218,33.824264134674,4.13305127320425,86.8927484025806,87.5623783283393
2009,9.15279419038916,61.7572971448342,34.1192808125854,4.12342204258041,85.3664465015242,86.6030982839109
2008,9.45278599406514,61.4037728109325,34.4749301887445,4.12129700032303,82.9802461812285,85.6855689759237
2007,9.78891220067803,60.9894837719875,34.8878966853198,4.12261954269276,83.1328527920596,84.6838663160963
2006,10.252185811018,60.5309407190183,35.3476533719099,4.12140590907177,81.6153511164201,83.2918768001303
2005,11.0699189326971,60.0466227616084,35.8409296164555,4.1124476219361,82.0526483247157,83.9707008449674
2004,11.2508872567337,59.5567119384107,36.3380622629458,4.10522579864347,81.8387647720172,83.1141727951806
2003,12.2635420006913,59.0470818575918,36.8613406011663,4.09157754124186,81.135427658684,82.1512439793288
2002,12.3028733083596,58.5282943602738,37.4002666456328,4.07143899409348,80.9617202995361,81.7874503575721
2001,12.2897416577053,58.0118451600127,37.9414416459455,4.0467131940418,80.7516440561715,83.8863103657518
2000,12.4241069978755,57.5070341846961,38.4748807906417,4.01808502466221,81.2726282265619,82.7805949206476
1999,11.9928192516681,57.029616165854,38.9850884839636,3.98529535018246,81.2669509395437,81.1498893554017
1998,11.8603294819787,56.5628008529237,39.4880940977133,3.94910504936305,81.1036085504116,78.4574191481464
1997,11.8273232257751,56.1064373597463,39.9840662208345,3.90949641941914,78.832111013544,76.5040052111022
1996,12.3388679771455,55.667448963287,40.4654071925889,3.86714384412408,79.1754326859084,78.0141962035905
1995,13.1748942966584,55.2569842715494,40.9215170386893,3.82149868976126,77.0536544935276,76.4114099106732
1994,12.8918208769678,54.7435898353446,41.4619818722999,3.79442829235546,75.1481603590209,73.652473247352
1993,12.7578354470942,54.3542115357791,41.8914407057867,3.75434775843425,75.6101197890872,75.5067792424652
1992,11.9508421557335,54.0147402463903,42.2689682171186,3.71629153649115,75.2965929392594,75.0440702027749
1991,11.4488730755021,53.8266742796665,42.5138687267589,3.65945699357465,76.8062200765984,74.7558905493314
1990,,53.5864850437113,42.7916175213463,3.62189743494236,77.3574578549004,81.1077351157147
1989,,53.4129073376385,42.972162516949,3.61493014541245,76.9123900764455,80.327588785298
1988,,53.2380531844555,43.162384631329,3.5995621842155,71.3625419549843,73.5087183155434
1987,,53.0910507405297,43.3205202565186,3.58842900295167,63.111435464165,68.2935360288943
1986,,52.972536348295,43.4470813047383,3.58038234696666,59.6048293644043,64.886853019199
1985,,52.894714280457,43.5311139640035,3.57417175553952,53.9919039097461,58.8112202767026
1984,,52.7105282516133,43.708455768651,3.58101597973568,36.9430655943628,48.0102341013684
1983,,52.5410568632856,43.868901174895,3.59004196181937,30.5168443735931,37.3590356384053
1982,,52.3908238069447,44.0094124022219,3.59976379083335,26.3894058722099,33.841704857388
1981,,52.2689203449256,44.1224236131889,3.60865604188555,22.5070374321827,32.1021741019879
1980,,52.1832850998735,44.2014402254557,3.61527467467085,,
1979,,52.0322512416769,44.3345678712114,3.6331808871117,,
1978,,51.908074154908,44.4401484837164,3.65177736137564,,
1977,,51.8086412567671,44.522778944925,3.66857979830787,,
1976,,51.7318568568586,44.5882072679583,3.67993587518311,,
1975,,51.6832594798957,44.6339990897929,3.68274143031142,,
1974,,51.5903053963387,44.7192636426501,3.69043096101122,,
1973,,51.516294127196,44.7945865362188,3.68911933658521,,
1972,,51.4767999193523,44.843530108158,3.67966997248978,,
1971,,51.4886136667318,44.8462592241929,3.66512710907532,,
1970,,51.5669998887389,44.7853782444812,3.64762186677987,,
1969,,51.514430918429,44.8408897221857,3.64467935938537,,
1968,,51.4927601644029,44.8666421774049,3.6405976581922,,
1967,,51.5181364212222,44.84804846612,3.63381511265783,,
1966,,51.6289340218673,44.7489904477448,3.6220755303879,,
1965,,51.8616350877211,44.5351271597204,3.60323775255853,,
1964,,51.9768262565354,44.4267809207883,3.59639282267635,,
1963,,52.1826215017969,44.2338273201603,3.58355117804286,,
1962,,52.470732816242,43.9647838120858,3.56448337167228,,
1961,,52.8186400753089,43.6420341472339,3.53932577745718,,
1960,,53.215227490414,43.2768507926652,3.5079217169208,,
