date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,9.78899955749512,1.7,,,,,,
2018,9.22000026702881,,99.00387,64.1212772887989,24.7609338351238,11.1177888760774,94.0,86.0
2017,8.34700012207031,,,64.0835225051061,24.9267703815041,10.9897071133897,89.0,86.0
2016,7.97700023651123,,99.12501,64.0605666116429,25.0794558115824,10.8599775767747,90.0,92.0
2015,7.75,,99.17996,64.0600197569769,25.2111645305991,10.728815712424,89.0,94.0
2014,7.26800012588501,,98.99389,64.0154698523561,25.3681294857948,10.6164006618491,95.0,94.0
2013,7.09999990463257,,99.12195,63.9826922106179,25.5099662219408,10.5073415674413,94.0,94.0
2012,7.21700000762939,,99.10523,63.9471288794812,25.6518565976795,10.4010145228393,94.0,91.0
2011,7.17999982833862,,99.10833,63.8807226437241,25.822269817645,10.2970075386309,95.0,91.0
2010,7.71400022506714,,98.95497,63.7690168895782,26.0359584535822,10.1950246568397,95.0,94.0
2009,8.64500045776367,,98.98342,63.6213345780434,26.2589696144445,10.1196958075121,96.0,94.0
2008,7.83699989318848,,,63.4237887273903,26.5223317471787,10.053879525431,96.0,93.0
2007,8.47000026702881,,,63.1997872206121,26.8048884325651,9.99532434682284,94.0,91.0
2006,10.0769996643066,,98.6108,62.9922902789365,27.0657012475325,9.94200847353102,97.0,91.0
2005,11.5059995651245,2.3,,62.8286101656879,27.2800113727608,9.89137846155128,98.0,98.0
2004,13.5220003128052,,,62.60526740485,27.5332373202391,9.86149527491083,99.0,98.0
2003,15.3599996566772,,,62.402148631685,27.7595637540017,9.8382876143133,97.0,96.0
2002,19.5900001525879,,,62.2134338828062,27.9713529220738,9.81521319512,95.0,93.0
2001,17.3199996948242,,97.19331,62.0204389717985,28.1979373559985,9.78162367220297,89.0,83.0
2000,15.0,,,61.8091688685679,28.4621942026895,9.72863692874253,91.0,83.0
1999,14.0500001907349,,,61.6205765956701,28.6866275349,9.69279586942991,97.0,86.0
1998,12.6499996185303,,,61.4496407568669,28.905751941321,9.64460730181206,95.0,84.0
1997,14.8199996948242,,,61.2915389945809,29.1256472809635,9.58281372445557,93.0,88.0
1996,17.1100006103516,4.7,,61.1357554113226,29.3568893072519,9.50735528142555,99.0,83.0
1995,18.7999992370605,,,60.9831926282661,29.5986295002006,9.4181778715333,99.0,85.0
1994,11.7600002288818,1.7,,60.8020853729036,29.8576546612426,9.34025996585382,96.0,82.0
1993,10.1000003814697,,,60.5994487330347,30.1533515742707,9.24719969269456,95.0,81.0
1992,6.3600001335144,,,60.4059025821157,30.4523478939004,9.14174952398387,92.0,81.0
1991,5.44000005722046,,96.1282,60.2888660479458,30.6791136370507,9.03202031500348,99.0,80.0
1990,,,,60.2915951367823,30.7860125791223,8.92239228409538,93.0,87.0
1989,,,,60.213211752819,30.9431738713046,8.84361437587637,89.0,80.0
1988,,,,60.2505722561238,30.9797713842667,8.76965635960953,87.0,80.0
1987,,,,60.3710571450515,30.9331921089429,8.69575074600566,80.0,75.0
1986,,,,60.4847577266777,30.9053100293547,8.60993224396758,87.0,67.0
1985,,,,60.5253247760917,30.9716792064304,8.50299601747787,54.0,66.0
1984,,,,60.6659433724742,30.9015511368243,8.43250549070146,79.0,62.0
1983,,,,60.7854262553812,30.8571748244407,8.35739892017807,67.0,61.0
1982,,,,60.9125206618975,30.8093844709769,8.27809486712554,67.0,58.0
1981,,,,61.1206197643031,30.6815900550893,8.19779018060756,77.0,49.0
1980,,,93.91286,61.4662548687063,30.4162474986134,8.11749763268031,61.0,44.0
1979,,,,61.7307443374178,30.2445455642809,8.02471009830135,,
1978,,,,62.0455113950321,30.0288492163662,7.92563938860163,,
1977,,,,62.3886151806443,29.7939327862703,7.81745203308544,,
1976,,,,62.7209140670698,29.5813187298943,7.69776720303589,,
1975,,,,63.0181518621363,29.4168015682189,7.56504656964477,,
1974,,,,63.1787180907681,29.3613790300657,7.45990287916623,,
1973,,,,63.3133714961855,29.3397819118872,7.34684659192725,,
1972,,,,63.4278546272438,29.3473964306829,7.22474894207338,,
1971,,,,63.5278272347962,29.3804904383884,7.09168232681539,,
1970,,,,63.6156663153768,29.4388477724623,6.94548591216094,,
1969,,,,63.6220022518444,29.5673272255417,6.81067052261388,,
1968,,,,63.6141796881053,29.7168622927213,6.66895801917338,,
1967,,,,63.600281730996,29.8787644714243,6.52095379757972,,
1966,,,,63.5883779855415,30.0432670261249,6.36835498833357,,
1965,,,,63.5856477877584,30.202110592902,6.21224161933966,,
1964,,,,63.517091515584,30.4086407774775,6.07426770693844,,
1963,,,,63.4477771606119,30.613280932976,5.93894190641201,,
1962,,,,63.3926489662106,30.802571657272,5.80477937651739,,
1961,,,,63.3770784309525,30.953123239142,5.66979832990557,,
1960,,,,63.4179970401985,31.0501250892317,5.53187787056974,,
