date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,16.9899997711182,,,,,
2018,17.496000289917,68.11276041799,20.6334219249969,11.2538176570131,95.0,92.0
2017,17.7049999237061,68.4489663273217,20.4543887834485,11.0966448892298,96.0,94.0
2016,17.617000579834,68.7610582999534,20.2602189334784,10.9787227665683,97.0,94.0
2015,18.2609996795654,69.0425707549991,20.0800327322732,10.8773965127277,97.0,94.0
2014,17.4979991912842,69.2929118128669,19.8677452239709,10.8393429631621,97.0,93.0
2013,16.1790008544922,69.5219955355972,19.665080059691,10.8129244047118,97.0,95.0
2012,17.3010005950928,69.6796445780752,19.5090966960378,10.811258725887,97.0,95.0
2011,18.443000793457,69.6953073451489,19.439826624922,10.864866029929,97.0,95.0
2010,19.007999420166,69.5454692371614,19.4606854505879,10.9938453122507,97.0,94.0
2009,18.4360008239746,69.198869011098,19.6182116082175,11.1829193806845,96.0,93.0
2008,13.4750003814697,68.598832446353,19.9473589721896,11.4538085814574,94.0,89.0
2007,9.8120002746582,67.859946300541,20.4081472595476,11.7319064399114,92.0,88.0
2006,10.0900001525879,67.1672006995893,20.9278482591563,11.9049510412543,92.0,87.0
2005,10.3929996490479,66.6385354692918,21.4614648996786,11.8999996310296,94.0,90.0
2004,10.5979995727539,66.0447159348423,22.2081700391906,11.7471140259671,92.0,91.0
2003,10.7829999923706,65.5908416756905,23.0131096393159,11.3960486849936,94.0,94.0
2002,10.8920001983643,65.2066033438608,23.8771012841886,10.9162953719506,91.0,94.0
2001,10.9329996109009,64.7607899466579,24.8088709198944,10.4303391334476,93.0,94.0
2000,11.0539999008179,64.1731422850797,25.8110933997396,10.0157643151807,92.0,93.0
1999,11.1999998092651,63.7275810920091,26.6313739429502,9.64104496504071,92.0,91.0
1998,9.39999961853027,63.2514949237411,27.4021475947884,9.34635748147047,94.0,82.0
1997,10.8000001907349,62.8135683346372,28.0993932824762,9.08703838288667,92.0,88.0
1996,9.30000019073486,62.501258592756,28.7169360975765,8.78180530966747,89.0,86.0
1995,6.69999980926514,62.3612366458338,29.2572951387292,8.38146821543706,96.0,98.0
1994,6.59999990463257,62.6364061885691,29.5300650157278,7.8335287957031,95.0,86.0
1993,5.30000019073486,63.0060348939136,29.7622021059092,7.23176300017722,95.0,85.0
1992,1.79999995231628,63.4440633934363,29.9338013028285,6.62213530373529,93.0,85.0
1991,1.60000002384186,63.8979498798662,30.0267769162783,6.07527320385547,,
1990,,64.3240533032462,30.0438277290724,5.63211896768133,,
1989,,64.4965013174139,30.0690744509927,5.43442423159339,,
1988,,64.6416669924235,30.0236342537177,5.33469875385879,,
1987,,64.7158255906015,29.9679861828701,5.31618822652839,,
1986,,64.7273620213521,29.923938702884,5.34869927576391,,
1985,,64.7045810176442,29.8846202269825,5.4107987553733,,
1984,,64.6515292949627,29.8641434940782,5.4843272109591,,
1983,,64.5748542191907,29.8191654096916,5.60598037111772,,
1982,,64.4436261639753,29.8052189803077,5.75115485571701,,
1981,,64.1887667974547,29.931901695501,5.87933150704426,,
1980,,63.770318547859,30.2701762785047,5.95950517363636,,
1979,,63.183441457816,30.8023097895156,6.0142487526684,,
1978,,62.440394513009,31.5542348628836,6.00537062410736,,
1977,,61.5813567732187,32.4738663414372,5.94477688534406,,
1976,,60.7161112397342,33.4165980580562,5.86729070220956,,
1975,,59.9321368319719,34.2705115401628,5.79735162786527,,
1974,,58.944071343179,35.3029907547477,5.7529379020733,,
1973,,58.0043173328084,36.2774653068838,5.71821736030782,,
1972,,57.0919069182029,37.2223811029373,5.68571197885973,,
1971,,56.1382118848031,38.2249079107844,5.63688020441255,,
1970,,55.1051298420478,39.3376336795682,5.55723647838395,,
1969,,54.3561971766938,40.1351968064028,5.50860601690346,,
1968,,53.6865567773348,40.8550011390409,5.45844208362434,,
1967,,53.1497434726716,41.4331928108222,5.4170637165062,,
1966,,52.8086135795862,41.7885233700375,5.40286305037622,,
1965,,52.6938899362778,41.8779922751987,5.4281177885235,,
1964,,52.7675278473064,41.7008663399225,5.53160581277118,,
1963,,53.0230874604949,41.2938046128713,5.6831079266338,,
1962,,53.4628564148959,40.6608822179957,5.87626136710846,,
1961,,54.1164218034378,39.7829092265124,6.10066897004984,,
1960,,54.9970893021315,38.6548147104696,6.34809598739889,,
