date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,5.50899982452393,,,,,
2018,4.90000009536743,70.4352473888986,23.3695698603865,6.19518275071493,96.0,95.0
2017,5.0,70.7226479179956,23.2876635802595,5.98968850174499,98.0,95.0
2016,5.0,71.0271411085592,23.1373361847313,5.83552270670949,98.0,97.0
2015,4.96000003814697,71.3895878982556,22.8738888955283,5.7365232062161,98.0,96.0
2014,4.90999984741211,71.5542023446756,22.75668020462,5.68911745070444,98.0,94.0
2013,4.96999979019165,71.6759569155209,22.6273745752476,5.69666850923151,98.0,93.0
2012,5.19000005722046,71.7060426833401,22.547473785421,5.74648353123882,94.0,89.0
2011,5.42000007629395,71.5763302546665,22.6050277298682,5.81864201546531,92.0,87.0
2010,5.63000011444092,71.2663802257214,22.8353380103163,5.89828176396222,89.0,81.0
2009,5.73999977111816,70.6757370925603,23.2584576107628,6.06580529667693,85.0,81.0
2008,6.05000019073486,69.8876984513379,23.8685934381508,6.24370811051122,79.0,81.0
2007,6.53999996185303,68.9681385536831,24.6206920187803,6.41116942753658,75.0,79.0
2006,6.61999988555908,68.0375975099378,25.4278201087212,6.53458238134094,69.0,78.0
2005,7.30000019073486,67.1846279339541,26.2294836217391,6.58588844430677,67.0,75.0
2004,8.0,66.1969315462544,27.2286744405752,6.5743940131704,67.0,77.0
2003,9.25,65.3084106516192,28.2268960356437,6.46469331273718,67.0,77.0
2002,10.0,64.5145299762802,29.2071183237625,6.27835169995727,66.0,76.0
2001,10.8999996185303,63.7613882037715,30.1764801035658,6.06213169266263,68.0,77.0
2000,11.8000001907349,63.0023781381187,31.1477246412264,5.84989722065495,67.0,76.0
1999,10.8999996185303,62.4017429079207,31.8600304986537,5.73822659342553,68.0,75.0
1998,10.0,61.8877821450943,32.4715250056165,5.6406928492892,67.0,73.0
1997,9.10000038146973,61.4841802608941,32.965435847174,5.55038389193188,66.0,70.0
1996,8.10000038146973,61.2117186403045,33.3419174945418,5.44636386515373,65.0,74.0
1995,7.19999980926514,61.0737626655472,33.6129579557334,5.31327937871941,64.0,74.0
1994,6.30000019073486,61.0977538448884,33.7083605988151,5.19388555629652,60.0,69.0
1993,4.5,61.2412774141709,33.7071606385541,5.051561947275,49.0,66.0
1992,1.79999995231628,61.4774022119598,33.6268453408131,4.89575244722713,52.0,58.0
1991,0.899999976158142,61.7854733412087,33.4632019688098,4.7513246899815,,
1990,,62.1562274386798,33.2025452724451,4.64122728887506,,
1989,,62.3846813213242,33.0513726832257,4.56394599545018,,
1988,,62.586677626206,32.8724696780769,4.54085269571715,,
1987,,62.7534329858218,32.6861042354604,4.56046277871772,,
1986,,62.8646610285509,32.5346412487254,4.60069772272367,,
1985,,62.8863171041486,32.4676698097202,4.64601308613119,,
1984,,62.5779994177731,32.6902557513205,4.7317448309064,,
1983,,62.1357428136618,33.0306139007503,4.83364328558793,,
1982,,61.5600342260313,33.5008779358169,4.93908783815176,,
1981,,60.8534952796419,34.1203690517071,5.02613566865099,,
1980,,60.0290404411962,34.89369478402,5.07726477478375,,
1979,,59.0093893921674,35.8520163075439,5.13859430028875,,
1978,,57.8996714460152,36.9444899021052,5.15583865187964,,
1977,,56.7599364981037,38.1002679114166,5.13979559047963,,
1976,,55.6780263770774,39.2046001184665,5.11737350445619,,
1975,,54.7070539234805,40.1870206426251,5.10592543389448,,
1974,,53.7073549149393,41.1707000734172,5.12194501164351,,
1973,,52.864830400129,41.98339546992,5.151774129951,,
1972,,52.173329324863,42.6404430015767,5.18622767356023,,
1971,,51.5661276279768,43.2294748578445,5.20439751417865,,
1970,,50.9930747411739,43.8158865317779,5.19103872704812,,
1969,,50.6033505608421,44.2105929363731,5.18605650278484,,
1968,,50.2930508089138,44.5401747337624,5.16677445732377,,
1967,,50.1211841445721,44.7390184868787,5.13979736854927,,
1966,,50.2216339939465,44.6586196869104,5.11974631914321,,
1965,,50.6941261492106,44.1900453533057,5.11582849748367,,
1964,,51.1350023010366,43.7229044803909,5.14209321857245,,
1963,,51.88178702504,42.9396863638081,5.17852661115189,,
1962,,52.8749641010053,41.8978545945679,5.22718130442683,,
1961,,53.9809226161086,40.7250835044942,5.29399387939723,,
1960,,55.0843469869695,39.5316574921632,5.38399552086732,,
