date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,10.3599996566772,,,,,
2018,10.0,70.2575219701429,22.4848756732367,7.25760235662035,89.0,90.0
2017,9.80000019073486,70.0653560529659,22.8740946418514,7.06054930518264,90.0,94.0
2016,12.6999998092651,69.7719154340751,23.3530018786548,6.87508268727013,89.0,94.0
2015,12.0,69.3177020143985,23.9902620481767,6.69203593742484,94.0,95.0
2014,13.8000001907349,68.8843141328484,24.5593349755688,6.55635089158278,92.0,96.0
2013,16.1800003051758,68.3728746163211,25.1946651269579,6.43246025672102,92.0,97.0
2012,14.0200004577637,67.8404440239394,25.8418962330576,6.31765974300299,91.0,98.0
2011,14.5200004577637,67.3689714053696,26.4176340043051,6.21339459032533,90.0,98.0
2010,14.8360004425049,67.0024961824749,26.8838289072581,6.11367491026703,94.0,99.0
2009,14.25,66.7203464491253,27.2313817919703,6.04827175890436,98.0,96.0
2008,8.18000030517578,66.5337915101504,27.4842077391535,5.98200075069614,90.0,93.0
2007,7.88000011444092,66.4209562256031,27.6630239871484,5.91601978724855,96.0,95.0
2006,7.53999996185303,66.3124220243903,27.8374059383808,5.85017203722892,88.0,95.0
2005,10.1999998092651,66.1099123004134,28.109118109703,5.78096958988361,85.0,93.0
2004,10.1999998092651,65.9915206933966,28.2761670022014,5.73231230440209,89.0,93.0
2003,10.8400001525879,65.8760446972334,28.4489778972883,5.67497740547825,90.0,92.0
2002,9.05000019073486,65.7625300656569,28.641357342521,5.59611259182214,94.0,94.0
2001,6.86999988555908,65.5906125874865,28.9130190537245,5.49636835878897,94.0,99.0
2000,6.96199989318848,65.3086216788402,29.3070648982892,5.38431342287058,93.0,99.0
1999,7.44999980926514,65.1114390842747,29.6692534227476,5.21930749297767,86.0,82.0
1998,7.65000009536743,64.7367316248963,30.2040282590667,5.05924011603699,92.0,89.0
1997,9.76000022888184,64.3023684741681,30.7901641854412,4.90746734039073,93.0,86.0
1996,11.460000038147,64.014465909331,31.2182633866004,4.76727070406862,92.0,85.0
1995,10.8299999237061,63.9811695171744,31.3811638066414,4.63766667618422,90.0,87.0
1994,13.8299999237061,63.7243244418987,31.7260355415703,4.54964001653096,88.0,91.0
1993,12.7200002670288,63.6959593313879,31.8265828995569,4.47745776905511,88.0,91.0
1992,14.8100004196167,63.7738742768646,31.8157043029143,4.4104214202211,94.0,92.0
1991,12.1700000762939,63.6934500091951,31.963388095384,4.34316189542083,93.0,92.0
1990,,63.2933030992534,32.4373690105884,4.26932789015818,86.0,86.0
1989,,62.951619374496,32.8105572173692,4.23782340813481,87.0,86.0
1988,,62.3687113812432,33.4276280960675,4.20366052268934,78.0,85.0
1987,,61.6649744523597,34.1594353622092,4.17559018543106,87.0,85.0
1986,,61.1065321713518,34.7381148621228,4.15535296652539,85.0,85.0
1985,,60.8522538345454,34.9934776492254,4.15426851622914,79.0,86.0
1984,,60.4189228567825,35.4257729761703,4.15530416704723,63.0,69.0
1983,,60.1797551136465,35.6551331947184,4.16511169163512,66.0,65.0
1982,,60.0134433019656,35.8105039421575,4.1760527558769,65.0,69.0
1981,,59.6490902166947,36.1837400035295,4.16716977977578,,55.0
1980,,58.9127740501731,36.973564872193,4.1136610776339,,36.0
1979,,58.4428887680597,37.5097094919994,4.04740173994097,,
1978,,57.7482405026852,38.2999632714242,3.95179622589067,,
1977,,56.9464386279116,39.2108614365224,3.84269993556603,,
1976,,56.2913083370916,39.9644391915359,3.74425247137251,,
1975,,55.9593638827715,40.3777740132136,3.66286210401491,,
1974,,55.641205704408,40.7492437337943,3.60955056179775,,
1973,,55.4934248582777,40.9482307442278,3.55834439749445,,
1972,,55.3933860321815,41.0927327313821,3.51388123643642,,
1971,,55.1023929058192,41.4379287936557,3.45967830052505,,
1970,,54.4519031509591,42.1651109654794,3.38298588356152,,
1969,,54.3654272286751,42.2644702559232,3.37010251540166,,
1968,,54.1645655791438,42.4644495991125,3.37098482174373,,
1967,,53.8586030664395,42.7591403485782,3.38225658498231,,
1966,,53.5298055771884,43.0551570548291,3.4150373679824,,
1965,,53.2668375470338,43.2789038905033,3.45425856246296,,
1964,,53.44217666724,43.0591807582137,3.49864257454622,,
1963,,53.6544185206417,42.7975718358083,3.54800964354989,,
1962,,53.8206803148046,42.5671602348647,3.61215945033074,,
1961,,53.8720129255305,42.4275327698682,3.70045430460125,,
1960,,53.820731462377,42.388664706849,3.79060383077401,,
