date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,10.331000328064,,,,,,,
2018,9.38500022888184,,,66.8543578901832,17.342948147683,15.8026939621338,85.0,95.0
2017,9.76099967956543,,,66.9488387042679,17.6402358925627,15.4109254031695,92.0,90.0
2016,9.72000026702881,,,67.006186230738,17.951965737799,15.041848031463,92.0,97.0
2015,11.3500003814697,,,67.0318655283117,18.2823737225049,14.6857607491834,96.0,97.0
2014,12.1700000762939,,99.6,67.0581337377908,18.6043408958452,14.337525366364,95.0,94.0
2013,11.5500001907349,,,67.0772715761038,18.9105720798041,14.0121563440921,87.0,91.0
2012,11.5900001525879,3.5,,67.0871798125491,19.1941515891731,13.7186685982778,90.0,87.0
2011,11.1899995803833,,,67.0691586539311,19.4659118616756,13.4649294843933,93.0,91.0
2010,10.6899995803833,,,67.0061070920955,19.7429562862642,13.2509366216403,85.0,86.0
2009,10.0200004577637,,,67.1246229153623,19.8769850304514,12.9983920541864,94.0,93.0
2008,8.11999988555908,,,67.1625956434455,20.025647803505,12.8117565530495,94.0,85.0
2007,7.40999984741211,,,67.1266594904916,20.2023681377826,12.6709723717259,75.0,93.0
2006,8.72999954223633,,,67.0531251238841,20.3883565124317,12.5585183636842,92.0,84.0
2005,9.07999992370605,,,66.9864614961476,20.5632538731846,12.4502846306677,93.0,92.0
2004,9.56999969482422,,99.6,66.8516877115997,20.7687333807995,12.3795789076009,98.0,93.0
2003,11.0,,,66.7184293312045,20.9704406023424,12.3111300664531,90.0,89.0
2002,10.3199996948242,,,66.5795007771784,21.1824083386669,12.2380908841547,91.0,87.0
2001,9.85000038146973,,,66.3893577981651,21.4495412844037,12.1611009174312,93.0,84.0
2000,9.35000038146973,,,66.1178940390034,21.8068983297424,12.0752076312543,94.0,93.0
1999,10.6099996566772,,,66.2164310725418,21.9548088193425,11.8287601081157,86.0,87.0
1998,12.3999996185303,,,66.25070543856,22.1455728161107,11.6037217453293,97.0,93.0
1997,14.6099996566772,,,66.2354998564435,22.3687203332003,11.3957798103562,92.0,96.0
1996,14.710000038147,,,66.2121932679021,22.5846193020757,11.2031874300222,99.0,85.0
1995,19.6599998474121,,,66.2172171983982,22.7700174841609,11.0127653174409,92.0,93.0
1994,22.9799995422363,,99.6,66.1667163722711,22.9643667443081,10.8689168834209,97.0,90.0
1993,24.5400009155273,,,66.1508901975943,23.1299787019562,10.7191311004495,92.0,86.0
1992,22.9400005340576,,,66.1290445288072,23.3066804622536,10.5642750089392,90.0,90.0
1991,21.003999710083,,,65.9968309119719,23.5871785571104,10.4159905309177,92.0,82.0
1990,,,,65.6892877947083,24.0261979949106,10.2845142103811,87.0,91.0
1989,,,,65.2377123908954,24.4482741376458,10.3140134714587,85.0,78.0
1988,,,,64.6215687107349,25.0250022202744,10.3534290689907,84.0,76.0
1987,,,,63.907696720009,25.695006956852,10.397296323139,85.0,79.0
1986,,,,63.2522646213444,26.3100576802654,10.4376776983902,84.0,79.0
1985,,,,62.7550602310907,26.777178133402,10.4677616355073,88.0,83.0
1984,,,99.6,62.0574801269682,27.3866229349073,10.5558969381245,84.0,83.0
1983,,,,61.4899445813775,27.8847512441716,10.6253041744509,55.0,69.0
1982,,,,61.0031407183508,28.325894789871,10.6709644917782,53.0,62.0
1981,,,,60.4296125512243,28.8999518353876,10.6704356133882,47.0,58.0
1980,,,,59.6460296203555,29.7503110216566,10.6036593579879,41.0,60.0
1979,,,,59.7741803294994,29.7285469323774,10.4972727381232,,
1978,,,,59.6623541684152,29.9556759910952,10.3819698404895,,
1977,,,,59.2844775987499,30.4558984803384,10.2596239209117,,
1976,,,,58.8315837517115,31.040499549646,10.1279166986425,,
1975,,,,58.5405884121322,31.50182406136,9.9575875265078,,
1974,,,,57.7884599663184,32.6797305472442,9.53180948643744,,
1973,,,,57.0948989793022,33.7867025412537,9.11839847944411,,
1972,,,,56.4076765418297,34.8193693973459,8.77295406082438,,
1971,,,,55.6003065466026,35.8951077494648,8.50458570393262,,
1970,,,99.26808,54.6087000200924,37.1086163016543,8.2826836782533,,
1969,,,,54.2938790947868,37.6340064297871,8.07211447542602,,
1968,,,,54.0420922184614,38.1152498935681,7.84265788797046,,
1967,,,,53.8572376288246,38.5406851207856,7.6020772503898,,
1966,,,,53.7545322083291,38.8609332113449,7.38453458032598,,
1965,,,,53.7408724242077,39.0492453687774,7.2098822070149,,
1964,,,,53.9158347045433,38.9895390176737,7.09462627778299,,
1963,,,,54.1030689551855,38.8755724864101,7.02135855840431,,
1962,,,,54.3246229038872,38.7068902520279,6.96848684408489,,
1961,,,,54.6379651127664,38.4514798159832,6.9105550712504,,
1960,,,,55.084422893757,38.087713221924,6.82786388431899,,
