date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,4.59499979019165,,,,,
2018,4.76000022888184,68.2889087752101,16.8659430504801,14.8451481743098,97.0,97.0
2017,5.65000009536743,68.7169869180976,16.7078878812592,14.5751252006432,97.0,97.0
2016,5.84000015258789,69.0701098908777,16.5141430816303,14.4157470274919,98.0,98.0
2015,5.91400003433228,69.4136283541907,16.2635576348258,14.3228140109835,99.0,99.0
2014,5.98099994659424,69.8574440439643,15.9395805755781,14.2029753804576,99.0,97.0
2013,6.06300020217896,70.2928931121814,15.6141037104449,14.0930031773737,99.0,98.0
2012,6.07800006866455,70.684979132522,15.3116168276124,14.0034040398656,98.0,98.0
2011,6.09800004959106,70.9774176554807,15.0666466992094,13.95593564531,99.0,98.0
2010,6.12599992752075,71.1401343485015,14.8957165455099,13.9641491059887,99.0,98.0
2009,6.09999990463257,71.0152661591799,14.8650101259897,14.1197237148304,99.0,96.0
2008,6.39099979400635,70.7398029484214,14.919524313025,14.3406727385536,99.0,97.0
2007,6.98199987411499,70.3673165434578,15.0612598577187,14.5714235988235,99.0,95.0
2006,7.68900012969971,69.9880727755085,15.2920551823533,14.7198720421382,97.0,99.0
2005,8.46000003814697,69.6770830805991,15.5980785786535,14.7248383407473,99.0,99.0
2004,9.18599987030029,69.2712335729944,16.0428690537666,14.6858973732389,99.0,99.0
2003,9.92700004577637,68.9144958253416,16.6070252452802,14.4784789293782,99.0,50.0
2002,10.6180000305176,68.5976689945118,17.2504133266803,14.1519176788078,99.0,99.0
2001,11.2550001144409,68.297748710913,17.9031822264731,13.799069062614,99.0,99.0
2000,12.0010004043579,67.9953730041801,18.5256703248257,13.4789566709942,98.0,99.0
1999,12.8000001907349,67.500111089425,19.230249534558,13.269639376017,98.0,99.0
1998,14.0,67.0216019338842,19.8735665352422,13.1048315308736,98.0,99.0
1997,17.1000003814697,66.5891161842565,20.4609789563684,12.9499048593751,97.0,98.0
1996,24.3999996185303,66.2181815901139,21.042896297238,12.7389221126481,96.0,98.0
1995,17.7000007629395,65.9054311300856,21.6657266287794,12.428842241135,93.0,96.0
1994,12.8000001907349,65.8029928105552,22.0478911816053,12.1491160078395,97.0,92.0
1993,8.5,65.825351769149,22.3784566291079,11.7961916017431,96.0,91.0
1992,3.09999990463257,65.9541334764053,22.6465763288858,11.399290194709,94.0,90.0
1991,0.600000023841858,66.1543282480695,22.8335237875533,11.0121479643772,,
1990,,66.3980497154308,22.9301770619913,10.6717732225779,,
1989,,66.5640228348366,23.0172644126509,10.4187127525125,,
1988,,66.7221328866145,23.0588269603721,10.2190401530134,,
1987,,66.873768385576,23.0523212846311,10.0739103297929,,
1986,,67.0322230134219,22.9790723214522,9.98870466512583,,
1985,,67.1921295101658,22.8397475007052,9.96812298912901,,
1984,,67.1574366830433,22.7882283919121,10.0543349250446,,
1983,,67.0791654849184,22.6848795957556,10.235954919326,,
1982,,66.9495595421002,22.585241970491,10.4651984874087,,
1981,,66.7445711997309,22.598551517395,10.6568772828742,,
1980,,66.4612819828781,22.7880759222169,10.750642094905,,
1979,,66.1429908188041,23.102471135299,10.7545380458969,,
1978,,65.7661063200464,23.5890837583931,10.6448099215605,,
1977,,65.3748971896332,24.1803478823463,10.4447549280205,,
1976,,65.0327742034651,24.7510685816858,10.2161572148491,,
1975,,64.7713297810312,25.2247243774006,10.0039458415682,,
1974,,64.3767873640646,25.8317470139994,9.79146562193604,,
1973,,63.9567198859291,26.4426366733378,9.60064344073312,,
1972,,63.4975276393939,27.078418709448,9.42405365115816,,
1971,,62.9924610252262,27.7707621126488,9.23677686212499,,
1970,,62.4467215763144,28.5372318465187,9.01604657716699,,
1969,,62.0517907658041,29.0935399335314,8.85466930066452,,
1968,,61.7595201391788,29.5619533698377,8.67852649098347,,
1967,,61.5731731438493,29.9264580797214,8.50036877642922,,
1966,,61.45814324864,30.2030084145193,8.33884833684069,,
1965,,61.3789164517721,30.4158659311931,8.20521761703474,,
1964,,61.4634746559406,30.3526778473185,8.18384749674086,,
1963,,61.5901021153317,30.2104677193445,8.19943016532388,,
1962,,61.7951900821895,29.9622990251564,8.24251089265416,,
1961,,62.1654774794277,29.5379044976545,8.29661802291786,,
1960,,62.7499282758726,28.9023556160392,8.34771610808823,,
