date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,5.58900022506714,,,,,,,
2018,5.94799995422363,,,64.1558335012748,17.0554227603857,18.7887437383395,96.0,98.0
2017,7.08599996566772,,,64.3794416479243,17.0364792638156,18.5840790882601,96.0,98.0
2016,7.82999992370605,,,64.6114376604001,17.0167036273099,18.37185871229,96.0,98.0
2015,8.48200035095215,,,64.8535339486213,17.0041566486002,18.1423094027785,96.0,99.0
2014,8.52299976348877,,,65.0459829229075,16.9768450538092,17.9771720232834,96.0,99.0
2013,8.42500019073486,,,65.2584286062527,16.9544062587721,17.7871651349752,96.0,99.0
2012,7.54199981689453,,,65.4689095291284,16.9380727262033,17.5930177446682,96.0,99.0
2011,7.1399998664856,,,65.6475077341236,16.9187295308917,17.4337627349848,95.0,98.0
2010,8.29199981689453,,,65.7832315041066,16.8827412373583,17.334027258535,95.0,98.0
2009,7.90799999237061,,,65.814341515699,16.9205078481097,17.2651506361914,95.0,98.0
2008,6.97599983215332,,,65.7652579267481,16.9722429986832,17.2624990745687,93.0,99.0
2007,7.45800018310547,,,65.6696398023776,17.0352674419952,17.2950927556272,92.0,98.0
2006,8.24600028991699,,,65.5871971072016,17.0978226324748,17.3149802603236,92.0,98.0
2005,8.4399995803833,,,65.5588768097048,17.1500668538562,17.291056336439,88.0,97.0
2004,7.36299991607666,,,65.5152323204025,17.2220787229761,17.2626889566214,82.0,95.0
2003,7.67999982833862,,,65.5082929009144,17.2851854183767,17.2065216807089,82.0,95.0
2002,6.90899991989136,,,65.5291882157882,17.349493023801,17.1213187604108,82.0,95.0
2001,6.17700004577637,,,65.5524134610083,17.4391577338892,17.0084288051025,82.0,95.0
2000,6.58599996566772,,,65.5677043635242,17.5658062953114,16.8664893411643,82.0,95.0
1999,8.64900016784668,,,65.6458602303621,17.6331037253441,16.7210360442938,82.0,87.0
1998,9.32299995422363,,,65.7301696472868,17.7218619872292,16.5479683654839,80.0,79.0
1997,8.95600032806396,,,65.8344181398892,17.8131414879552,16.3524403721556,76.0,87.0
1996,9.48299980163574,,,65.9813141789382,17.8739600960985,16.1447257249633,73.0,95.0
1995,9.33899974822998,,,66.1818097926579,17.8892149803093,15.9289752270328,85.0,94.0
1994,9.64700031280518,,,66.3409387176089,17.8865644753567,15.7724968070344,78.0,96.0
1993,8.07699966430664,,,66.523400200461,17.8566875462141,15.6199122533249,70.0,97.0
1992,6.7020001411438,,,66.715267092481,17.8297181185225,15.4550147889965,87.0,95.0
1991,6.98600006103516,,,66.9023437052546,17.8467833630246,15.2508729317208,67.0,92.0
1990,,,,67.0824212635251,17.9260791737887,14.9914995626862,85.0,93.0
1989,,,,67.2390847616315,18.0019771194416,14.758938118927,75.0,94.0
1988,,,,67.3995433285605,18.1314627342851,14.4689939371545,75.0,80.0
1987,,,,67.5367714617831,18.3012885664458,14.1619399717711,50.0,95.0
1986,,,,67.6069356407013,18.4832979504946,13.909766408804,90.0,95.0
1985,,,,67.5822143485384,18.658160103213,13.7596255482486,82.0,95.0
1984,,,,67.2992461114166,18.9001603109756,13.8005935776078,74.0,95.0
1983,,,,66.8836053781214,19.1531115754081,13.9632830464706,66.0,95.0
1982,,,,66.3814037540001,19.4291930776523,14.1894031683476,58.0,95.0
1981,,,,65.8708202909299,19.7549296641335,14.3742500449366,50.0,95.0
1980,,,,65.4132158340338,20.141726690509,14.4450574754572,,95.0
1979,,,,64.9328009269384,20.5424858415707,14.5247132314909,,
1978,,,,64.5232185949638,20.9853922215059,14.4913891835304,,
1977,,,,64.1884601499323,21.4427135158306,14.3688263342371,,
1976,,,,63.9243649957523,21.8657555960692,14.2098794081785,,
1975,,,,63.7273621702761,22.2252968965325,14.0473409331914,,
1974,,,,63.4503058370661,22.5823277268334,13.9673664361005,,
1973,,,,63.2463343147723,22.8759559050984,13.8777097801294,,
1972,,,,63.1143216347397,23.1148622396353,13.770816125625,,
1971,,,,63.0385879641415,23.3321267091945,13.629285326664,,
1970,,,,63.0051037252211,23.555238793295,13.4396574814839,,
1969,,,,63.0025508218997,23.6804025479676,13.3170466301327,,
1968,,,,63.0656430676816,23.7666553936268,13.1677015386915,,
1967,,,,63.1859215228561,23.8189736177047,12.9951048594392,,
1966,,,,63.3492830933633,23.8434808030096,12.8072361036271,,
1965,,,,63.5567214061844,23.8334343328562,12.6098442609593,,
1964,,,,63.6919205832648,23.8409344738273,12.4671449429079,,
1963,,,,63.8088029279213,23.870202769363,12.3209943027157,,
1962,,,,63.9481383179261,23.8807610028071,12.1711006792667,,
1961,,,,64.2000510112996,23.7780837203172,12.0218652683833,,
1960,,,,64.615677460208,23.5103980260413,11.8739245137507,,
