date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,2.34200000762939,,,,,
2018,2.30299997329712,68.2256345541021,25.7713537330923,6.00301171280561,97.0,97.0
2017,2.35800004005432,67.8557009937457,26.2193805218338,5.9249184844205,97.0,98.0
2016,2.41599988937378,67.4147694880468,26.7426171563225,5.84261335563072,97.0,98.0
2015,2.45000004768372,66.8780121888893,27.3788392528398,5.74314855827091,97.0,99.0
2014,2.63000011444092,66.3295575442769,28.028314941138,5.64212751458512,97.0,99.0
2013,2.86999988555908,65.7163735485479,28.7549085727722,5.52871787867993,94.0,97.0
2012,2.04999995231628,65.0557811571294,29.5402811649688,5.40393767790177,95.0,97.0
2011,3.23000001907349,64.3726074501874,30.3539026508082,5.27348989900447,95.0,95.0
2010,3.3199999332428,63.6866651203569,31.1725842191792,5.14075066046392,95.0,91.0
2009,3.96000003814697,63.0532946693537,31.9467274440053,4.99997788664103,94.0,93.0
2008,3.66300010681152,62.4179400934764,32.7273295781946,4.85473032832896,99.0,96.0
2007,3.70000004768372,61.7835506169572,33.5107599010943,4.70568948194851,95.0,95.0
2006,3.13000011444092,61.1484461751418,34.2957971433352,4.55575668152295,90.0,95.0
2005,3.09999990463257,60.5130876978261,35.0808260332738,4.40608626890013,93.0,95.0
2004,2.49000000953674,59.6119377284503,36.0844688994466,4.30359337210303,87.0,89.0
2003,1.79999995231628,58.7142563619017,37.0810032508334,4.20474038726489,88.0,95.0
2002,1.86199998855591,57.841166978887,38.0493751805954,4.10945784051765,78.0,86.0
2001,1.89999997615814,57.0197468689948,38.9661056258697,4.01414750513551,78.0,88.0
2000,1.63699996471405,56.2705893699209,39.8133061261783,3.91610450390088,78.0,92.0
1999,1.39999997615814,55.6041814837311,40.5642338128438,3.8315847034251,77.0,90.0
1998,1.39999997615814,55.0167707046885,41.2362658294013,3.7469634659102,71.0,86.0
1997,1.40100002288818,54.5044579660655,41.8343728306045,3.66116920333002,84.0,87.0
1996,1.40600001811981,54.0638822453898,42.3621102010287,3.57400755358149,85.0,87.0
1995,1.39999997615814,53.7125434888332,42.801616101156,3.48584041001085,85.0,87.0
1994,1.39800000190735,53.6940422675819,42.9579411051388,3.34801662727934,81.0,86.0
1993,1.39100003242493,53.6522993037875,43.1358853615123,3.21181533470022,84.0,79.0
1992,1.35599994659424,53.6255229029627,43.2961782247865,3.07829887225078,86.0,86.0
1991,1.33700001239777,53.6498002364243,43.3991979529845,2.95100181059121,89.0,91.0
1990,,53.7337699037686,43.4371255680063,2.82910452822511,93.0,96.0
1989,,53.4918102796168,43.7208313624255,2.78735835795771,79.0,76.0
1988,,53.3761824390627,43.8746712721278,2.74914628880951,64.0,70.0
1987,,53.3488970528735,43.9396575442231,2.71144540290343,58.0,63.0
1986,,53.3723145571683,43.9568657926182,2.6708196502135,51.0,53.0
1985,,53.4372536433855,43.9377425872237,2.62500376939082,44.0,41.0
1984,,53.4172359106575,43.9812969017179,2.60146718762459,36.0,28.0
1983,,53.4250219406942,44.0000727567061,2.57490530259969,21.0,16.0
1982,,53.4823539285764,43.9727324017215,2.5449136697021,20.0,15.0
1981,,53.6194933881194,43.8687334224644,2.51177318941621,21.0,13.0
1980,,53.8585560675883,43.6664823348694,2.47496159754224,21.0,6.0
1979,,53.7954680600716,43.7401788990245,2.46435304090386,,
1978,,53.7983335333372,43.7507500143481,2.45091645231474,,
1977,,53.8664290252754,43.6978364582099,2.43573451651464,,
1976,,53.9973590937522,43.585794704288,2.41684620195983,,
1975,,54.2032629536504,43.4026223033559,2.3941147429936,,
1974,,54.2249285153414,43.3826688593567,2.39240262530187,,
1973,,54.2690423326055,43.3418353303852,2.38912233700938,,
1972,,54.3575694067444,43.2616435416062,2.38078705164948,,
1971,,54.5376358098093,43.0939388509716,2.3684253392191,,
1970,,54.8466950988174,42.8012619569751,2.35204294420751,,
1969,,54.9537845920852,42.6824735750683,2.36374183284646,,
1968,,55.1507889242073,42.4784920390049,2.37071903678776,,
1967,,55.4005045434845,42.2268074844321,2.37268797208341,,
1966,,55.6227738966935,42.0112508980846,2.36597520522188,,
1965,,55.7855697378678,41.8647684590975,2.34966180303472,,
1964,,55.7810045188772,41.8502291832008,2.36876629792196,,
1963,,55.648316377228,41.9735326767087,2.37815094606337,,
1962,,55.4618552657384,42.1608670071711,2.37727772709056,,
1961,,55.3866926515506,42.2436432438574,2.36966410459207,,
1960,,55.5408261975565,42.0998889326789,2.35928486976461,,
