date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,18.193000793457,,,,,,,
2018,17.3530006408691,,,61.6631796378814,34.1129460158256,4.22387434629301,97.0,95.0
2017,17.5049991607666,,,61.4743229270593,34.4388412211802,4.08683585176048,97.0,95.0
2016,17.6590003967285,,,61.3285078616083,34.7144139593607,3.95707817903105,97.0,95.0
2015,17.7469997406006,,,61.2468147550167,34.9166036376394,3.83658160734393,97.0,95.0
2014,17.8190002441406,,,61.3487961896335,34.9304181042201,3.72078570614636,97.0,95.0
2013,17.9209995269775,,86.82318,61.4748359795748,34.9082300145257,3.6169340058995,97.0,95.0
2012,17.8889999389648,,,61.6035548913587,34.8754827030981,3.52096240554317,97.0,95.0
2011,17.8649997711182,,,61.6929715793814,34.8838420901428,3.42318633047584,97.0,95.0
2010,17.8600006103516,,,61.7147558885917,34.9684088158401,3.31683529556818,96.0,95.0
2009,16.1690006256104,,,61.4985016621466,35.2081752835171,3.29332305433637,96.0,96.0
2008,16.3080005645752,,,61.231369793578,35.5103962698609,3.25823393656112,95.0,96.0
2007,16.9720001220703,11.8,,60.9247122970963,35.8600214667449,3.21526623615872,95.0,96.0
2006,17.7999992370605,,,60.6165995245949,36.2086771232545,3.17472335215054,94.0,96.0
2005,19.7999992370605,,,60.3326815179775,36.5220407341983,3.14527774782416,93.0,96.0
2004,21.7660007476807,,,59.9364382419527,36.9094327076278,3.15412905041951,93.0,96.0
2003,23.7999992370605,,81.18871,59.5370843370438,37.2848677177903,3.17804794516599,92.0,96.0
2002,21.1350002288818,,,59.1216806813395,37.6676745029162,3.2106448157443,92.0,97.0
2001,18.5400009155273,,,58.6482894025001,38.112222170471,3.23948842702896,91.0,97.0
2000,15.8800001144409,11.1,,58.0904429653375,38.6551364482205,3.25442058644195,91.0,97.0
1999,18.3490009307861,,,57.4012708475132,39.3523670652762,3.24636208721054,90.0,97.0
1998,20.8600006103516,,,56.6524561118501,40.1067631918285,3.24078069632142,89.0,98.0
1997,21.2099990844727,,,55.8876284142363,40.8709284775306,3.24144310823312,89.0,96.0
1996,21.5799999237061,15.1,,55.1838535817057,41.5678560273272,3.24829039096715,89.0,96.0
1995,21.378999710083,,,54.5906747601033,42.1540266843818,3.25529855551487,89.0,95.0
1994,21.2000007629395,,,53.8879502168321,42.8347787643326,3.27727101883535,88.0,94.0
1993,18.6219997406006,,,53.2833015273996,43.4244626941413,3.29223577845916,88.0,94.0
1992,16.0849990844727,,,52.7559597933049,43.9423007816339,3.30173942506127,88.0,94.0
1991,13.8199996948242,,68.58091,52.2550330915117,44.4435815737053,3.30138533478296,88.0,93.0
1990,,,,51.7487386886092,44.9661007992191,3.28516051217169,87.0,92.0
1989,,,,51.1012596385329,45.6780480906143,3.22069227085282,87.0,92.0
1988,,,,50.4773483480506,46.365744579261,3.15690707268844,87.0,88.0
1987,,,,49.9049273274189,46.9939544863391,3.101118186242,87.0,88.0
1986,,,,49.4192771366308,47.5117085214993,3.06901434186992,91.0,86.0
1985,,,,49.0346696185987,47.8945980766318,3.07073230476953,85.0,84.0
1984,,,,48.7460722350037,48.1441946639598,3.10973310103651,82.0,83.0
1983,,,,48.5071225643239,48.3235119914067,3.16936544426932,79.0,82.0
1982,,,,48.3212254965598,48.434012722316,3.24476178112424,75.0,82.0
1981,,,,48.1904712771171,48.4889424854472,3.32058623743562,70.0,75.0
1980,,,,48.1126401653695,48.5022297264186,3.3851301082119,63.0,71.0
1979,,,,48.212120336387,48.4044736005549,3.38340606305812,,
1978,,,,48.3282820820525,48.2751868842849,3.3965310336626,,
1977,,,,48.4244793130542,48.1484118626558,3.42710882428994,,
1976,,,,48.4761272710035,48.0507909955986,3.47308173339792,,
1975,,,,48.482710712142,47.9884805525018,3.52880873535621,,
1974,,,,48.4168448270072,47.9607170440681,3.62243812892466,,
1973,,,,48.349934484398,47.9459699208015,3.7040955948005,,
1972,,,,48.2999346416986,47.9257733565985,3.77429200170291,,
1971,,,,48.285982606866,47.8796992946513,3.8343180984827,,
1970,,,,48.3322845558892,47.783468612348,3.88424683176282,,
1969,,,,48.4133813185016,47.6561426468183,3.93047603468019,,
1968,,,,48.4935848576172,47.5526303005124,3.95378484187038,,
1967,,,,48.6171698978928,47.4223238804846,3.96050622162262,,
1966,,,,48.8607674608891,47.174647355428,3.96458518368289,,
1965,,,,49.2678492983853,46.7558580984796,3.97629260313503,,
1964,,,,49.6264645273631,46.3512529363557,4.02228253628122,,
1963,,,,50.1891970094365,45.7192193173227,4.0915836732408,,
1962,,,,50.886444256918,44.938504480906,4.17505126217596,,
1961,,,,51.5482216175624,44.2041409442445,4.24763743819304,,
1960,,,,52.0675491551383,43.6433977463724,4.28905309848929,,
