date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,9.11699962615967,,,,,,,
2018,8.86200046539307,,97.21411,72.1003909428086,23.0264614896856,4.87314756750582,99.0,99.0
2017,9.31599998474121,,,71.9362597856636,23.495958517974,4.56778169636231,97.0,99.0
2016,8.71100044250488,,,71.815864697475,23.8835159599809,4.30061934254407,98.0,99.0
2015,7.91400003433228,,,71.8373032992936,24.0887717006462,4.07392500006025,96.0,99.0
2014,6.96500015258789,,,71.6471963472103,24.4767173700304,3.87608628275931,97.0,99.0
2013,7.12599992752075,,,71.480462191627,24.8013827175147,3.71815509085829,96.0,99.0
2012,6.90500020980835,,,71.3052239535426,25.1024464333603,3.5923296130971,95.0,95.0
2011,6.69399976730347,,96.08556,71.0476316270753,25.4681372050964,3.48423116782833,91.0,97.0
2010,6.74300003051758,,,70.6511838536869,25.9590990258487,3.38971712046438,94.0,95.0
2009,6.42000007629395,9.6,,70.3698301146635,26.2837777997739,3.34639208556261,99.0,99.0
2008,5.15799999237061,,,70.0564807957388,26.6619401667277,3.2815790375335,99.0,98.0
2007,5.15100002288818,,,69.7217073593535,27.0870614590695,3.19123118157695,97.0,99.0
2006,5.39200019836426,,,69.4195747347156,27.5018027726238,3.07862249266062,97.0,97.0
2005,5.66300010681152,,,69.2159161248268,27.8310335949868,2.95305028018646,98.0,94.0
2004,5.84000015258789,,,68.7888980700158,28.3833148319715,2.8277870980127,99.0,92.0
2003,5.98000001907349,,,68.3523307849292,28.9315101063423,2.71615910872845,98.0,92.0
2002,5.92500019073486,,,67.8809742143479,29.5124891141985,2.60653667145354,99.0,94.0
2001,5.7519998550415,,92.67113,67.3926724974561,30.1161060364552,2.49122146608869,99.0,97.0
2000,5.65299987792969,,,66.9749223357796,30.6568817252713,2.36819593894917,99.0,99.0
1999,5.80999994277954,,,66.3045277581926,31.2773979951565,2.41807424665093,94.0,92.0
1998,5.71700000762939,,,65.6741157596571,31.8602261048304,2.4656581355125,99.0,97.0
1997,5.6269998550415,,,65.0978657383366,32.3905782188628,2.51155604280063,98.0,99.0
1996,5.6710000038147,,,64.5967789588408,32.8380747286801,2.56514631247907,99.0,99.0
1995,5.7039999961853,,,64.2086875744664,33.1694231843669,2.62188924116669,99.0,99.0
1994,5.61199998855591,,,63.8298313376219,33.5714828608345,2.5986858015436,99.0,99.0
1993,5.39699983596802,,,63.5190161920754,33.890464745581,2.59051906234357,99.0,99.0
1992,4.98199987411499,,,63.2457318943233,34.1601799249339,2.59408818074277,92.0,96.0
1991,4.69999980926514,,87.80418,62.9829833590023,34.4141842905977,2.60283235040006,96.0,95.0
1990,,,,62.7448100463434,34.6438827926608,2.61130716099582,99.0,93.0
1989,,,,62.2068098847521,35.120775636488,2.67241447875987,99.0,91.0
1988,,,,61.5575031505213,35.7260928626373,2.71640398684146,99.0,89.0
1987,,,,60.7885066277156,36.4652744745604,2.74621889772397,99.0,85.0
1986,,,,59.9333087932789,37.2977069484442,2.76898425827685,99.0,86.0
1985,,,,59.0610784632589,38.1520969128844,2.78682462385664,98.0,88.0
1984,,,,58.8490890340323,38.3604904319927,2.79042053397502,90.0,96.0
1983,,,,58.6987683660575,38.4975197570682,2.80371187687433,94.0,85.0
1982,,,,58.5873389464489,38.5970446218426,2.81561643170844,88.0,99.0
1981,,,77.7355,58.4523625019373,38.7269336719644,2.82070382609826,80.0,94.0
1980,,,,58.2548909371309,38.9247932989132,2.82031576395587,73.0,89.0
1979,,,,57.7295793266668,39.2619560350526,3.00846463828063,,
1978,,,,57.1783339311829,39.6611572528352,3.1605088159819,,
1977,,,,56.6256854058633,40.0872282702016,3.28708632393512,,
1976,,,,56.1864895558951,40.418953389503,3.39455705460189,,
1975,,,,56.0076967814584,40.5040030688132,3.48830014972839,,
1974,,,,55.508408997111,41.0138516302105,3.4777393726785,,
1973,,,,55.0770308123249,41.4417690152984,3.48120017237664,,
1972,,,,54.673923758291,41.8294348762868,3.49664136542226,,
1971,,,,54.1736996115603,42.3089680182206,3.51733237021913,,
1970,,,,53.5107968099808,42.961807780497,3.52739540952219,,
1969,,,,52.8284789644013,43.6302588996764,3.54126213592233,,
1968,,,,51.9983375460143,44.4435020102122,3.55816044377343,,
1967,,,,51.1249644280023,45.2884889015367,3.58654667046101,,
1966,,,,50.4045714711859,45.9645394037698,3.63088912504428,,
1965,,,,49.9863262555427,46.3246928290977,3.68898091535952,,
1964,,,,50.0787224471435,46.201897517687,3.71938003516951,,
1963,,,,50.5430831729741,45.6948898866795,3.76202694034638,,
1962,,,,51.2823951453381,44.9089750896838,3.80862976497804,,
1961,,,,52.0394567681915,44.1071971202169,3.85334611159159,,
1960,,,,52.61070720423,43.510562776921,3.87873001884899,,
