date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,4.34000015258789,,,,,
2018,5.21099996566772,64.3826202477506,14.5954653179814,21.021914434268,93.0,92.0
2017,6.16400003433228,64.7976668313048,14.4447319823993,20.7576011862959,94.0,92.0
2016,7.57499980926514,65.254273902527,14.3163832312656,20.4293428662073,92.0,92.0
2015,9.14299964904785,65.7074330868291,14.2737356802141,20.0188312329569,92.0,91.0
2014,11.423999786377,66.2442796680931,14.0938295909019,19.661890741005,93.0,88.0
2013,12.9409999847412,66.8134870251223,13.9372254491304,19.2492875257473,95.0,95.0
2012,12.2700004577637,67.3842102328019,13.8016032990442,18.8141864681539,94.0,95.0
2011,11.2600002288818,67.9249862779777,13.6629464739485,18.4120672480738,95.0,95.0
2010,10.2790002822876,68.4250037171677,13.4963221588448,18.0786741239875,97.0,94.0
2009,6.81699991226196,68.7125987470685,13.4290660898027,17.8583351631288,96.0,94.0
2008,5.60900020599365,68.8898998642626,13.4061979878755,17.7039021478619,96.0,95.0
2007,6.87799978256226,68.9733170447394,13.436176199788,17.5905067554726,96.0,95.0
2006,8.95100021362305,69.0071251362205,13.5121658831096,17.4807089806699,96.0,95.0
2005,10.0830001831055,69.032876707339,13.6163545494306,17.3507687432304,96.0,96.0
2004,12.0369997024536,68.7991759970002,13.9288090124876,17.2720149905121,95.0,95.0
2003,13.7329998016357,68.5211329326659,14.3041308445895,17.1747362227446,96.0,96.0
2002,18.1089992523193,68.2333323459915,14.7236945127144,17.0429731412941,92.0,93.0
2001,19.9209995269775,67.9707460990533,15.1742537830505,16.8550001178962,90.0,94.0
2000,16.2180004119873,67.745350468876,15.6599866690956,16.5946628620284,89.0,93.0
1999,14.1000003814697,67.5025331604148,16.0881656348495,16.4093012047356,96.0,96.0
1998,12.1999998092651,67.3451491643185,16.5013326910528,16.1535181446286,95.0,95.0
1997,13.6999998092651,67.2420734322526,16.9186856886919,15.8392408790555,93.0,94.0
1996,13.7209997177124,67.1310436482525,17.3832394473207,15.4857169044268,95.0,95.0
1995,13.6940002441406,66.9834310900136,17.9102498678889,15.1063190420975,94.0,96.0
1994,13.6850004196167,66.8284280998808,18.4313636645755,14.7402082355437,93.0,93.0
1993,13.6520004272461,66.6336366513301,18.9991812069863,14.3671821416836,88.0,98.0
1992,13.4790000915527,66.4561947919045,19.5603648850206,13.9834403230749,92.0,98.0
1991,13.3909997940063,66.3956275117632,20.0249252908549,13.5794471973819,98.0,99.0
1990,,66.5066327295792,20.3473341161605,13.1460331542603,99.0,99.0
1989,,66.5071806902198,20.7254631980986,12.7673561116816,99.0,99.0
1988,,66.6504525462827,20.9952605309257,12.3542869227916,99.0,99.0
1987,,66.8672792179414,21.1931380150964,11.9395827669622,99.0,99.0
1986,,67.0225892279687,21.3937151207054,11.5836956513259,99.0,99.0
1985,,67.0219504262837,21.6498478445602,11.3282017291561,99.0,99.0
1984,,66.9005968056121,21.7863985138897,11.3130046804982,98.0,99.0
1983,,66.6458433880208,21.9188816949978,11.4352749169815,98.0,99.0
1982,,66.329306291204,22.0383895698291,11.6323041389668,90.0,99.0
1981,,66.0846365013104,22.1199124905363,11.7954510081533,98.0,99.0
1980,,66.0027924973119,22.1486574016665,11.8485501010216,98.0,98.0
1979,,65.9859637209186,22.2106557842751,11.8033804948063,,
1978,,66.1073041696977,22.2454827387232,11.647213091579,,
1977,,66.3351588474494,22.2592748114499,11.4055663411007,,
1976,,66.6029756204491,22.2635202028325,11.1335041767184,,
1975,,66.867966097195,22.2661903929236,10.8658435098815,,
1974,,67.0387862022794,22.336322428699,10.6248913690216,,
1973,,67.1881760350308,22.4291274117464,10.3826965532228,,
1972,,67.3142661857868,22.5495616973784,10.1361721168349,,
1971,,67.423321635358,22.6950106852049,9.88166767943708,,
1970,,67.5228041536278,22.8586346411558,9.6185612052164,,
1969,,67.5476007932263,23.0956666594911,9.35673254728262,,
1968,,67.5430502309937,23.3482138658595,9.10873590314682,,
1967,,67.5092599162365,23.6189109398851,8.87182914387844,,
1966,,67.4406834204725,23.917302376043,8.64201420348446,,
1965,,67.3391191022682,24.243483408936,8.4173974887958,,
1964,,67.1582759784369,24.6293470337037,8.2123769878594,,
1963,,66.9215147311674,25.0543246983606,8.02416057047206,,
1962,,66.6644311917068,25.4824325324931,7.8531362758001,,
1961,,66.4549434856522,25.8418372767499,7.70321923759789,,
1960,,66.331291934787,26.0935905124361,7.57511755277685,,
