date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,1.42700004577637,27.2,,,,,,
2018,1.44799995422363,,,52.2513787905443,45.5016807491186,2.24694046033717,88.0,90.0
2017,1.48699998855591,,68.37533,52.2577451836004,45.5554940838286,2.18676073257099,90.0,91.0
2016,1.52799999713898,29.3,,52.3029616242189,45.5617398749713,2.13529850080974,93.0,94.0
2015,1.55200004577637,,,52.3834673716515,45.5206825176697,2.09585011067881,93.0,94.0
2014,1.57200002670288,,61.56973,52.4739547224236,45.4436826837543,2.08236259382207,94.0,95.0
2013,1.64400005340576,,,52.5666355460226,45.3442457887291,2.08911866524826,98.0,96.0
2012,1.67799997329712,,,52.6443901938873,45.2444887447399,2.11112106137278,93.0,96.0
2011,1.7150000333786,,,52.6896526011435,45.172567530429,2.13777986842749,93.0,96.0
2010,1.75999999046326,29.1,,52.6988213613303,45.140314182232,2.16086445643772,92.0,96.0
2009,1.76400005817413,,,52.4478462354073,45.3612955406191,2.19085822397361,91.0,94.0
2008,1.63399994373322,,48.08406,52.1059912858588,45.6771893830523,2.21681933108888,84.0,92.0
2007,1.65900003910065,,,51.6861535440272,46.075494765215,2.23835169075785,88.0,99.0
2006,1.73800003528595,,,51.2222574343944,46.5200610579942,2.25768150761142,92.0,92.0
2005,1.83200001716614,35.2,,50.7458252442476,46.9779474483025,2.27622730744989,87.0,87.0
2004,1.87800002098083,,,50.1139210563326,47.5496070848815,2.33647185878585,78.0,83.0
2003,1.91499996185303,,,49.449831339698,48.159629963379,2.39053869692295,76.0,82.0
2002,1.91199994087219,,,48.7710305598966,48.7920475087458,2.43692193135766,75.0,81.0
2001,1.87300002574921,,,48.0917992290299,49.4346908955497,2.47350987542037,73.0,81.0
2000,1.87600004673004,39.1,59.30362,47.4297724471932,50.071948468624,2.49827908418276,72.0,80.0
1999,1.89199995994568,,,47.2166499338453,50.2456310103326,2.5377190558221,70.0,79.0
1998,1.85699999332428,,,47.0571631163021,50.3851873120017,2.55764957169615,68.0,65.0
1997,1.86099994182587,,,46.9817367484846,50.4563771105808,2.56188614093461,77.0,74.0
1996,1.87100005149841,,,47.0124722137928,50.4323105632884,2.55521722291885,79.0,73.0
1995,1.86099994182587,,,47.1488846831399,50.3100612439229,2.54105407293717,80.0,73.0
1994,1.85899996757507,,,47.2980608299724,50.1037215498917,2.59821762013586,42.0,48.0
1993,1.84700000286102,,,47.5912862472972,49.7588242121968,2.6498895405061,69.0,63.0
1992,1.77799999713898,,,48.020610088883,49.2849523310348,2.69443758008219,69.0,80.0
1991,1.74399995803833,,,48.595758506043,48.6742321461238,2.7300093478332,74.0,83.0
1990,,,37.38472,49.3316089831194,47.9127523898424,2.75563862703824,74.0,86.0
1989,,,,49.4620288524607,47.7335229671972,2.80444818034211,73.0,82.0
1988,,,,49.696828872571,47.4533431823643,2.8498279450647,46.0,51.0
1987,,33.6,,50.0273913308129,47.0815800163035,2.89102865288361,54.0,68.0
1986,,,,50.4211496286995,46.6518087814317,2.92704158986875,59.0,55.0
1985,,,,50.8573120904801,46.1866193262366,2.95606858328332,32.0,36.0
1984,,,,51.1381157269163,45.8508498944949,3.01103437858883,27.0,26.0
1983,,,,51.3964878078716,45.5463695319189,3.0571426602095,54.0,44.0
1982,,,,51.6306735310261,45.2763005157403,3.09302595323358,40.0,33.0
1981,,,,51.8755566597602,45.0052267421693,3.11921659807056,28.0,36.0
1980,,,,52.1778328135246,44.6847207008013,3.13744648567411,,
1979,,,22.50855,52.026493656007,44.7923768412291,3.18112950276385,,
1978,,,,51.8492803472848,44.9337421181556,3.21697753455959,,
1977,,,,51.6601222744131,45.0946634340352,3.2452142915517,,
1976,,,,51.4715830904849,45.2642638796183,3.26415302989681,,
1975,,,,51.3099857331229,45.4178465662221,3.27216770065498,,
1974,,,,51.2141323941136,45.5522674088718,3.23360019701456,,
1973,,,,51.151859879516,45.6662818442407,3.18185827624333,,
1972,,,,51.1636943064141,45.7152293800036,3.12107631358228,,
1971,,,,51.2793353648743,45.6663844190236,3.05428021610217,,
1970,,,,51.5056305212249,45.51265652872,2.9817129500551,,
1969,,,,51.3476653122056,45.6590753577136,2.99325933008075,,
1968,,,,51.2617746807167,45.7388189792585,2.99940634002482,,
1967,,,,51.2633337206421,45.7382812956279,2.99838498372996,,
1966,,,,51.4153963582916,45.5950972878009,2.98950635390744,,
1965,,,,51.7696765651525,45.2579661379553,2.9723572968922,,
1964,,,,51.8705742014149,45.1489117037693,2.98051409481576,,
1963,,,,52.1357078450574,44.8829402781718,2.98135187677079,,
1962,,,,52.5251597604805,44.5000397272953,2.97480051222414,,
1961,,,,52.9210100272118,44.1193112698681,2.9596787029201,,
1960,,,,53.2436814046946,43.8210078014762,2.93531079382916,,
