date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,12.2489995956421,,,,,,,
2018,12.1700000762939,,,66.6129058953559,28.7777669479759,4.60932715666821,99.0,98.0
2017,12.2399997711182,,,66.2843396626592,29.1831783560125,4.5324819813283,96.0,96.0
2016,12.1059999465942,,,65.9289536210383,29.5779314915296,4.49311488743208,93.0,96.0
2015,11.9090003967285,,86.79029,65.5488496273414,29.9403708100918,4.51077956256682,92.0,93.0
2014,11.6979999542236,,,65.1147758605054,30.2905236835555,4.59470045593907,93.0,95.0
2013,11.5109996795654,,,64.6193048140882,30.6357816737926,4.74491351211925,91.0,93.0
2012,11.2180004119873,,85.32779,64.0256514295328,31.0348649638287,4.9394836066385,91.0,94.0
2011,10.9350004196167,,,63.2790559218373,31.5789895701574,5.1419545080053,96.0,90.0
2010,10.6700000762939,,,62.3610079284853,32.3137536689035,5.32523840261116,97.0,99.0
2009,10.585000038147,,,61.3652755146701,33.1994304160305,5.43529406929938,97.0,99.0
2008,10.2390003204346,,,60.2231086302777,34.2522075858598,5.52468378386247,96.0,99.0
2007,10.289999961853,,,58.9976003031196,35.408579968846,5.59381972803435,95.0,98.0
2006,10.4429998397827,,,57.7973868746936,36.5571114947674,5.64550163053904,94.0,96.0
2005,10.6190004348755,,,56.6887385753037,37.6386513243145,5.67261010038183,92.0,95.0
2004,10.7030000686646,,,55.605025656075,38.8095493597479,5.58542498417711,91.0,93.0
2003,10.7679996490479,,,54.6373880381393,39.8962060765008,5.46640588535994,90.0,92.0
2002,10.7600002288818,,,53.7680240026549,40.909716876133,5.32225912121205,89.0,91.0
2001,10.6879997253418,,,52.9176583453635,41.9135248525966,5.16881680203989,88.0,90.0
2000,10.6909999847412,,76.11044,52.022709650901,42.96337122946,5.01391911963904,86.0,90.0
1999,10.7159996032715,,,51.4172842559912,43.6953564259416,4.88735931806722,85.0,89.0
1998,10.6499996185303,,,50.8564557808947,44.3677063081495,4.77583791095575,84.0,88.0
1997,10.6560001373291,,,50.3684519083063,44.9558327705753,4.67571532111839,83.0,87.0
1996,10.6719999313354,,,50.0140316989986,45.405819489145,4.58014881185641,84.0,88.0
1995,10.6520004272461,,,49.8291412535854,45.6858166530325,4.48504209338207,85.0,88.0
1994,10.6450004577637,11.8,,49.6114578102958,45.9693895171981,4.41915267250609,87.0,89.0
1993,10.621000289917,,,49.5359961535625,46.1168191491396,4.34718469729793,88.0,89.0
1992,10.4919996261597,,,49.5616389839132,46.1584733399483,4.27988767613849,82.0,88.0
1991,10.4259996414185,,,49.6190393668948,46.1436039626838,4.2373566704214,76.0,87.0
1990,,,62.79686,49.6647433052227,46.0973516792425,4.23790501553484,79.0,88.0
1989,,,,49.8730293889407,45.8896850343772,4.2372855766821,84.0,99.0
1988,,,,50.0193402221363,45.6880514265716,4.29260835129211,80.0,88.0
1987,,,,50.1194201815436,45.4899030002958,4.39067681816059,75.0,92.0
1986,,,,50.1917148849079,45.3119867599869,4.49629835510524,58.0,54.0
1985,,13.7,,50.2165696648464,45.1960035677847,4.58742676736889,54.0,39.0
1984,,,,49.9274832100766,45.3795045339326,4.6930122559908,,31.0
1983,,,,49.5486793458349,45.6706524997502,4.78066815441495,,23.0
1982,,,,49.0650934226892,46.0856946719501,4.84921190536067,,
1981,,,,48.4565794988863,46.6368986791466,4.90652182196711,,
1980,,,,47.7352235535341,47.3092898639056,4.95548658256032,,
1979,,,,47.4003503378258,47.5851714152933,5.01447824688092,,
1978,,,,47.0337540825711,47.9252210562906,5.04102486113827,,
1977,,,,46.7309345674722,48.2323888268974,5.03667660563045,,
1976,,,,46.6263976826293,48.3810099431714,4.99259237419935,,
1975,,,,46.7809078361647,48.3169100859584,4.9021820778769,,
1974,,,,46.7523961070199,48.4690818932021,4.77852199977797,,
1973,,,,46.9203299541075,48.475290333053,4.60437971283958,,
1972,,,,47.2136490547853,48.3860169288891,4.4003340163256,,
1971,,,,47.4425839172309,48.3621995584371,4.19521652433203,,
1970,,,,47.4501818506703,48.5353296578527,4.01448849147703,,
1969,,,,47.4130110494092,48.5528728084326,4.03411614215818,,
1968,,,,47.2862407095122,48.6103303978515,4.10342889263631,,
1967,,,,47.1451599219479,48.6504502539117,4.2043898241404,,
1966,,,,47.2916972198362,48.3949634409503,4.31333933921351,,
1965,,,,47.9663047157774,47.6191096181722,4.4145856660504,,
1964,,,,48.4413405816603,46.9939178642553,4.56474155408436,,
1963,,,,49.4451540056271,45.8518436250555,4.70300236931734,,
1962,,,,50.8051698375384,44.3609559250412,4.83387423742041,,
1961,,,,52.0389427595981,43.0094434730941,4.95161376730776,,
1960,,,,52.8099521720814,42.1302009763834,5.0598468515352,,
