date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,8.01084604103868,,,,,
2018,8.37281178655369,67.4904170002725,23.7129242507539,8.79665874897365,91.7169693560013,96.339518978885
2017,9.55345614615701,67.4127657231561,23.9754354405203,8.61179883632361,94.5432765942634,91.3114383180173
2016,10.4834363681144,67.3113898597688,24.250236064671,8.43837407556018,94.0216832391201,96.943846625349
2015,10.5639743584888,67.2026328532558,24.5267419229711,8.27062522377309,92.9567201897951,93.0850811442718
2014,10.7659259499761,67.0142991380516,24.8619804028757,8.12372045907264,93.5050795015041,92.9676579286635
2013,11.5431232699405,66.7950477502575,25.2225385254629,7.98241372427964,94.2935815413268,93.4189156564176
2012,11.0101146331922,66.5419929848843,25.6100012270269,7.84800578808884,90.8023318261352,94.4087971865634
2011,10.4140868820089,66.2545121012371,26.0210444910603,7.72444340770264,91.0219534321137,92.0656097455614
2010,10.268975216864,65.9355359861043,26.4498975094086,7.61456650448718,91.5774540143955,94.0214280746897
2009,9.714825602229,65.5634982181904,26.947699985983,7.48880179582669,92.1461707883875,92.1050258402414
2008,8.37093119593342,65.1566442789801,27.4579487529967,7.38540696802321,90.7200837938258,91.1120095862895
2007,8.1285376061946,64.7354508385928,27.9685233558011,7.29602580560611,85.5238050489086,91.7166118491308
2006,8.60032875033034,64.3080593205524,28.4805427712409,7.2113979082066,88.9746164741216,92.9352912066347
2005,9.4519327229476,63.8659460118688,29.0092284526927,7.12482553543847,88.9457700831486,95.3652958525653
2004,9.73571896597138,63.5231017923795,29.4119050546279,7.06499315299259,89.1522517491706,94.4714630621161
2003,10.1632558032102,63.1876819494654,29.8068667393508,7.0054513111838,83.2887730780107,92.2029491374783
2002,11.1569613348298,62.8530856031075,30.2015281134885,6.94538628340408,87.4032992081583,93.490330317928
2001,11.2723073802783,62.5050195226069,30.6082109769744,6.88676950041863,88.3265639151754,92.7110934132859
2000,11.6025156553079,62.137132933558,31.0329401363582,6.8299269300838,88.7628262272909,89.8051781377763
1999,11.99719657141,61.8398788864312,31.416388946892,6.74373216667687,84.842077744942,87.6618322345988
1998,11.9254215079888,61.4855649092192,31.8526608605036,6.66177423027719,89.2342043856763,88.5648801866754
1997,12.5235432653885,61.0913570559699,32.3246448300338,6.58399811399628,87.0248483952078,89.2819479366958
1996,12.476899413655,60.7126975495946,32.7774998154512,6.5098026349542,92.4100565037067,88.6383907281897
1995,12.6885754760225,60.3861564606329,33.1774485742422,6.43639496512494,86.7258097431562,88.8838955132503
1994,12.8970322335183,60.1046498791841,33.4845106240315,6.41083949678438,83.4077094630051,89.5364774648709
1993,13.5408293895481,59.9156210772343,33.7000042090425,6.38437471372321,83.285734139901,88.4281074675776
1992,13.3081767228753,59.7690539181888,33.8775127991424,6.35343328266885,71.4627832902771,83.9410301197745
1991,12.9715949465922,59.5586757919851,34.1289992274136,6.31232498060127,82.5647830534994,83.8715095986038
1990,,59.2212048575139,34.5207222153562,6.25807292713,74.8586086376425,85.3263842561708
1989,,59.0050856045168,34.8153610154201,6.17955338006308,71.3171602007307,81.6523890081458
1988,,58.6527233759515,35.2385478307349,6.10872879331355,69.3641321251581,77.3759235836081
1987,,58.2127395215173,35.7333969336265,6.0538635448562,65.2583176691729,78.8030880773362
1986,,57.8096645244017,36.1714701439415,6.01886533165686,49.3023711566848,74.2840488678119
1985,,57.52901049549,36.4729870060523,5.99800249845779,55.286149044089,69.9590909090909
1984,,57.101801031427,36.9198577657713,5.9783412028016,50.2732972618462,65.3087260206591
1983,,56.7572875806961,37.2883598524773,5.95435256682657,33.2499851999696,59.4148011076024
1982,,56.4294927014771,37.6404369768556,5.93007032166736,30.2922875288074,48.2514141658321
1981,,56.010163817715,38.0914076957514,5.89842848653366,,46.0367166994451
1980,,55.4447155473465,38.7095667588359,5.8457176938177,,29.6277661477838
1979,,54.9651851541666,39.2945999546541,5.74021489117932,,
1978,,54.3516546944828,40.0296686605364,5.61867664498073,,
1977,,53.6275784937114,40.8821762752064,5.49024523108221,,
1976,,52.8718269020458,41.7673437735756,5.36082932437854,,
1975,,52.1424219073263,42.6302740485654,5.2273040441083,,
1974,,51.6301763035618,43.2161386227659,5.15368507367236,,
1973,,51.189379134588,43.7345348629564,5.07608600245566,,
1972,,50.8033291120033,44.196692331618,4.99997855637865,,
1971,,50.4261810297189,44.6497219677616,4.92409700251952,,
1970,,50.0245107376288,45.1332057072552,4.84228355511609,,
1969,,50.1146119355376,45.1084176982447,4.77697036621772,,
1968,,50.2769045168312,45.012337755033,4.71075772813577,,
1967,,50.4940446450964,44.8591276181038,4.64682773679983,,
1966,,50.7555421644759,44.6546064603333,4.58985137519085,,
1965,,51.0514491095407,44.4094675425347,4.53908334792467,,
1964,,51.2538285035231,44.2941273788265,4.45204411765041,,
1963,,51.5062376498516,44.1252772198777,4.36848513027077,,
1962,,51.82405758695,43.8900761976314,4.2858662154186,,
1961,,52.2114999245526,43.5819912173377,4.20650885810974,,
1960,,52.6580358437264,43.2058839663191,4.13608018995451,,
