date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,,,,,,,,
2018,,,,,,,,
2017,,,,,,,,
2016,,,,,,,,
2015,,,,,,,,
2014,,,,,,,,
2013,,,,,,,,
2012,,,,,,,,
2011,,,,,,,,
2010,,,,,,,,
2009,,,,,,,,
2008,,,,,,,,
2007,,,98.86782,,,,,
2006,,,,,,,,
2005,,,,,,,,
2004,,,,,,,,
2003,,,,,,,,
2002,,,,,,,,
2001,,,,,,,,
2000,,,,,,,,
1999,,,,,,,,
1998,,,,,,,,
1997,,,,,,,,
1996,,,,,,,,
1995,,,,,,,,
1994,,,,,,,,
1993,,,,,,,,
1992,,,,,,,,
1991,,,,,,,,
1990,,,,,,,,
1989,,,,,,,,
1988,,,,,,,,
1987,,,,,,,,
1986,,,,,,,,
1985,,,,,,,,
1984,,,,,,,,
1983,,,,,,,,
1982,,,,,,,,
1981,,,,,,,,
1980,,,,,,,,
1979,,,,,,,,
1978,,,,,,,,
1977,,,,,,,,
1976,,,,,,,,
1975,,,,,,,,
1974,,,,,,,,
1973,,,,,,,,
1972,,,,,,,,
1971,,,,,,,,
1970,,,,,,,,
1969,,,,,,,,
1968,,,,,,,,
1967,,,,,,,,
1966,,,,,,,,
1965,,,,,,,,
1964,,,,,,,,
1963,,,,,,,,
1962,,,,,,,,
1961,,,,,,,,
1960,,,,,,,,
