date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,3.6800000667572,,,,,,,
2018,3.66400003433228,20.8,37.39582,52.879905742539,44.294320550801,2.82577370666008,49.0,47.0
2017,3.74000000953674,,,52.522169710639,44.6462300123389,2.83160027702211,49.0,47.0
2016,3.81900000572205,,,52.2123831397765,44.954542910197,2.83307395002651,49.0,47.0
2015,3.86400008201599,,,51.9641811905626,45.204810857368,2.83100795206947,49.0,47.0
2014,3.90199995040894,,,52.0115362860999,45.1005840944855,2.88787961941456,49.0,47.0
2013,3.95600008964539,,,52.1183270292971,44.9442708811082,2.93740208959465,25.0,23.0
2012,3.94000005722046,24.5,,52.2994011382161,44.7219782815678,2.9786205802161,49.0,47.0
2011,3.92899990081787,,,52.5682240926331,44.4232916168493,3.00848429051764,49.0,47.0
2010,3.92700004577637,23.5,36.75261,52.9194614349334,44.056079555609,3.02445900945753,53.0,45.0
2009,3.86700010299683,,,52.8245526065531,44.0743033341979,3.10114405924901,56.0,42.0
2008,3.625,,,52.825337216611,44.0086807448742,3.16598203851484,58.0,45.0
2007,3.66100001335144,,,52.90530513267,43.8766701365647,3.21802473076529,59.0,48.0
2006,3.76900005340576,26.1,,53.0393249845984,43.7026431562949,3.25803185910678,61.0,51.0
2005,3.89599990844727,,,53.213836630611,43.4997976912536,3.28636567813545,62.0,54.0
2004,3.95700001716614,,,53.12667697844,43.5148836768837,3.35843934467628,55.0,51.0
2003,4.00600004196167,,,53.0650077901546,43.5159040508546,3.41908815899078,49.0,47.0
2002,4.00099992752075,,,53.0396399069153,43.4923811086844,3.46797898440031,42.0,44.0
2001,3.95000004768372,,,53.0759389127081,43.4188120530314,3.50524903426045,35.0,40.0
2000,3.95300006866455,21.3,50.64517,53.1936500855532,43.2753904967741,3.53095941767271,36.0,37.0
1999,3.97300004959106,,,53.0132259176046,43.3906668158135,3.59610726658186,37.0,33.0
1998,3.92700004577637,,,52.8813474466349,43.465471938937,3.65318061442812,37.0,43.0
1997,3.93199992179871,,,52.8011140077514,43.4986245871698,3.70026140507883,42.0,43.0
1996,3.9449999332428,,,52.7685020976455,43.4963619551585,3.73513594719598,44.0,48.0
1995,3.93199992179871,,,52.7800981550622,43.4649866445565,3.7549152003813,46.0,53.0
1994,3.92799997329712,24.0,,52.5802268888666,43.6099348806944,3.80983823043909,52.0,48.0
1993,3.91199994087219,,,52.4254722930494,43.7168372262814,3.8576904806692,42.0,47.0
1992,3.8199999332428,,,52.3184024525249,43.78380095403,3.89779659344507,32.0,45.0
1991,3.7739999294281,,,52.2613269578105,43.8086523266038,3.93002071558574,57.0,64.0
1990,,,,52.2659432635939,43.780208598321,3.95384813808505,82.0,82.0
1989,,,,52.4438274064421,43.5601554994038,3.99601709415406,69.0,64.0
1988,,,33.62442,52.647780805524,43.3222975879862,4.02992160648975,40.0,42.0
1987,,,,52.8926569040818,43.0509966601684,4.0563464357498,17.0,22.0
1986,,,,53.2073581826812,42.7165932508803,4.07604856643856,24.0,19.0
1985,,,,53.6072936142326,42.3026557243047,4.09005066146271,23.0,20.0
1984,,,,53.5054725219922,42.3383078153408,4.15621966266701,19.0,17.0
1983,,,,53.4454143702843,42.3296019585462,4.22498367116954,16.0,16.0
1982,,,,53.415422982504,42.2925124596792,4.29206455781681,16.0,14.0
1981,,,,53.3977907140037,42.2513802517353,4.35082903426098,15.0,11.0
1980,,,,53.3921748002597,42.2123112401994,4.39551395954088,12.0,13.0
1979,,,,53.3641290054966,42.1777700339643,4.45810096053909,,
1978,,,,53.3419905415769,42.149666876311,4.50834258211215,,
1977,,,,53.3449612460103,42.1081425291887,4.54689622480108,,
1976,,,,53.4005770615529,42.0245426421648,4.57488029628235,,
1975,,,18.23617,53.5341434981288,41.872488660195,4.59336784167625,,
1974,,,,53.678052450961,41.6857723078714,4.63617524116758,,
1973,,,,53.8662365893291,41.4667523021575,4.66701110851343,,
1972,,,,54.1150948022842,41.1984375050193,4.68646769269647,,
1971,,,,54.4460852868595,40.858660442332,4.69525427080854,,
1970,,,,54.8760893667207,40.4301369741997,4.69377365907957,,
1969,,,,54.869267469465,40.3802208266975,4.75051170383746,,
1968,,,,54.9235348820143,40.2752216783225,4.80124343966325,,
1967,,,,55.0520341251137,40.1045014289043,4.84346444598203,,
1966,,,,55.276299910521,39.8498164097359,4.87388367974303,,
1965,,,,55.619726951051,39.4913478391858,4.88892520976321,,
1964,,,,55.7433843751399,39.3213172068412,4.93529841801897,,
1963,,,,55.9508538214605,39.0828621538968,4.96628402464274,,
1962,,,,56.2368951807772,38.7795684028069,4.9835364164159,,
1961,,,,56.5811046180178,38.4261231165625,4.99277226541971,,
1960,,,,56.9801713827557,38.0217198475295,4.99810876971474,,
