date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,4.32000017166138,,,,,
2018,4.27600002288818,71.2021137123803,17.8770027525543,10.9208835350654,99.0,99.0
2017,4.44099998474121,71.7175184402221,17.9373611027194,10.3451204570585,99.0,99.0
2016,4.53499984741211,72.2027527736548,17.9946160874834,9.80263113886186,99.0,99.0
2015,4.62900018692017,72.61433377299,18.0538360554933,9.3318301715167,99.0,99.0
2014,4.60900020599365,72.8992407406556,18.1343618544823,8.96639740486212,99.0,99.0
2013,4.59000015258789,73.0809292040303,18.2400894189889,8.67898137698078,99.0,99.0
2012,4.57000017166138,73.1770279539402,18.3696637160689,8.45330832999088,99.0,99.0
2011,4.5479998588562,73.2309997808867,18.5098462780582,8.25915394105518,99.0,99.0
2010,4.52600002288818,73.26558948405,18.6599572797731,8.07445323617687,99.0,99.0
2009,4.71999979019165,73.2057255394451,18.8620381428067,7.93223631774819,99.0,99.0
2008,4.58699989318848,73.1296112760178,19.0546648730447,7.81572385093753,97.0,97.0
2007,4.34700012207031,72.9853668548011,19.3017915100667,7.7128416351323,94.0,93.0
2006,4.43100023269653,72.6735800146097,19.7208099777018,7.60561000768848,93.0,93.0
2005,4.5149998664856,72.1640797381751,20.3534495404855,7.48247072133937,86.0,87.0
2004,4.49399995803833,71.5088523199023,21.1244260071492,7.36672167294851,86.0,87.0
2003,4.58199977874756,70.6183595778575,22.150753825892,7.23088659625051,85.0,86.0
2002,4.24300003051758,69.6382031793899,23.2795876069689,7.08220921364119,85.0,86.0
2001,3.80200004577637,68.8457063371142,24.214505249819,6.93978841306684,85.0,86.0
2000,3.26099991798401,68.3994264262824,24.788720806345,6.81185276737254,84.0,85.0
1999,3.25200009346008,67.8441287833647,25.4805158587505,6.67535535788477,84.0,85.0
1998,3.24300003051758,67.6097578712472,25.8392100330637,6.55103209568906,83.0,84.0
1997,3.23300004005432,67.5670010754361,26.0024129933621,6.43058593120182,83.0,84.0
1996,3.11800003051758,67.3888722165788,26.3180617246871,6.2930660587341,84.0,83.0
1995,3.00399994850159,66.8435300734225,27.0321656011599,6.12430432541758,80.0,80.0
1994,2.8970000743866,66.692144869631,27.2924230938805,6.01543203648852,75.0,85.0
1993,2.68700003623962,66.3865469949467,27.7129920864128,5.90046091864049,81.0,88.0
1992,2.37400007247925,66.0062009830746,28.2064566558394,5.78734236108601,87.0,91.0
1991,2.37100005149841,65.7534569422324,28.5529515884119,5.69359146935571,92.0,94.0
1990,,65.7801209331756,28.589716845711,5.63016222111345,98.0,97.0
1989,,65.4834896349352,28.95946888834,5.55704147672482,95.0,95.0
1988,,65.204299371925,29.2942594602936,5.50144116778134,95.0,95.0
1987,,64.8862528854118,29.6620940698088,5.45165304477948,77.0,75.0
1986,,64.4721593263051,30.1365632906197,5.39127738307525,63.0,78.0
1985,,63.9538247533856,30.7362367077188,5.30993853889561,88.0,78.0
1984,,63.1587992460689,31.629335456905,5.21186529702616,84.0,73.0
1983,,62.2745737059581,32.6291885571077,5.0962377369342,78.0,58.0
1982,,61.3441723251584,33.6897236516271,4.96610402321453,,
1981,,60.3857280199302,34.7889660428859,4.82530593718395,,
1980,,59.3901469202396,35.9355200938644,4.674332985896,,
1979,,58.5326552392617,36.9157879908682,4.55155676987009,,
1978,,57.7509512644756,37.8188286257299,4.43022010979445,,
1977,,57.0748641292558,38.6133638348884,4.31177203585586,,
1976,,56.5183714294269,39.2847593352646,4.19686923530845,,
1975,,56.0742408817335,39.8413071562912,4.08445196197531,,
1974,,55.818037641589,40.1714659535763,4.01049640483466,,
1973,,55.7144514794786,40.3416391427739,3.94390937774747,,
1972,,55.7148201417085,40.404366435523,3.88081342276849,,
1971,,55.7589527900659,40.4248529893107,3.81619422062341,,
1970,,55.8447515133113,40.4072218128719,3.74802667381684,,
1969,,55.7189807252953,40.580855840464,3.70016343424076,,
1968,,55.4836421844082,40.8775957598194,3.63876205577242,,
1967,,55.220927981574,41.2134597458251,3.56561227260086,,
1966,,55.1412106991901,41.3675194564559,3.49126984435394,,
1965,,55.3978086362411,41.1784359671728,3.42375539658608,,
1964,,55.3484291751092,41.1392013880568,3.51236943683403,,
1963,,55.5933222615383,40.8074946286727,3.59918310978903,,
1962,,56.0432071621243,40.2824705322397,3.67432230563595,,
1961,,56.4143062276544,39.8744310878727,3.71126268447286,,
1960,,56.4892986405363,39.822191539105,3.6885098203587,,
