date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,9.70699977874756,,,,,,,
2018,9.11100006103516,,95.09251,68.4440570001664,23.077895979964,8.47804701986958,95.0,92.0
2017,8.87199974060059,,,68.2439989221801,23.5569125467782,8.19908853104178,93.0,92.0
2016,8.69200038909912,3.7,94.65385,68.0179463013345,24.0457654306216,7.9362882680438,93.0,91.0
2015,8.29899978637695,,94.24505,67.7756374926303,24.5296683230477,7.69469418432195,94.0,91.0
2014,8.57199954986572,,94.18625,67.5305512111984,25.0387904912347,7.43065829756691,91.0,90.0
2013,9.05200004577637,,,67.2568779946048,25.5502420417394,7.19287996365583,92.0,91.0
2012,9.73999977111816,,,66.949967008653,26.0723945745132,6.97763841683379,94.0,91.0
2011,10.1110000610352,,93.58053,66.5847683980824,26.6378076939215,6.77742390799607,88.0,85.0
2010,10.9840002059937,3.4,93.37233,66.1450598924876,27.2685222244581,6.58641788305431,88.0,88.0
2009,12.0659999847412,,93.24469,65.7132748934783,27.8772937346623,6.40943137185935,89.0,92.0
2008,11.2729997634888,,93.37818,65.2250396706811,28.5262685155737,6.24869181374523,95.0,92.0
2007,11.2040004730225,,92.65179,64.7139517479685,29.184720961291,6.10132729074052,93.0,93.0
2006,11.5260000228882,,92.29968,64.2408813872545,29.7943188540738,5.96479975867168,95.0,93.0
2005,11.8699998855591,,92.84866,63.8428668278492,30.3210584067994,5.83607476535148,96.0,93.0
2004,13.7170000076294,5.0,92.80378,63.4545526061143,30.844367050017,5.70108034386861,94.0,89.0
2003,14.1890001296997,,,63.1321417970923,31.294077223125,5.57378097978277,93.0,92.0
2002,15.6330003738403,,,62.8524568346309,31.696537963213,5.45100520215602,93.0,81.0
2001,15.039999961853,,,62.5611154738874,32.1103254084047,5.32855911770794,93.0,80.0
2000,20.5200004577637,4.9,,62.2228158246305,32.5738113137008,5.20337286166872,88.0,79.0
1999,20.0599994659424,,,61.9455633128972,32.9702933662869,5.08414332081581,79.0,74.0
1998,15.0,,,61.6446786517125,33.3910067297185,4.96431461856905,78.0,73.0
1997,12.1400003433228,,,61.3369199285332,33.8179451698927,4.84513490157407,80.0,84.0
1996,11.8100004196167,,91.20716,61.0659932964881,34.2033434919104,4.7306632116015,90.0,85.0
1995,8.72000026702881,6.3,,60.8647275266836,34.5120420561099,4.62323041720648,95.0,85.0
1994,8.25,,,60.6140991889058,34.8633835434731,4.52251726762109,84.0,85.0
1993,7.80000019073486,,91.06309,60.3929694774556,35.1793401636162,4.42769035892825,94.0,88.0
1992,9.4399995803833,,,60.1935578951124,35.4692585553391,4.33718354954855,74.0,78.0
1991,10.1199998855591,,,59.9999342384668,35.7513582496673,4.24870751186588,78.0,84.0
1990,,,,59.796589842331,36.0431235334411,4.16028662422787,82.0,88.0
1989,,8.8,,59.5800927237185,36.3387271459209,4.08118013036063,81.0,78.0
1988,,,,59.3821891883186,36.6106397905257,4.00717102115561,74.0,74.0
1987,,,,59.1843614957109,36.8787135467641,3.93692495752501,59.0,58.0
1986,,8.9,,58.942879932729,37.1890070539915,3.86811301327946,45.0,48.0
1985,,,,58.6293050485688,37.5718656490603,3.79882930237088,51.0,61.0
1984,,,,58.2708408011963,37.9841212293869,3.74503796941677,51.0,61.0
1983,,,,57.8289514696392,38.4777178112982,3.6933307190626,43.0,42.0
1982,,,,57.3325057712456,39.0252033151306,3.64229091362378,28.0,26.0
1981,,,,56.8517828938738,39.5570480543116,3.59116905181463,26.0,20.0
1980,,,,56.4372506598947,40.0239125613474,3.53883677875799,13.0,16.0
1979,,,,55.8521048573948,40.6624080862862,3.48548705631902,,
1978,,,,55.2692963806605,41.3030895356446,3.42761408369493,,
1977,,,,54.6756398734807,41.9595029435263,3.36485718299298,,
1976,,,,54.0367398345416,42.6650592834973,3.29820088196116,,
1975,,,,53.3321778759949,43.4391388471475,3.22868327685762,,
1974,,,,52.7186061100366,44.1006278000539,3.18076608990948,,
1973,,,,52.1303356765312,44.7332380522901,3.13642627117867,,
1972,,,,51.5951000214288,45.3097150191471,3.09518495942406,,
1971,,,,51.1326041925143,45.8130210989103,3.05437470857545,,
1970,,,,50.7452142253759,46.2436263577415,3.01115941688258,,
1969,,,,50.363529473334,46.6477284230656,2.98874210360046,,
1968,,,,50.0457518765968,46.987444504305,2.96680361909823,,
1967,,,,49.798008923499,47.2571608029435,2.94483027355752,,
1966,,,,49.6467172275145,47.4292858721124,2.92399690037314,,
1965,,,,49.6174656192749,47.4772960246982,2.90523835602685,,
1964,,,,49.6088705562007,47.482790409011,2.90833903478837,,
1963,,,,49.7067807057513,47.3793701058861,2.91384918836262,,
1962,,,,49.892429133516,47.1879757452765,2.91959512120751,,
1961,,,,50.1272859764033,46.9503907305558,2.92232329304095,,
1960,,,,50.3866550452605,46.6938963454597,2.91944860927987,,
