date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,9.47200012207031,,,,,,,
2018,9.67000007629395,,80.29876,55.5547780005145,41.7635024604532,2.68171953903232,75.0,75.0
2017,9.76299953460693,,,55.4126395725043,41.9441974134633,2.64316301403234,70.0,69.0
2016,9.85799980163574,,,55.3186952970851,42.0756410966803,2.60566360623458,67.0,71.0
2015,9.91199970245361,,,55.2762868106987,42.1547972187529,2.56891597054835,80.0,80.0
2014,9.95600032806396,12.3,,55.2936936982581,42.1466142112605,2.55969209048135,80.0,90.0
2013,10.0200004577637,,,55.3526657872501,42.0959158182922,2.55141839445769,80.0,85.0
2012,10.0,,,55.4567104467009,42.0001423440518,2.54314720924731,80.0,85.0
2011,11.8970003128052,11.8,79.31117,55.6174917699013,41.8485161248044,2.53399210529429,83.0,82.0
2010,13.9720001220703,,,55.8424945322951,41.6346981127263,2.52280735497859,75.0,74.0
2009,16.1000003814697,,,55.7571770672537,41.6972488240554,2.54557410869083,63.0,78.0
2008,16.4629993438721,,,55.7011790643168,41.7301967400609,2.56862419562227,69.0,79.0
2007,17.4160003662109,,,55.6577597333828,41.7520463123036,2.59019395431358,59.0,72.0
2006,18.5639991760254,,,55.6031935780255,41.7883599042065,2.60844651776796,61.0,73.0
2005,19.7959995269775,11.9,,55.5291178723492,41.8494662240962,2.6214159035546,54.0,62.0
2004,19.9379997253418,,,55.4745407165085,41.8748155516586,2.65064373183291,65.0,67.0
2003,20.0480003356934,,,55.39275627678,41.9327181543927,2.67452556882723,50.0,50.0
2002,20.0349998474121,,,55.2941091177557,42.0128220658189,2.69306881642539,37.0,41.0
2001,19.9130001068115,,,55.1981660276954,42.0955936621427,2.70624031016183,35.0,31.0
2000,19.9190006256104,,,55.1208011994586,42.1657083127226,2.71349048781884,34.0,33.0
1999,19.9610004425049,,,54.9183740434625,42.3381723408086,2.7434536157289,23.0,29.0
1998,19.8519992828369,,,54.7095231916283,42.5212432245455,2.76923358382625,21.0,26.0
1997,19.8610000610352,,,54.4924806785525,42.7176278563656,2.78989146508189,18.0,23.0
1996,19.8889999389648,,,54.2615253732308,42.9342273880846,2.80424723868462,42.0,37.0
1995,19.8560009002686,,,54.017470490708,43.171819997289,2.81070951200298,38.0,50.0
1994,19.8439998626709,,,53.7087653783983,43.4484081683822,2.84282645321947,47.0,55.0
1993,19.80299949646,,,53.3783902560791,43.751467357951,2.87014238596993,55.0,60.0
1992,19.5849990844727,,,53.0418658672938,44.0661105113673,2.89202362133889,60.0,67.0
1991,19.4740009307861,,,52.7272164322825,44.3654700791189,2.90731348859867,64.0,74.0
1990,,,,52.4548984464537,44.6297147284572,2.9153868250891,75.0,79.0
1989,,,,52.1520901670442,44.9015029875726,2.9464068453832,75.0,79.0
1988,,,,51.8921426058665,45.1339366738891,2.97392072024432,73.0,72.0
1987,,16.4,,51.6748559978004,45.3287653000178,2.99637870218176,69.0,72.0
1986,,,,51.485849246412,45.5018815439217,3.01226920966634,69.0,71.0
1985,,,,51.3162557586189,45.664679951244,3.01906429013704,67.0,54.0
1984,,,,51.1086407327009,45.8393736589225,3.05198560837659,52.0,53.0
1983,,,,50.9299680536867,45.9892406012441,3.08079134506914,59.0,50.0
1982,,,,50.7942967040255,46.1007759135221,3.10492738245242,55.0,47.0
1981,,,,50.7284915810496,46.1470137089268,3.12449471002364,49.0,42.0
1980,,,,50.7550898964753,46.1059859364858,3.13892416703882,49.0,42.0
1979,,,,50.7461493827547,46.0761286631389,3.17772195410646,,
1978,,,,50.8013917340157,45.9856486372406,3.21295962874374,,
1977,,,,50.9177766633992,45.8393613096908,3.24286202690999,,
1976,,,,51.0885652930626,45.6454860404535,3.26594866648382,,
1975,,,,51.3111604824508,45.4087907882972,3.280048729252,,
1974,,,,51.4164022103743,45.2627416549658,3.32085613465992,,
1973,,,,51.5588791394946,45.0854838030507,3.3556370574547,,
1972,,,,51.7406055504287,44.8758711203948,3.38352332917651,,
1971,,,,51.9652624388772,44.6319237366745,3.40281382444822,,
1970,,,,52.2375337727083,44.3502639640964,3.41220226319538,,
1969,,,,52.3988733809892,44.1555087854259,3.44561783358485,,
1968,,,,52.5801588820827,43.9486026033691,3.47123851454824,,
1967,,,,52.7926490376297,43.7197273400402,3.48762362233004,,
1966,,,,53.0560295251457,43.4499087871855,3.49406168766879,,
1965,,,,53.3869024538858,43.1249307594306,3.48816678668365,,
1964,,,,53.5867888447348,42.9088853976356,3.50432575762961,,
1963,,,,53.8287019052778,42.6619358439157,3.50936225080656,,
1962,,,,54.111245578627,42.3853248762203,3.50342954515272,,
1961,,,,54.4218476180981,42.0892786612419,3.48887372066002,,
1960,,,,54.7568236970576,41.7760615485542,3.46711475438815,,
