date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,11.8540000915527,,,,,,,
2018,9.63199996948242,,97.86379,69.1254082206391,21.3247441063911,9.54984767296984,94.0,94.0
2017,8.14200019836426,,,69.1721175590723,21.5773722341662,9.25051020676152,96.0,96.0
2016,8.59799957275391,,,69.1839215242038,21.8506147250296,8.96546375076668,93.0,97.0
2015,8.99899959564209,,,69.1672146811216,22.1496372378091,8.68314808106928,93.0,92.0
2014,9.05900001525879,,,69.1008208706851,22.5132606358265,8.38591849348834,95.0,91.0
2013,8.76799964904785,,,68.9845041455201,22.9235232355575,8.09197261892235,91.0,95.0
2012,9.78400039672852,,,68.8200085324232,23.3736348122867,7.8063566552901,90.0,91.0
2011,10.1389999389648,,97.40658,68.6185838121718,23.840934530462,7.54048165736617,83.0,85.0
2010,7.1710000038147,,,68.3908560752466,24.3076057952828,7.30153812947063,83.0,88.0
2009,7.71299982070923,,,68.0457624194269,24.8826740754832,7.07156350508988,81.0,86.0
2008,4.7810001373291,1.1,,67.6615151939504,25.4677608178126,6.87072398823694,89.0,90.0
2007,4.48999977111816,,,67.2360072178627,26.0720315086768,6.69196127346055,90.0,89.0
2006,5.73999977111816,,,66.7544527423406,26.7229666600083,6.52258059765104,90.0,89.0
2005,6.57100009918213,,,66.2099329320112,27.4360856674434,6.35398140054537,89.0,91.0
2004,6.39099979400635,,,65.6327164328883,28.1829660687004,6.1843174984113,88.0,90.0
2003,6.55800008773804,,,65.0140139906961,28.9653854069581,6.02060060234584,89.0,88.0
2002,6.33400011062622,,,64.383718307455,29.7524826715924,5.86379902095259,94.0,94.0
2001,5.91499996185303,,,63.7889885014504,30.4942100715059,5.71680142704373,82.0,91.0
2000,5.08199977874756,,94.86819,63.258699587015,31.160451366,5.58084904698499,82.0,88.0
1999,5.89499998092651,,,62.6589592400326,31.8850423247877,5.45599843517963,88.0,86.0
1998,5.3270001411438,,,62.1275553138145,32.5290682925124,5.3433763936731,83.0,85.0
1997,5.68100023269653,,,61.6613726082288,33.0988943381584,5.23973305361273,99.0,94.0
1996,6.16200017929077,3.8,,61.2377841195343,33.6218691859457,5.14034669451998,84.0,85.0
1995,5.17600011825562,,,60.8421467683006,34.1165533880087,5.04129984369068,91.0,85.0
1994,4.04500007629395,1.9,,60.5094086619942,34.5507185369405,4.93987280106533,87.0,88.0
1993,3.9539999961853,2.0,,60.2133026203497,34.9451916764177,4.84150570323263,89.0,88.0
1992,3.92700004577637,2.0,,59.9734673758261,35.2793836641797,4.74714895999416,92.0,90.0
1991,5.3730001449585,2.2,,59.8282056847335,35.5113308984615,4.66046341680499,96.0,90.0
1990,,2.5,,59.7991045167503,35.6174984364146,4.58339704683511,90.0,95.0
1989,,2.4,,59.8517676627247,35.651180169351,4.49705216792426,77.0,86.0
1988,,,,59.9906650919357,35.5881549338063,4.42117997425808,97.0,87.0
1987,,,,60.1690693904122,35.4784701185607,4.35246049102709,93.0,94.0
1986,,,,60.3001093855974,35.4138540381932,4.28603657620945,90.0,89.0
1985,,,,60.3294025823689,35.4521411094774,4.21845630815373,78.0,90.0
1984,,,92.62904,60.2777995685797,35.5605743212937,4.16162611012667,76.0,93.0
1983,,,,60.1001149239111,35.7927050311991,4.10718004488974,84.0,86.0
1982,,,,59.8171719069144,36.1296512498841,4.05317684320155,87.0,81.0
1981,,,,59.5018382562547,36.4989973888128,3.99916435493251,79.0,85.0
1980,,,,59.2177246894008,36.8380532532321,3.94422205736708,60.0,86.0
1979,,,,58.6800397513136,37.4356104371269,3.88434981155952,,
1978,,,,58.0930847799462,38.0868241450348,3.82009107501901,,
1977,,,,57.4609802708088,38.7884104886846,3.75060924050662,,
1976,,,,56.7711200892456,39.5527573478936,3.67612256286078,,
1975,,,,56.0149327567535,40.3891150173719,3.59595222587466,,
1974,,,,55.2411297197539,41.2318134833254,3.52705679692064,,
1973,,,,54.4714867749988,42.0690645084551,3.45944871654603,,
1972,,,,53.7434760044008,42.8628889772443,3.39363501835489,,
1971,,,,53.0853441078606,43.5862045686963,3.32845132344309,,
1970,,,,52.5022815923403,44.235826250383,3.26189215727668,,
1969,,,,52.0690052188868,44.7199026860887,3.21109209502456,,
1968,,,,51.7658697689641,45.0695602319399,3.16456999909595,,
1967,,,,51.576854800876,45.3010257365335,3.12211946259044,,
1966,,,,51.4719318113433,45.4443939910631,3.08367419759368,,
1965,,,,51.4449967071415,45.5051069127427,3.04989638011578,,
1964,,,,51.3659938919738,45.6035653313991,3.03044077662716,,
1963,,,,51.2947066132186,45.6897265015105,3.01556688527082,,
1962,,,,51.2608706268946,45.735295656633,3.00383371647242,,
1961,,,,51.3620570192364,45.6408745256783,2.99706845508524,,
1960,,,,51.6826196927821,45.3211720627421,2.9962082444758,,
