date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,,,,,,,,
2018,,,,64.4311590640975,18.8839461266221,16.6848948092804,,
2017,,,,64.5061328296203,19.2793693710377,16.214497799342,,
2016,,,,64.6542731540124,19.5862205995579,15.7595062464297,,
2015,,,,64.9083185796418,19.7726576038337,15.3190238165245,,
2014,,,,65.2289454747447,20.0117407935766,14.7593137316787,,
2013,,,,65.5981733994923,20.1474546219881,14.2543719785196,,
2012,,,,65.9688535496748,20.2258149944774,13.8053314558479,,
2011,,,,66.2173784591143,20.3735679348718,13.4090536060139,,
2010,,,,66.2468496970347,20.7095554721433,13.043594830822,,
2009,,,,66.43185867494,20.7832589239649,12.7848824010952,,
2008,,,,66.4784896668132,20.9755889987376,12.5459213344492,,
2007,,,,66.4184895604556,21.2473278866145,12.3341825529298,,
2006,,,,66.3684963481666,21.4690158873579,12.1624877644756,,
2005,,,,66.4105125643587,21.5545992469069,12.0348881887343,,
2004,,,,66.2342000792424,22.1319307949875,11.6338691257701,,
2003,,,,66.0193267561107,22.7155571821247,11.2651160617646,,
2002,,,,65.7752643606926,23.2993763799047,10.9253592594027,,
2001,,,,65.4098033802644,23.9885279592651,10.6016686604705,,
2000,,,,64.8062660814288,24.9235659149387,10.2701680036325,,
1999,,,,64.7949306010603,25.2799785548341,9.92509084410556,,
1998,,,,64.7299084472567,25.6844535696802,9.58563798306311,,
1997,,,,64.6622953169229,26.0733096850478,9.26439499802931,,
1996,,,,64.6380547866084,26.4149215673844,8.94702364600723,,
1995,,,,64.6050235609736,26.7587328505303,8.63624358849613,,
1994,,,,64.7088412218264,26.8971314779469,8.3940273002267,,
1993,,,,64.8304154546951,27.01072937819,8.15885516711487,,
1992,,,,64.9687722566154,27.0982852133896,7.93294252999507,,
1991,,,,65.1155634573304,27.164250547046,7.72018599562363,,
1990,,,,65.2430626576669,27.2414263312197,7.51551101111338,,
1989,,,,65.4758835899871,27.2016823824707,7.32243402754223,,
1988,,,,65.6710884628866,27.2075278384427,7.12138369867076,,
1987,,,,65.8047708977914,27.2799721407428,6.91525696146583,,
1986,,,,65.8465393381226,27.4420557384478,6.71140492342961,,
1985,,,,65.7547364291082,27.7376194497829,6.50764412110895,,
1984,,,,65.3172378434885,28.2594365690772,6.42332558743433,,
1983,,,,64.8388822035032,28.8233721085707,6.33774568792619,,
1982,,,,64.3198892577311,29.4259948660744,6.25411587619445,,
1981,,,,63.7183725794481,30.1248228864449,6.15680453410701,,
1980,,,,62.9429173761453,31.0096218816725,6.04746074218222,,
1979,,,,62.0912211603957,31.9375223399448,5.97125649965942,,
1978,,,,61.15128685481,32.9532864653627,5.8954266798273,,
1977,,,,60.1583007714658,34.0206392145076,5.82106001402665,,
1976,,,,59.106762513312,35.1590788072417,5.73415867944622,,
1975,,,,57.9729531871847,36.3907412583689,5.63630555444635,,
1974,,,,57.3084451808155,37.101741680752,5.58981313843255,,
1973,,,,56.5786109354183,37.914653675867,5.50673538871469,,
1972,,,,55.8633249972817,38.7504077416549,5.38626726106339,,
1971,,,,55.3314953213198,39.4205449407688,5.2479597379114,,
1970,,,,55.072615118983,39.8074272108275,5.11995767018951,,
1969,,,,54.7732452705039,40.2908613645505,4.93589336494563,,
1968,,,,54.6821305841924,40.5312142038946,4.78665521191294,,
1967,,,,54.7049974928965,40.6310633752153,4.66393913188818,,
1966,,,,54.666420936233,40.7777368227055,4.55584224106155,,
1965,,,,54.4548021332855,41.105334707719,4.4398631589955,,
1964,,,,54.3091851695107,41.129970828736,4.5608440017533,,
1963,,,,54.1294702517774,41.2114640050707,4.65906574315191,,
1962,,,,53.9319257876961,41.3280177665366,4.74005644576734,,
1961,,,,53.8230849522504,41.3684587701943,4.80845627755535,,
1960,,,,53.9069331421684,41.2223001236795,4.87076673415209,,
