date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,1.93299996852875,,,,,,,
2018,2.24300003051758,,,64.9925175870224,15.5866055197434,19.4208768932343,96.0,96.0
2017,2.89000010490417,,,65.6179183338762,15.3853751430547,18.9967065230691,97.0,96.0
2016,3.95099997520447,,,66.2722456851995,15.2062034548539,18.5215508599466,98.0,96.0
2015,5.0460000038147,,,66.8908352361486,15.114187309465,17.9949774543864,99.0,97.0
2014,6.10799980163574,,,67.6155601472481,14.8935408835412,17.4908989692108,99.0,97.0
2013,6.95300006866455,,,68.3452457948225,14.6963883265655,16.958365878612,99.0,98.0
2012,6.97800016403198,,,69.0540655097633,14.5264099576488,16.4195245325878,98.0,99.0
2011,6.71099996566772,,,69.714769777023,14.3784276313567,15.9068025916203,98.0,99.0
2010,7.27899980545044,,,70.3182683311508,14.2414695253214,15.4402621435279,98.0,99.0
2009,6.66200017929077,,,70.7031885016955,14.2264297200032,15.0703817783013,98.0,99.0
2008,4.39200019836426,,,70.9567890162227,14.2987142965944,14.7444966871828,97.0,99.0
2007,5.32000017166138,,,71.0904367427858,14.4480570575749,14.4615061996393,98.0,99.0
2006,7.14799976348877,,,71.1623622363165,14.6114030489928,14.2262347146907,97.0,98.0
2005,7.92700004577637,,,71.2248494297276,14.7316669732517,14.0434835970208,97.0,97.0
2004,8.21000003814697,,,71.0475251622672,15.0016128813307,13.9508619564021,97.0,98.0
2003,7.54400014877319,,,70.8082693696031,15.2693840574048,13.9223465729921,97.0,97.0
2002,7.01900005340576,,,70.5243067846205,15.5505307560937,13.9251624592858,98.0,98.0
2001,7.99100017547607,2.1,,70.1854384691356,15.9143971068857,13.9001644239786,97.0,98.0
2000,8.76200008392334,,,69.774601426151,16.4227693951808,13.8026291786681,97.0,98.0
1999,8.48900032043457,,,69.4257389890623,16.7990486698037,13.7752123411341,97.0,98.0
1998,5.90399980545044,,,69.1114433278599,17.2003149784172,13.6882416937229,95.0,98.0
1997,4.27099990844727,,,68.8141392925885,17.6336546905649,13.5522060168466,96.0,98.0
1996,3.89400005340576,,,68.4918971984315,18.1177296252701,13.3903731762984,97.0,97.0
1995,4.02400016784668,,,68.1340171977873,18.6481174853568,13.2178653168559,96.0,96.0
1994,4.2960000038147,,,67.6279795837629,19.2020746322086,13.1699457840285,97.0,98.0
1993,4.32000017166138,,,67.0368550463428,19.8580805101803,13.1050644434769,98.0,99.0
1992,3.15899991989136,,,66.4322070798997,20.556565673347,13.0112272467533,,
1991,2.26999998092651,0.9,,65.9716973509373,21.1551747400945,12.8731279089682,,
1990,,,,65.7648603237154,21.5551585334897,12.679981142795,,
1989,,,,65.3844122089605,22.0924209288726,12.5231668621668,,
1988,,,,65.2253261030121,22.4888969423686,12.2857769546192,,
1987,,,,65.2006676560018,22.7820568708282,12.0172754731699,,
1986,,,,65.1047303028636,23.0902537045544,11.805015992582,,
1985,,,,64.7823769354465,23.5083668864132,11.7092561781402,,
1984,,,,64.4517625041728,23.6090980160973,11.9391394797299,,
1983,,,,63.9813870923658,23.6687091738011,12.3499037338331,,
1982,,,,63.4755211980333,23.6692897250757,12.8551890768909,,
1981,,,,63.1179378871729,23.5859470297884,13.2961150830387,,
1980,,,,63.0337972939245,23.4069820485544,13.5592206575211,,
1979,,,,63.0783556385369,23.1878034055006,13.7338409559625,,
1978,,,,63.3429842635337,22.9452570683141,13.7117586681521,,
1977,,,,63.7795993463998,22.6841367854777,13.5362638681224,,
1976,,,,64.3274979017272,22.3619733177457,13.3105287805271,,
1975,,,,64.9541035684867,21.9413294299726,13.1045670015407,,
1974,,,,65.3645542138986,21.6938833610781,12.9415624250233,,
1973,,,,65.8004522334683,21.4174975543399,12.7820502121918,,
1972,,,,66.2124775315847,21.176426460658,12.6110960077573,,
1971,,,,66.5127585299236,21.0928753873176,12.3943660827588,,
1970,,,,66.6518600290965,21.2369657196632,12.1111742512403,,
1969,,,,66.7240334663121,21.4270350910419,11.848931442646,,
1968,,,,66.6547681460596,21.7899534887135,11.5552783652269,,
1967,,,,66.498684542385,22.2610795268183,11.2402359307968,,
1966,,,,66.3493758262217,22.7302889717742,10.9203352020041,,
1965,,,,66.2684962569474,23.1269066513294,10.6045970917232,,
1964,,,,65.9589813927153,23.7078637905061,10.3331548167786,,
1963,,,,65.6610240124158,24.2605974261121,10.0783785614722,,
1962,,,,65.3857437045838,24.7787367716985,9.83551952371769,,
1961,,,,65.1348585946701,25.268488768666,9.59665263666387,,
1960,,,,64.9081028144015,25.7361858085161,9.35571137708242,,
