date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,4.91300010681152,,,,,
2018,4.97499990463257,63.7287848006111,16.4582625623987,19.8129526369902,95.0,97.0
2017,5.74300003051758,63.8488146240044,16.4916924766681,19.6594928993276,97.0,98.0
2016,6.18100023269653,63.9802785646613,16.5972697518572,19.4224516834814,94.0,94.0
2015,6.16800022125244,64.109395915935,16.843159986605,19.04744409746,91.0,93.0
2014,6.58900022506714,64.3969594272515,17.0325850306028,18.5704555421458,90.0,94.0
2013,6.99700021743774,64.6886875027159,17.2848516666386,18.0264608306455,89.0,94.0
2012,7.52600002288818,64.9418997263007,17.5683664465417,17.4897338271576,90.0,94.0
2011,7.57299995422363,65.157251201778,17.8104767742234,17.0322720239987,87.0,91.0
2010,7.46400022506714,65.3825742001035,17.9497210002657,16.6677047996307,85.0,90.0
2009,6.00699996948242,65.5404397953962,18.1623512500389,16.2972089545649,84.0,89.0
2008,3.43400001525879,65.6918702249602,18.347666827521,15.9604629475189,87.0,88.0
2007,3.80100011825562,65.8364718612938,18.5055506286105,15.6579775100957,89.0,87.0
2006,3.8970000743866,65.9768241418618,18.6341239236881,15.3890519344502,90.0,93.0
2005,4.82999992370605,66.1193477620128,18.7279566453486,15.1526955926386,95.0,93.0
2004,5.2039999961853,66.2257316212951,18.7531893415237,15.0210790371812,96.0,95.0
2003,5.39799976348877,66.3312646371762,18.7258584049506,14.9428769578731,96.0,96.0
2002,4.27400016784668,66.4428665792759,18.6522076659828,14.9049257547413,95.0,98.0
2001,4.16400003433228,66.5599054284926,18.5578852950936,14.8822092764138,94.0,97.0
2000,4.47599983215332,66.6767767656445,18.4694658160703,14.8537574182851,99.0,97.0
1999,5.14099979400635,66.7969177195424,18.2678557939514,14.9352264865062,92.0,99.0
1998,5.03900003433228,66.9359115640599,18.0435399053539,15.0205485305862,91.0,99.0
1997,5.40000009536743,67.0847456406764,17.8129495912148,15.1023047681087,84.0,92.0
1996,6.8439998626709,67.2359872575102,17.5883848475507,15.1756278949392,85.0,77.0
1995,6.99200010299683,67.3940662418512,17.3695855909297,15.2363481672191,88.0,90.0
1994,8.03600025177002,67.4376081057173,17.2050380958119,15.3573537984708,88.0,89.0
1993,10.7189998626709,67.441148105608,17.0980950315003,15.4607568628917,81.0,88.0
1992,9.02700042724609,67.4103622634942,17.0503224309456,15.5393153055601,85.0,91.0
1991,9.09899997711182,67.3761781975547,17.036230326516,15.5875914759293,86.0,90.0
1990,,67.3697242718749,17.0289907928533,15.6012849352718,84.0,90.0
1989,,67.2389720723357,17.1904277301344,15.57060019753,80.0,89.0
1988,,67.1060730616517,17.3935629517256,15.5003639866228,72.0,87.0
1987,,66.9587165205245,17.6465921231155,15.39469135636,82.0,88.0
1986,,66.7594131923216,17.9791528542383,15.2614339534401,,89.0
1985,,66.4844826497294,18.4099191219502,15.1055982283204,,90.0
1984,,66.1476668169125,18.8614749871874,14.9908581959,,86.0
1983,,65.7691303258238,19.3559974427725,14.8748722314037,,86.0
1982,,65.3828774889238,19.8661851847298,14.7509373263465,,87.0
1981,,65.0313211056216,20.3637525076591,14.6049263867194,,88.0
1980,,64.739531747511,20.8351963184617,14.4252719340274,,88.0
1979,,64.4709689380541,21.2669918399315,14.2620392220145,,
1978,,64.252625893156,21.6710602795864,14.0763138272576,,
1977,,64.0926850753721,22.0372980815355,13.8700168430924,,
1976,,64.0049223943556,22.3458440581847,13.6492335474597,,
1975,,63.99742115369,22.5866721288064,13.4159067175035,,
1974,,63.9840687711138,22.8106610460269,13.2052701828592,,
1973,,64.0423794079942,22.9678899667706,12.9897306252352,,
1972,,64.1552848125235,23.0769539044425,12.767761283034,,
1971,,64.287263274619,23.1754364679322,12.5373002574489,,
1970,,64.4130148982781,23.2909525208766,12.2960325808453,,
1969,,64.5107832949707,23.3728921184718,12.1163245865575,,
1968,,64.6064337777442,23.4527959740801,11.9407702481757,,
1967,,64.6901579385697,23.5442133619441,11.7656286994862,,
1966,,64.7550592756741,23.6587319010768,11.5862088232492,,
1965,,64.8097872894636,23.7908311381673,11.3993815723691,,
1964,,64.7384669710513,24.0140790057814,11.2474540231674,,
1963,,64.6001870567245,24.3098202219714,11.089992721304,,
1962,,64.4232973841912,24.6500260466741,10.9266765691347,,
1961,,64.2710803382815,24.9658270313546,10.7630926303639,,
1960,,64.1895911048458,25.2077830198461,10.6026258753081,,
