date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,,,,,,
2018,,,,,84.0,94.0
2017,,,,,77.0,91.0
2016,,,,,96.0,99.0
2015,,,,,96.0,98.0
2014,,,,,94.0,97.0
2013,,,,,93.0,96.0
2012,,,,,99.0,97.0
2011,,,,,99.0,98.0
2010,,,,,99.0,98.0
2009,,,,,99.0,99.0
2008,,,,,99.0,96.0
2007,,,,,96.0,96.0
2006,,,,,97.0,95.0
2005,,,,,98.0,98.0
2004,,,,,99.0,99.0
2003,,,,,99.0,99.0
2002,,,,,99.0,98.0
2001,,,,,99.0,99.0
2000,,,,,99.0,99.0
1999,,,,,99.0,99.0
1998,,,,,98.0,99.0
1997,,,,,99.0,92.0
1996,,,,,99.0,99.0
1995,,,,,99.0,99.0
1994,,,,,99.0,99.0
1993,,,,,99.0,99.0
1992,,,,,99.0,99.0
1991,,,,,98.0,98.0
1990,,,,,88.0,92.0
1989,,,,,88.0,92.0
1988,,,,,90.0,96.0
1987,,,,,87.0,95.0
1986,,,,,97.0,93.0
1985,,,,,93.0,91.0
1984,,,,,85.0,84.0
1983,,,,,63.0,93.0
1982,,,,,43.0,99.0
1981,,,,,,97.0
1980,,,,,,63.0
1979,,,,,,
1978,,,,,,
1977,,,,,,
1976,,,,,,
1975,,,,,,
1974,,,,,,
1973,,,,,,
1972,,,,,,
1971,,,,,,
1970,,,,,,
1969,,,,,,
1968,,,,,,
1967,,,,,,
1966,,,,,,
1965,,,,,,
1964,,,,,,
1963,,,,,,
1962,,,,,,
1961,,,,,,
1960,,,,,,
