date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,5.84499979019165,,,,,,,
2018,5.73899984359741,,,64.9400530208454,27.9771295026574,7.08281747649721,95.0,94.0
2017,5.83199977874756,,,64.8693953755237,28.2506194174432,6.87998520703305,86.0,84.0
2016,7.28299999237061,,93.77846,64.7772338241547,28.5335824387239,6.68918373712136,85.0,87.0
2015,7.60500001907349,,91.99121,64.6618451459295,28.8284307622879,6.50972409178267,90.0,85.0
2014,6.7189998626709,,91.76376,64.5009735683066,29.1435087789369,6.35551765275647,88.0,91.0
2013,7.35200023651123,4.0,90.85815,64.3120600718614,29.4723390144654,6.21560091367317,83.0,83.0
2012,6.72200012207031,,90.15518,64.0911070036238,29.8216901643313,6.0872028320449,88.0,85.0
2011,6.08699989318848,,90.10638,63.8333263189796,30.1998499777494,5.96682370327103,87.0,84.0
2010,5.21199989318848,,89.53873,63.5378764225841,30.6103554561103,5.85176812130555,85.0,88.0
2009,5.46700000762939,,,63.1764242873121,31.0716583320603,5.75191738062766,84.0,82.0
2008,4.76399993896484,,,62.7840971867954,31.5548248454363,5.66107796776828,83.0,82.0
2007,5.15799999237061,3.4,88.24446,62.3838817174814,32.0420124038681,5.57410587865051,82.0,85.0
2006,5.65500020980835,4.6,,62.0048562235442,32.5114446896228,5.48369908683298,81.0,89.0
2005,6.58699989318848,,,61.6602235157257,32.9561646988757,5.38361178539861,79.0,87.0
2004,6.30299997329712,,,61.341270835274,33.3739226630641,5.28480650166183,81.0,79.0
2003,6.93800020217896,,,61.0616433287079,33.7624968687562,5.17585980253589,83.0,79.0
2002,6.77899980545044,4.2,86.99647,60.8096298270196,34.1326708672518,5.05769930572867,86.0,82.0
2001,7.26200008392334,,,60.5569324591291,34.5092765671997,4.93379097367118,88.0,72.0
2000,6.43200016021729,3.3,,60.2811651217089,34.9122645688907,4.80657030940039,85.0,78.0
1999,6.4520001411438,,,60.0169261908052,35.2910359147592,4.69203789443556,83.0,83.0
1998,6.39900016784668,,,59.7431883858957,35.6800219516251,4.57678966247915,80.0,75.0
1997,6.40399980545044,,,59.4678991297692,36.0714026396741,4.46069823055667,79.0,73.0
1996,6.41599988937378,4.7,,59.2110943077268,36.4442395680596,4.34466612421369,79.0,72.0
1995,6.40000009536743,,,58.9850659532817,36.7857800118093,4.22915403490899,78.0,72.0
1994,6.39400005340576,,,58.7503531823897,37.1230318907267,4.1266149268836,76.0,74.0
1993,6.37400007247925,,,58.5289691342819,37.4430511353465,4.0279797303717,75.0,75.0
1992,6.26999998092651,,,58.3089036656245,37.7599468275088,3.93114950686672,73.0,73.0
1991,6.21600008010864,8.4,,58.0703368957647,38.0967288085168,3.83293429571844,72.0,71.0
1990,,,,57.7999364687206,38.4686522481129,3.73141128316643,70.0,69.0
1989,,,,57.5311293921823,38.8244567503795,3.64441385743813,65.0,58.0
1988,,,,57.2377179318654,39.2039794616141,3.55830260652055,29.0,69.0
1987,,,,56.9223200290404,39.6054314359445,3.47224853501513,71.0,80.0
1986,,8.7,,56.592231393784,40.0215887252344,3.38617988098158,71.0,80.0
1985,,,,56.2505907510393,40.4495261538538,3.29988309510693,54.0,39.0
1984,,,,55.8892119163001,40.8803770955456,3.23041098815433,19.0,34.0
1983,,,,55.5139547146207,41.3219851859642,3.16406009941511,24.0,29.0
1982,,,,55.1211235758771,41.7798136712499,3.09906275287297,25.0,28.0
1981,,,73.06457,54.7057746336745,42.2605366760171,3.03368869030843,18.0,27.0
1980,,,,54.2664302979689,42.7672160590579,2.96635364297311,30.0,36.0
1979,,,,53.7920345174554,43.2889435217798,2.91902196076482,,
1978,,,,53.3021577409158,43.824813749754,2.87302850933011,,
1977,,,,52.8030513176144,44.369653259362,2.82729542302358,,
1976,,,,52.3075873284848,44.9114536835381,2.78095898797711,,
1975,,,,51.8278743475973,45.4386577711897,2.733467881213,,
1974,,,,51.3251096039659,45.9702855237407,2.70460487229341,,
1973,,,,50.8414132081308,46.4811368132533,2.67744997861586,,
1972,,,,50.3833173622147,46.9663391062776,2.65034353150768,,
1971,,,,49.960516164168,47.4171693093679,2.62231452646411,,
1970,,,,49.5852408594313,47.8227978629781,2.59196127759061,,
1969,,,,49.2144288613815,48.2053561710118,2.58021496760668,,
1968,,,,48.8952711181342,48.5357468926852,2.56898198918061,,
1967,,,,48.639613183504,48.8033252714225,2.55706154507345,,
1966,,,,48.4697969596449,48.9859732846375,2.54422975571754,,
1965,,,,48.405718242338,49.0649381795957,2.52934357806623,,
1964,,,,48.382303310078,49.0836893673153,2.53400732260671,,
1963,,,,48.4699056570323,48.9904233215662,2.5396710214015,,
1962,,,,48.6551616606334,48.8002617424847,2.54457659688192,,
1961,,,,48.9126554481722,48.5405779912397,2.54676656058809,,
1960,,,,49.2301373555654,48.2250144495335,2.54484819490114,,
