date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,3.91268390996903,,,,,,,
2018,3.86954435072767,,95.81489,69.9992529215217,20.5024995139321,9.49824756454622,91.4432091243319,90.8662134689112
2017,3.96730069062711,,95.67395,70.3278822114815,20.6276493506852,9.04446843783323,91.5783901631428,92.4178347187252
2016,4.04162485794194,,95.46849,70.6368507516785,20.7452187212371,8.61793052708437,92.5258896431853,93.5128020428948
2015,4.12826319972169,,95.3528,70.9041377880609,20.8497956367703,8.2460665751688,92.4253000383923,91.5215710198453
2014,4.07049846126498,,95.13672,71.0622456007958,20.9792250399372,7.95852935926699,92.4083817257204,91.9418413315064
2013,4.09021098767249,,94.71496,71.1498934907113,21.1188425316963,7.73126397759245,94.0485907829722,92.6025980831847
2012,4.07871346844147,,94.61261,71.1761871103509,21.2723351731428,7.55147771650629,94.0495052313908,94.4482775337137
2011,4.15613150285498,,94.38786,71.1647791792106,21.4397971167271,7.39542370406231,93.9052119928707,93.9900572817881
2010,4.16378785599583,,94.54161,71.1283247433897,21.626067305671,7.24560795093926,93.0433969244633,93.3284231206352
2009,4.41074125695679,,94.43798,71.016004643022,21.8476997840575,7.13629557292055,92.9147074453872,93.6808903099043
2008,4.43460987812374,,94.13175,70.8791630970048,22.0778905215452,7.04294638144999,91.8250283126314,92.1503239039229
2007,4.35162577231099,,93.88745,70.6860332317086,22.3575083689347,6.95645839935678,89.3176277032671,88.6259525288134
2006,4.37721069325338,,92.79661,70.3740502997687,22.7616748531005,6.86427484713073,89.6590429884655,88.459728486679
2005,4.47911766402503,,92.36786,69.9223235662666,23.3193896892119,6.75828674452152,85.5233173904538,84.7281654243517
2004,4.40555191345674,,91.99476,69.3775420258311,23.9498197752095,6.67263819895942,85.4893781944263,84.8493604896583
2003,4.41304526270496,,91.44515,68.6733152905604,24.756622206016,6.57006250342365,83.6158236409062,83.8713422924034
2002,4.16299173743075,,91.06439,67.9065943226551,25.6391650135698,6.45424066377504,82.8602966929901,82.0729424917478
2001,3.84458962528202,,90.6773,67.2635908007215,26.3985021657258,6.33790703355265,83.4369862488821,83.9006809180169
2000,3.410337470889,,90.43606,66.8517426257636,26.9212785760481,6.22697879818828,83.0095915335225,83.4353151214069
1999,3.45482667582624,,89.89668,66.3314584040986,27.5607435798557,6.10779801604561,83.4721256890626,83.1496141393993
1998,3.36963893822763,,89.55673,66.0293510580784,27.9749478925815,5.99570104933999,82.9471520500288,82.9447582970473
1997,3.21001472456684,,89.18044,65.8632815882942,28.2513763764878,5.88534203521805,82.6591807021741,82.7654859716479
1996,3.06334283052092,,83.46699,65.6131808519002,28.6239375604903,5.76288158760951,83.1358671342645,81.2125462111679
1995,2.94006163104035,,82.92168,65.119017212894,29.2622604178398,5.61872236926623,78.0685441937765,78.7388427930088
1994,2.8317453930021,,82.37768,64.8991100506265,29.5772746773368,5.52361527203669,75.2787034391762,81.5962201591361
1993,2.64208947080429,,81.82593,64.5828200316309,29.9916274925898,5.42555247577929,78.5559586088242,83.1209315886571
1992,2.35001142312176,,81.34956,64.2223187409276,30.4480395702034,5.32964168886897,82.3671870632117,85.1786534695026
1991,2.37710203137858,,80.8285,63.9526094696782,30.8001028225679,5.24728770775399,86.2753145083934,88.4543689013688
1990,,,79.52262,63.8767271848497,30.9376964456476,5.18557636950278,89.8821029816198,90.6171506682338
1989,,,79.64945,63.5519151508487,31.3246304660432,5.12345438310816,85.5823022124689,87.4697641891843
1988,,,78.94828,63.2351071419683,31.6902103009193,5.07468255711237,83.0662627275252,84.7032288030671
1987,,,74.55003,62.8898477046996,32.0796459902863,5.03050630501422,67.6165157262209,68.2191194002254
1986,,,73.29598,62.4843933976619,32.5364096398626,4.97919696247544,55.567229147939,68.2858473060692
1985,,,72.35601,62.0199530867384,33.0667907771936,4.91325613606805,68.8112835562222,64.1633705364653
1984,,,71.34248,61.3379931417304,33.8210971578988,4.84090970037085,61.6502473634083,55.8095559463203
1983,,,70.2824,60.5984945796531,34.645248584995,4.75625683535185,57.0635281748608,44.793065229101
1982,,,68.96226,59.8288272250507,35.511177193134,4.65999558181529,,
1981,,,68.09224,59.0404927113955,36.4057409215363,4.55376636706835,,
1980,,,66.37523,58.2275927897443,37.3352334419224,4.43717376833331,,
1979,,,65.85253,57.5114267009983,38.1437718465946,4.34480145240715,,
1978,,,64.68029,56.8540982343367,38.8954839412547,4.25041782440855,,
1977,,,63.54882,56.2812186102027,39.5633002867978,4.15548110299956,,
1976,,,63.37805,55.8059986950472,40.1328115303477,4.06118977460505,,
1975,,,,55.4246260088149,40.6083497918733,3.96702419931188,,
1974,,,,55.1593220717616,40.9272045288575,3.91347339938092,,
1973,,,,55.0175136712141,41.1182987508758,3.86418757791001,,
1972,,,,54.9655783796477,41.2182779730273,3.81614364732499,,
1971,,,,54.9624506973857,41.2721842294171,3.76536507319713,,
1970,,,,55.0097232507743,41.2802386728771,3.71003807634871,,
1969,,,,54.8891630263748,41.4388744306871,3.67196254293822,,
1968,,,,54.7036728907458,41.6730537010612,3.623273408193,,
1967,,,,54.5186739678421,41.9161897096527,3.56513632250515,,
1966,,,,54.494633105439,42.0001288363813,3.50523805817969,,
1965,,,,54.7467233520747,41.8039061549697,3.44937049295556,,
1964,,,,54.7668801721776,41.7148467218885,3.51827310593388,,
1963,,,,55.0339619625835,41.3796911769905,3.586346860426,,
1962,,,,55.4761173980636,40.8782942862181,3.64558831571829,,
1961,,,,55.8778986433623,40.4465635275562,3.67553782908148,,
1960,,,,56.0667289207949,40.2742059005285,3.65906517867659,,
