date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,3.96799993515015,,,,,,,
2018,3.52999997138977,,,64.814118271228,28.0285920021109,7.15728972666108,83.0,85.0
2017,3.83599996566772,,92.82979,64.6872593327007,28.3616003254264,6.9511403418729,81.0,85.0
2016,4.59700012207031,,94.35023,64.5292713967933,28.7069231700268,6.7638054331799,86.0,83.0
2015,3.6159999370575,,94.45566,64.3387375539877,29.058809451259,6.60245299475328,84.0,78.0
2014,3.48000001907349,5.1,94.22264,64.1367516223834,29.4224553405751,6.4407930370415,85.0,83.0
2013,3.08299994468689,,93.29463,63.8774127526807,29.812584760605,6.31000248671429,97.0,87.0
2012,3.23499989509583,6.4,92.06473,63.578355860544,30.2197135717287,6.20193056772733,96.0,87.0
2011,3.45799994468689,,91.5869,63.2688821300398,30.6299431299792,6.10117473998096,94.0,88.0
2010,4.08799982070923,,91.85404,62.9670330329182,31.0372705775326,5.99569638954916,95.0,91.0
2009,4.60799980163574,,92.24976,62.6596745835912,31.4651251378734,5.87520027853539,97.0,94.0
2008,3.91700005531311,,92.39005,62.3700590661404,31.8777806893753,5.7521602444843,98.0,96.0
2007,3.14199995994568,,92.09679,62.0912853353433,32.2806253281822,5.62808933647451,98.0,96.0
2006,3.54999995231628,6.8,,61.7977643970746,32.6943911625147,5.50784444041076,97.0,96.0
2005,3.77800011634827,,,61.4711199972052,33.1344618524999,5.39441815029488,93.0,92.0
2004,5.0019998550415,6.7,,61.1967752023552,33.5231607100356,5.28006408760915,99.0,88.0
2003,5.66200017929077,,,60.9062836068303,33.9198221527848,5.17389424038485,99.0,87.0
2002,4.95499992370605,,,60.6149443849092,34.3104805315798,5.07457508351108,99.0,88.0
2001,4.2519998550415,,90.98403,60.3538209695999,34.6658183288814,4.98036070151867,99.0,89.0
2000,4.79899978637695,,,60.1436323896551,34.9669425964877,4.88942501385721,99.0,87.0
1999,4.81799983978271,10.4,,59.8726904549588,35.3226842863934,4.80462525864775,99.0,79.0
1998,4.76900005340576,,,59.6325319718925,35.6434740187052,4.72399400940234,89.0,85.0
1997,4.77199983596802,,,59.4140611534063,35.9398757573557,4.64606308923803,77.0,81.0
1996,4.78399991989136,,,59.1973681669605,36.2335892809933,4.56904255204614,79.0,82.0
1995,4.76900005340576,,,58.9689192789583,36.5396548154009,4.49142590564079,81.0,83.0
1994,4.76300001144409,,,58.680633593805,36.8854624477639,4.43390395843112,83.0,84.0
1993,4.74499988555908,,,58.3873817607973,37.233742274984,4.37887596421865,85.0,85.0
1992,4.64799976348877,,,58.0913406324243,37.5824796435355,4.32617972404028,69.0,87.0
1991,4.59800004959106,,,57.7966622025834,37.9271853119726,4.27615248544399,54.0,59.0
1990,,,88.29876,57.507740739995,38.2636912719797,4.22856798802534,60.0,68.0
1989,,,,57.156588306293,38.6437273503358,4.19968434337116,57.0,55.0
1988,,,,56.7964238719199,39.0285394644439,4.17503666363626,53.0,54.0
1987,,,,56.4331531259058,39.4133597133484,4.15348716074587,47.0,51.0
1986,,14.5,,56.0797587380928,39.7863260096289,4.13391525227835,50.0,44.0
1985,,,,55.7486238032214,40.1364025074042,4.11497368937435,51.0,41.0
1984,,,,55.340917391854,40.5441217477951,4.11496086035084,54.0,48.0
1983,,,,54.9447776904049,40.9371849851715,4.11803732442362,34.0,31.0
1982,,,83.55269,54.5668018765198,41.311713550924,4.12148457255615,45.0,35.0
1981,,,,54.2115961985212,41.6678580647239,4.12054573675487,31.0,26.0
1980,,,,53.8836121727545,42.0054058073,4.11098201994546,24.0,10.0
1979,,,,53.5154351090278,42.3689169370479,4.11564795392437,,
1978,,,,53.1823828302375,42.7051602582998,4.11245691146271,,
1977,,,,52.8888539170749,43.0076882613705,4.10345782155454,,
1976,,,,52.6367155843655,43.2694096249652,4.09387479066923,,
1975,,,,52.4287659125229,43.4836540548392,4.08758003263785,,
1974,,,,52.1594583788996,43.7313472325114,4.10919438858903,,
1973,,,,51.9241499760463,43.9380345081508,4.13781551580287,,
1972,,,,51.7228024666146,44.1062659395254,4.17093159386,,
1971,,,,51.5584358210064,44.237859544535,4.20370463445859,,
1970,,,,51.4444318493367,44.3231066916929,4.23246145897041,,
1969,,,,51.2170998005722,44.5015212793368,4.28137892009098,,
1968,,,,50.9968895070247,44.6757718464144,4.32733864656091,,
1967,,,,50.8178579470692,44.8119356576928,4.370206395238,,
1966,,,,50.7460428171756,44.8425590739157,4.41139810890869,,
1965,,,,50.825070361674,44.7236515339407,4.45127810438528,,
1964,,,,50.8581910671174,44.6327083579545,4.50910057492814,,
1963,,,,51.0501141041822,44.3815965533142,4.5682893425037,,
1962,,,,51.3574708147985,44.0171038806654,4.62542530453603,,
1961,,,,51.6658993293358,43.6627064643749,4.67139420628937,,
1960,,,,51.8990832512777,43.4018917763762,4.69902497234612,,
