date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,4.1100001335144,,,,,,,
2018,4.00600004196167,,89.0086,64.5808290812314,27.1320809139623,8.28709000480629,81.0,81.0
2017,4.38500022888184,,88.48271,64.4496680247071,27.4456233330401,8.10470864225283,85.0,85.0
2016,4.41800022125244,,88.14177,64.2219345914653,27.8516074921537,7.92645791638105,90.0,93.0
2015,3.99799990653992,,87.96985,63.8718703380361,28.3717441745016,7.75638548746238,95.0,91.0
2014,4.15399980545044,5.0,,63.4935937760122,28.8979668086177,7.60843941537011,95.0,94.0
2013,3.69300007820129,,86.76758,62.9897367887687,29.5407807445496,7.46948246668167,94.0,92.0
2012,3.84299993515015,,,62.4010588139674,30.2626851918499,7.33625599418268,93.0,92.0
2011,4.29699993133545,,85.49399,61.8133639306421,30.9814496838292,7.20518638552867,89.0,89.0
2010,4.89300012588501,,84.49272,61.2860059428756,31.6406945483212,7.07329950880314,92.0,89.0
2009,7.32999992370605,,84.10289,60.7678111550345,32.2971973562796,6.93499148868585,91.0,91.0
2008,5.88000011444092,6.7,83.9513,60.2900894424508,32.9163190233675,6.79359153418168,95.0,98.0
2007,6.40999984741211,,82.02863,59.8438208853535,33.509542550456,6.6466365641905,99.0,99.0
2006,6.57000017166138,,83.55946,59.3937163854519,34.117270473611,6.48901314093712,98.0,96.0
2005,7.21999979019165,,,58.9086011635917,34.7742602058815,6.31713863052684,99.0,89.0
2004,6.05000019073486,,,58.6281044995374,35.2143174811502,6.1575780193124,93.0,90.0
2003,6.26000022888184,6.1,,58.3877717953907,35.6216978860966,5.99053031851276,90.0,94.0
2002,5.73000001907349,,,58.1861936728716,35.995136642304,5.81866968482436,93.0,81.0
2001,6.96000003814697,,,58.0205419059809,36.3330153537891,5.64644274023006,95.0,92.0
2000,6.96000003814697,,,57.882575489951,36.6410402558723,5.47638425417668,97.0,99.0
1999,6.67999982833862,,,57.7916167508947,36.880869059681,5.32751418942432,94.0,94.0
1998,7.09999990463257,9.7,,57.7075648978529,37.1090584044024,5.18337669774473,99.0,99.0
1997,7.98000001907349,,,57.6132157756212,37.3421849668412,5.04459925753757,98.0,97.0
1996,7.67999982833862,,,57.5023488832392,37.5850141073593,4.91263700940151,94.0,96.0
1995,7.65000009536743,,,57.3780158476353,37.8329957715951,4.78898838076964,93.0,99.0
1994,7.67999982833862,,,57.1496276734703,38.1644177126636,4.68595461386619,80.0,90.0
1993,9.9399995803833,8.0,,56.8638389706395,38.5408772316139,4.59528379774653,86.0,79.0
1992,7.88000011444092,,74.14316,56.5157580151701,38.972066473879,4.51217551095088,55.0,60.0
1991,7.53000020980835,,,56.1118663142025,39.4589081123538,4.42922557344374,54.0,61.0
1990,,,,55.6640042777347,39.99513100278,4.34086471948523,98.0,80.0
1989,,,,55.3022707755756,40.4519322955304,4.245796928894,73.0,64.0
1988,,11.1,,54.9247127661605,40.9270964300756,4.14819080376383,63.0,63.0
1987,,,,54.5354873580597,41.4152476834407,4.04926495849956,48.0,53.0
1986,,,,54.1245729994946,41.9243129609846,3.95111403952074,51.0,50.0
1985,,,,53.6820459053797,42.4629522685412,3.85500182607908,71.0,55.0
1984,,,,53.4670557694617,42.7565394212934,3.77640480924485,41.0,31.0
1983,,,,53.2528327646472,43.0461598335878,3.70100740176506,46.0,21.0
1982,,,,53.0382666593769,43.3331145006488,3.62861883997427,43.0,42.0
1981,,,,52.8351410220034,43.6063496118177,3.55850936617889,44.0,42.0
1980,,,,52.6549649825076,43.8546990787026,3.49033593878985,45.0,44.0
1979,,,,52.4866169865681,44.0659089997205,3.44747401371142,,
1978,,,,52.335082200523,44.257710358226,3.40720744125105,,
1977,,,,52.1893032040416,44.4429334109031,3.36776338505524,,
1976,,,,52.048992560804,44.6238753978221,3.32713204137396,,
1975,,,,51.9216827625249,44.794752535206,3.28356470226915,,
1974,,,,51.72513582874,44.9985961490151,3.27626802224488,,
1973,,,,51.5641719660871,45.1686691370668,3.26715889684608,,
1972,,,,51.4274654546611,45.3171184407556,3.25541610458332,,
1971,,,,51.2950593080904,45.4648057231996,3.24013496871004,,
1970,,,,51.1601745461832,45.6196291492562,3.22019630456066,,
1969,,,,50.9944537605561,45.7736134541179,3.23193278532603,,
1968,,,,50.8437154615203,45.9158139994439,3.24047053903581,,
1967,,,,50.7343279457918,46.0200691802492,3.24560287395904,,
1966,,,,50.7238113973731,46.0273555898811,3.24883301274578,,
1965,,,,50.8557894838774,45.8935130679193,3.25069744820328,,
1964,,,,50.8611660223639,45.8661233105745,3.27271066706158,,
1963,,,,50.9845245003352,45.7204235260451,3.29505197361971,,
1962,,,,51.2004672501835,45.4833050854396,3.31622766437681,,
1961,,,,51.4496943722335,45.2178739548936,3.3324316728729,,
1960,,,,51.6949569175556,44.9634966836856,3.34154639875879,,
