date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,6.43300008773804,,,,,,,
2018,6.38299989700317,,,60.4255237876965,37.1165988655245,2.45787734677897,30.0,25.0
2017,6.48299980163574,,,60.231204070992,37.2850439222759,2.48375200673216,30.0,25.0
2016,6.58500003814697,,,60.0434503530341,37.4481969749338,2.50835267203213,30.0,19.0
2015,6.64400005340576,,,59.9366917457949,37.5278118175408,2.53549643666436,27.0,16.0
2014,6.69199991226196,,,59.6846411358337,37.7278515019019,2.5875073622644,44.0,24.0
2013,6.76100015640259,,,59.4228237674573,37.9234550307363,2.65372120180637,42.0,6.0
2012,6.74100017547607,,,59.1295889898186,38.1395881073438,2.73082290283759,35.0,26.0
2011,6.72599983215332,5.6,,58.8309505063064,38.358397856621,2.81065163707259,51.0,41.0
2010,6.72300004959106,,94.37054,58.6108670794658,38.5024357831756,2.88669713735867,51.0,44.0
2009,6.64599990844727,,,58.3499981699181,38.6848255155562,2.96517631452564,51.0,43.0
2008,6.33099985122681,,,58.0940709074857,38.8636680451652,3.0422610473491,51.0,42.0
2007,6.37799978256226,,,57.808508592688,39.0736375286453,3.11785387866669,51.0,41.0
2006,6.51900005340576,,,57.4781770716486,39.328817482817,3.19300544553446,51.0,40.0
2005,6.68200016021729,,,57.1539687939856,39.5754701248107,3.27056108120368,51.0,39.0
2004,6.76000022888184,10.6,,56.9652792597521,39.691526175502,3.34319456474589,51.0,38.0
2003,6.82200002670288,,,56.7297834166346,39.8529703027973,3.41724628056808,51.0,37.0
2002,6.81599998474121,,,56.4269484070087,40.0820797589249,3.49097183406644,51.0,36.0
2001,6.75,,,56.0669721023452,40.3689608115681,3.56406708608663,51.0,35.0
2000,6.75400018692017,15.7,88.3083,55.717186780846,40.649080060246,3.63373315890798,51.0,34.0
1999,6.77899980545044,,,55.3032985544115,40.9909414373378,3.70576000825068,51.0,33.0
1998,6.71999979019165,,,54.8041869892496,41.4213632424457,3.77444976830465,82.0,81.0
1997,6.72599983215332,13.8,,54.2409499310293,41.9192484062185,3.83980166275212,82.0,81.0
1996,6.74200010299683,,,53.6968865161199,42.399288169304,3.90382531457605,81.0,80.0
1995,6.72499990463257,,,53.2711446792064,42.7624162586962,3.9664390620974,81.0,79.0
1994,6.71999979019165,,,52.9952118355744,42.9834814589082,4.02130670551745,80.0,77.0
1993,6.69799995422363,,,52.8623953553218,43.0581643923854,4.07944025229283,79.0,76.0
1992,6.57999992370605,,,52.8486404063801,43.0133298752867,4.13802971833316,82.0,76.0
1991,6.52099990844727,,,52.8585917158943,42.9524573007464,4.18895098335925,85.0,77.0
1990,,,,52.8235541093734,42.9535196618224,4.22292622880426,88.0,77.0
1989,,,,53.0733854704638,42.6673552702769,4.25925925925926,18.0,48.0
1988,,,,53.344254242824,42.3608913285109,4.29485442866511,46.0,19.0
1987,,,,53.6752475971393,41.9955559153065,4.32919648755421,32.0,10.0
1986,,,,54.1416117694561,41.4873869650401,4.37100126550378,17.0,3.0
1985,,,,54.7998114268512,40.7763874610216,4.42380111212719,11.0,3.0
1984,,,,55.015804459029,40.5354212913811,4.44877424958981,,
1983,,,,55.2993776889483,40.1942207484604,4.50640156259125,,
1982,,,,55.5869022942065,39.8274953448336,4.58560236095984,,
1981,,,,55.8640410932996,39.4490381051087,4.68692080159168,,
1980,,,,56.2023614706577,38.9878725558058,4.80976597353648,,
1979,,,,56.5352508471775,38.5201256302174,4.94462352260517,,
1978,,,,56.7002394879797,38.2663406737373,5.03341983828303,,
1977,,,,56.7745585490345,38.1460711277028,5.07937032326269,,
1976,,,,56.734499641074,38.1768174155717,5.08868294335422,,
1975,,,,56.5750586395622,38.3686473807662,5.05629397967162,,
1974,,,,56.4166143032912,38.4255618558834,5.15782384082537,,
1973,,,,56.1657650389345,38.6448931373043,5.18934182376119,,
1972,,,,55.9600830394368,38.8613510834159,5.17856587714723,,
1971,,,,55.9441986842722,38.9120148839201,5.14378643180769,,
1970,,,,56.1677994091756,38.73683310196,5.09536748886447,,
1969,,,,55.7351973684211,39.0973684210526,5.16743421052632,,
1968,,,,55.5172955082111,39.2327654443862,5.24993904740275,,
1967,,,,55.4460399602454,39.2210151136091,5.33294492614552,,
1966,,,,55.4926527128174,39.1025234033848,5.40482388379787,,
1965,,,,55.6692001447702,38.8744118711545,5.45638798407528,,
1964,,,,55.6892002749263,38.7731045237198,5.53769520135394,,
1963,,,,55.8545112781955,38.5406015037594,5.60488721804511,,
1962,,,,56.1469611279122,38.1989863434763,5.65405252861158,,
1961,,,,56.470279105533,37.8452110003825,5.68450989408442,,
1960,,,,56.7639122244285,37.5474380514857,5.6886497240858,,
