date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,5.14400005340576,,,,,
2018,5.10400009155273,,,,99.0,95.0
2017,5.19299983978271,,,,99.0,95.0
2016,5.28499984741211,,,,99.0,95.0
2015,5.33799982070923,,,,97.0,95.0
2014,5.38199996948242,,,,90.0,94.0
2013,5.44399976730347,,,,94.0,94.0
2012,5.42600011825562,,,,98.0,94.0
2011,5.41200017929077,55.7353642159919,40.1807794218494,4.08385636215873,98.0,94.0
2010,5.40999984741211,56.5165978801016,39.4833201122243,4.00008200767403,97.0,95.0
2009,5.34000015258789,56.841617733788,39.1864855509116,3.97189671530039,97.0,95.0
2008,5.05700016021729,57.1169842812687,38.9417257986946,3.94128992003667,96.0,95.0
2007,5.09999990463257,57.3211201200319,38.773236830794,3.90564304917411,96.0,95.0
2006,5.22599983215332,57.4670730808836,38.6690105732805,3.86391634583588,95.0,94.0
2005,5.3730001449585,57.568670292384,38.615694358605,3.81563534901097,95.0,96.0
2004,5.44399976730347,56.4348962038795,39.7408562311314,3.82424756498908,96.0,98.0
2003,5.5,55.1491691763044,41.0147279498864,3.83610287380915,92.0,93.0
2002,5.49399995803833,53.7316741486898,42.4215798260258,3.84674602528437,83.0,90.0
2001,5.43499994277954,52.1699803176961,43.9829167372012,3.84710294510263,84.0,86.0
2000,5.43900012969971,50.4599950445294,45.7102463078255,3.8297586476451,76.0,81.0
1999,5.46099996566772,49.893425642653,46.3572755044348,3.74929885291219,88.0,93.0
1998,5.40799999237061,49.276207016577,47.0662136879813,3.65757929544169,79.0,86.0
1997,5.41400003433228,48.6849591764498,47.755467777343,3.55957304620717,73.0,75.0
1996,5.42799997329712,48.2003802475251,48.3402414061874,3.45937834628749,66.0,66.0
1995,5.41300010681152,47.85752070345,48.7837431982804,3.35873609826959,58.0,58.0
1994,5.40799999237061,48.5905347475467,48.1787119719802,3.23075328047313,51.0,49.0
1993,5.38899993896484,49.4068683201214,47.4849751588698,3.10815652100887,34.0,32.0
1992,5.28299999237061,50.2671425711243,46.7422426333144,2.9906147955613,,
1991,5.22900009155273,51.1565251385703,45.9650681842851,2.87840667714456,,
1990,,52.0669177602757,45.161917302038,2.77116493768631,,
1989,,52.0519769929377,45.1980399266564,2.74998308040594,,
1988,,52.1651442049227,45.1045362725653,2.73031952251207,,
1987,,52.3742821123407,44.91586530552,2.70985258213932,,
1986,,52.6374059591417,44.677047686113,2.68554635474532,,
1985,,52.9329514850018,44.410477974108,2.65657054089026,,
1984,,52.9235140432769,44.4266443337504,2.64984162297276,,
1983,,52.9274425857339,44.4308505742749,2.64170683999116,,
1982,,52.9541496377169,44.4144046541229,2.63144570816023,,
1981,,53.0173527270853,44.3649726739517,2.61767459896299,,
1980,,53.1258509209561,44.2755807030742,2.59856837596976,,
1979,,53.0871367668306,44.3162133545217,2.59664987864762,,
1978,,53.0695534922766,44.3380220422063,2.59242446551713,,
1977,,53.0829595003833,44.3318756989734,2.58516480064337,,
1976,,53.1332224357629,44.2924465834397,2.57433098079749,,
1975,,53.2271981794015,44.2138804694179,2.55892135118062,,
1974,,53.1669425123106,44.2665659368995,2.56649155078987,,
1973,,53.1198003035622,44.3077173767226,2.57248231971518,,
1972,,53.1119001557629,44.3122710404485,2.57582880378857,,
1971,,53.1926043813132,44.2311175377234,2.57627808096344,,
1970,,53.4027743345449,44.0236623199295,2.57356334552556,,
1969,,53.4387359212239,43.9680187568126,2.59324532196348,,
1968,,53.5714027047363,43.8174524297159,2.61114486554781,,
1967,,53.7790567973944,43.5949044122872,2.62603879031845,,
1966,,54.0028416922914,43.3609161276641,2.63624218004453,,
1965,,54.21380974735,43.1462938592862,2.63989639336381,,
1964,,54.1335355705226,43.1915317946732,2.67493263480417,,
1963,,53.9710558072983,43.3262861687609,2.70265802394077,,
1962,,53.7782676999036,43.497792521542,2.72393977855436,,
1961,,53.684889986529,43.5723216635957,2.74278834987535,,
1960,,53.796683174704,43.4420746533808,2.76124217191516,,
