date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,6.76246203930932,,,,,
2018,6.90389883129032,65.6360525492978,18.0150568463075,16.3488906043948,95.2001399384674,93.8874369276821
2017,7.49187834586833,65.968358580713,17.9424473520136,16.0891940672734,95.1036437879982,93.7360440485786
2016,8.09609557816908,66.3027759322671,17.8616542421278,15.8355698256051,93.2719534211814,92.3898069310871
2015,8.5582208622596,66.628975983793,17.7863127221754,15.5847112940316,93.8075664890807,93.0471858593296
2014,8.95733537977221,66.9398086470996,17.6984608317439,15.3617305211565,93.5469998921003,92.9581749444175
2013,9.20288329322145,67.2326759334604,17.620893995673,15.1464300708666,95.0027866209488,95.8099201714953
2012,8.97110229812818,67.4933559197167,17.5596573254043,14.946986754879,94.7254323146491,95.7442781418632
2011,8.76070264048322,67.7107358221399,17.5098674750597,14.7793967028003,94.1325645097726,94.3513768197941
2010,9.01555959836076,67.8833560404843,17.4559973730769,14.6606465864388,93.3505406077784,94.3876975288906
2009,8.93293753534619,67.9182213853394,17.5006177363728,14.5811608782879,93.6530082164987,94.9865638719931
2008,7.08936149538568,67.8763573091771,17.5752007890725,14.5484419017504,94.7675253490034,95.8758612526315
2007,7.17311677298863,67.7799645705882,17.6857784415985,14.5342569878133,94.7153466726853,95.9290546166444
2006,8.08927365357371,67.6658485478987,17.8425335026667,14.4916179494347,94.4012690989359,95.2562173527927
2005,8.73537370651011,67.5694592153545,18.045876329564,14.3846644550815,93.024680532502,95.0257460450323
2004,9.11871474371875,67.3888431020173,18.3319185946189,14.2792383033637,91.4203361661126,93.8992817038928
2003,9.14064393766815,67.2263300506497,18.6784605622045,14.0952093871458,90.3653538665966,91.2582684318758
2002,9.12882286614073,67.0791956950537,19.0643499671855,13.8564543377608,90.9191164706672,92.8737103838093
2001,9.09199750529608,66.937356395603,19.4501764929363,13.6124671114607,91.6927387879151,93.9722594125527
2000,9.80070481623755,66.7928184588523,19.8124763737988,13.3947051673489,90.7452436359618,92.8841454799463
1999,10.6289613019733,66.5694405716388,20.1898782246359,13.2406812037253,89.4478351415607,92.8632603847381
1998,10.7315981345809,66.3392890114884,20.5404636732774,13.1202473152343,88.0513481869895,91.6691892974507
1997,10.557533821917,66.1214835418306,20.8638493073211,13.0146671508483,88.0573247432979,90.9489380305477
1996,10.3196001570039,65.9296958979698,21.1870570488733,12.8832470531569,86.1267074626374,89.2927990501667
1995,9.97998345416665,65.7701945712253,21.5334433043751,12.6963621243996,83.9296862223742,86.7096011040952
1994,9.66483277543408,65.6659352131387,21.8037297221901,12.5303350646712,82.6930488306043,87.72786428036
1993,8.61670036445642,65.614572050076,22.0626641363518,12.3227638135723,83.2372917616361,81.3104517988482
1992,7.45045727136493,65.61269495812,22.3018796117784,12.0854254301016,81.3747485136482,84.84646061008
1991,6.90780822104714,65.6552364408828,22.5019895652741,11.8427739938431,,
1990,,65.7374589091192,22.6501253273413,11.6124157635395,,
1989,,65.740930843971,22.8267065190599,11.4323626369691,,
1988,,65.7561238288399,22.9787299852166,11.2651461859435,,
1987,,65.7694636083477,23.1080894196528,11.1224469719996,,
1986,,65.7590728175286,23.2196555127519,11.0212716697194,,
1985,,65.7110331721935,23.3171555921353,10.9718112356712,,
1984,,65.5135029907507,23.4505977381782,11.035899271071,,
1983,,65.2508777101021,23.5765825580864,11.1725397318116,,
1982,,64.9495453250614,23.7097507693232,11.3407039056153,,
1981,,64.6548352864573,23.8758486442522,11.4693160692906,,
1980,,64.4054683587762,24.0877291778201,11.5068024634037,,
1979,,64.1612902192654,24.3467617192249,11.4919480615098,,
1978,,63.9728607012132,24.6443730456538,11.382766253133,,
1977,,63.83849949323,24.9607848831351,11.2007156236349,,
1976,,63.7479077542015,25.2602090436502,10.9918832021482,,
1975,,63.6942318822293,25.5193034806946,10.786464637076,,
1974,,63.546724639419,25.8376772206861,10.6155981398949,,
1973,,63.4190999178244,26.1363089735958,10.4445911085798,,
1972,,63.3083632836163,26.4215173372982,10.2701193790855,,
1971,,63.2057227101185,26.7115457529242,10.0827315369573,,
1970,,63.1081557589882,27.014776973877,9.87706726713485,,
1969,,63.0270582372054,27.2717408886326,9.70120087416199,,
1968,,62.9618684848862,27.5145909226665,9.52354059244733,,
1967,,62.9220727271629,27.7301601722376,9.34776710059952,,
1966,,62.9189144603057,27.9071903409397,9.17389519875458,,
1965,,62.9625733041503,28.0364256884567,9.001001007393,,
1964,,62.9680621196911,28.1649486359212,8.86698924438771,,
1963,,62.9941440983055,28.2619822296368,8.74387367205771,,
1962,,63.0650620967955,28.3076000752745,8.62733782793005,,
1961,,63.2263558519208,28.2587368880158,8.51490726006337,,
1960,,63.497163087192,28.0989386522475,8.40389826056044,,
