date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,6.66652982108756,,,,,
2018,7.26940154221806,64.6888633261803,15.1480365084934,20.1631001653263,94.180647030497,94.2436644169296
2017,8.13561867600601,64.9853599256943,15.1464069475388,19.8682331267669,94.079549323429,94.5071007745681
2016,9.12477823255341,65.2751050906457,15.161400575626,19.5634943337283,93.4527157496444,95.0578354556823
2015,10.023739047815,65.5432722497458,15.2148291538709,19.2418985963833,93.4326339812247,95.3526015940407
2014,10.8433454111489,65.8513229195874,15.2484824002371,18.9001946801756,93.910751718972,96.1355489483719
2013,11.3230983572354,66.1486837326579,15.3011968925047,18.5501193748374,94.2339992905093,96.5181439814177
2012,10.802605929153,66.4294328007744,15.3614775459637,18.209089653262,94.6150988353684,96.9767419584011
2011,9.8361407265992,66.6919196834411,15.4026788156371,17.9054015009218,94.1322904424834,96.5989774273366
2010,9.79571098162434,66.940719978949,15.4017831291705,17.6574968918805,94.0196246945464,96.9276017295106
2009,9.11664646252762,67.0879413462471,15.4690292841153,17.4430293696376,94.1518855993401,96.6023632446049
2008,7.20004177720333,67.1896414658233,15.5315172743014,17.2788412598752,94.2442155637876,96.9484275891593
2007,7.44805592344034,67.2624881565885,15.5994611272542,17.1380507161574,94.2240278364483,96.9297950220752
2006,8.62527758901901,67.329436047109,15.6856731243656,16.9848908285255,93.641611848797,96.9853832675579
2005,9.56983824512808,67.4088747743357,15.7960233959756,16.7951018296887,92.78504549803,96.3415473864136
2004,9.88208420816517,67.4087846308262,15.9733696803233,16.6178456888505,92.6383609342117,96.3678842146296
2003,9.64656574865581,67.4132631729327,16.1778612357209,16.4088755913465,92.1801437618198,96.7550423440892
2002,9.5410269027005,67.4191446837037,16.4047264952188,16.1761288210774,91.193582593787,95.5751367285322
2001,9.19577176027884,67.4199157323939,16.6439536760158,15.9361305915903,90.2507189660944,95.3130875409418
2000,9.82330600961164,67.4121206411844,16.8888739961065,15.699005362709,89.1258430335597,93.8445683684296
1999,10.1792390033494,67.3833029607203,17.1398159046502,15.4768811346294,88.4693804736983,95.6893388124861
1998,10.447999636374,67.3467065901974,17.3891849485414,15.2641084612612,86.6796656410475,94.0209129422035
1997,10.8720063015641,67.3102341183176,17.6386211314371,15.0511447502453,87.0063053477972,93.8634691484913
1996,11.0842220470049,67.2768030856852,17.8965620614012,14.8266348529135,86.6482244059286,93.160993991422
1995,11.0742298777014,67.2475057037686,18.1706346892524,14.581859606979,85.0467724149704,91.8714617527445
1994,11.4830129736397,67.1893208087912,18.4216433988748,14.389035792334,83.9942385193419,90.8765786611217
1993,10.7280978777788,67.1318799543527,18.6783297657066,14.1897902799407,83.2069762250392,87.8134142942364
1992,9.17316476076016,67.0822252593337,18.9389977031094,13.9787770375569,80.2193078809026,91.808381432295
1991,8.49564706116928,67.0582289731681,19.1924355618188,13.7493354650131,79.3666659927684,91.2079108922901
1990,,67.0720850727775,19.4274394489106,13.5004754783119,79.6089267731246,88.7180336282608
1989,,67.0186895518977,19.6991389228422,13.2821715252601,81.7671632591143,90.332269395107
1988,,66.9979641001315,19.9603678963792,13.0416680034893,77.6311685705413,87.3854686356445
1987,,66.9781457323518,20.2163139753663,12.8055402922819,76.6963499389575,87.4891146959337
1986,,66.8973919790408,20.4840665402288,12.6185414807304,72.1268264154928,91.5571226755542
1985,,66.7181634240124,20.7725326090613,12.5093039669264,68.3838805080159,87.3993184972739
1984,,66.376843751294,21.0744075017992,12.5487487469067,63.4206589407479,91.778787505191
1983,,65.9172085086718,21.397163798862,12.6856276924662,57.1737425161118,
1982,,65.3996268903726,21.7301782030677,12.8701949065597,,
1981,,64.9333780433565,22.0498382357818,13.0167837208618,,
1980,,64.5932639138454,22.3421841083226,13.064551977832,,
1979,,64.2736656260673,22.6667779581548,13.059556415778,,
1978,,64.0844192773835,22.9596789374942,12.9559017851223,,
1977,,63.9986617551982,23.226780982642,12.7745572621599,,
1976,,63.9515304463428,23.489256388625,12.5592131650323,,
1975,,63.9007526318401,23.7607325702862,12.3385147978736,,
1974,,63.8147146722746,24.0158001379158,12.1694851898095,,
1973,,63.7381466223221,24.2736406996408,11.9882126780371,,
1972,,63.6814919786241,24.5229470135229,11.7955610078531,,
1971,,63.6680653329134,24.742551302578,11.5893833645086,,
1970,,63.7144725090607,24.9178045071883,11.3677229837509,,
1969,,63.7407627373028,25.0950262719909,11.1642109907063,,
1968,,63.7988872356199,25.2411719559019,10.9599408084782,,
1967,,63.8813392329063,25.3604890360907,10.758171731003,,
1966,,63.9712470906521,25.4748570590044,10.5538958503435,,
1965,,64.0624240309051,25.5954076834421,10.3421682856528,,
1964,,64.0978382038603,25.7330365985195,10.1691251976202,,
1963,,64.1179342619079,25.8782658184837,10.0037999196084,,
1962,,64.1475679043544,26.0098264588623,9.84260563678332,,
1961,,64.2354347046276,26.0782528350302,9.68631246034216,,
1960,,64.4072246485139,26.0582498681259,9.53452548336023,,
