date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,7.24928253225592,,,,,,,
2018,7.19398244021731,,63.75516,55.6412072261515,40.9763203063895,3.382472467459,72.122220328461,70.1350309819436
2017,7.2912901493875,,63.33,55.4880934066584,41.1677718252535,3.34413476808799,72.8834842667437,70.9006346580926
2016,6.89807562223125,,62.50688,55.3695342631738,41.3248464537153,3.30561928311094,72.2999664990165,70.3102723635291
2015,6.22634182322665,,62.22513,55.288261474325,41.4445700534464,3.26716847222858,65.6770361554079,66.6558768516406
2014,6.24090489020557,,61.86611,55.1235986741734,41.6218968429453,3.25450448288129,65.4040542520896,65.9393964408994
2013,6.01909905671267,,61.16073,54.9831211524089,41.7714518922958,3.24542695529528,65.0927677702495,64.7126372118047
2012,5.85430904767192,,61.36252,54.8685269764819,41.8937609697327,3.2377120537854,65.0189718373032,65.0537709752741
2011,5.82243824372778,,61.16862,54.7817544724479,41.9905970537966,3.2276484737555,68.0649138866219,67.5975668579635
2010,5.7665984885139,,61.55183,54.7261363772722,42.0616929450069,3.21217067772093,69.8904517290537,67.9589300573365
2009,5.55642904757511,,61.12037,54.6478167225037,42.1380559799078,3.21412729758844,70.9943779533114,71.0406910261884
2008,5.55521241287273,,63.09913,54.5912108619291,42.196205129288,3.2125840087829,65.8735350443071,65.640727725512
2007,5.58546252064783,,63.49915,54.5550178187851,42.2383548832349,3.20662729797998,61.5533791858254,62.8583054740816
2006,5.7037776652398,,63.21735,54.5386637541966,42.2650747619718,3.19626148383152,60.5839901156214,60.3779352002136
2005,5.9107785924285,,65.08939,54.5442851446546,42.2744230261219,3.18129182922352,59.0964659622297,58.6200037610183
2004,6.16480846869253,,64.87568,54.4166357756434,42.390803627354,3.19256059700263,56.5470947659476,55.8714701916318
2003,6.25795128400676,,64.4421,54.2935869425733,42.5049371646058,3.2014758928209,53.4256210938045,51.3282015096587
2002,6.21419461918355,,64.2841,54.1795320805391,42.6136419550146,3.20682596444629,50.2371118636477,48.6824759167856
2001,5.95873145931772,,63.49874,54.083372720965,42.7093422670821,3.20728501195298,50.1341771684208,47.679455312349
2000,5.87837755130076,,62.63916,54.0162109033261,42.7821816991103,3.20160739756353,51.320018500081,49.3585611070324
1999,5.8351371465462,,61.79219,53.8257788469716,42.962479445612,3.2117417074164,48.8128985446186,46.7816472680273
1998,5.57428351160937,,61.23717,53.6405253026969,43.1420932739454,3.21738142335766,49.5046001175512,45.0049469851156
1997,5.56438845214659,,60.36545,53.4733839799811,43.308558022707,3.21805799731193,48.8309803369398,42.1797717906992
1996,5.56739909208535,,59.50375,53.3385449683221,43.448024714309,3.21343031736895,48.8041640281677,43.8648831951925
1995,5.41425177318129,,58.96649,53.2436996251342,43.5538532324957,3.2024471423701,50.1163772242786,45.6491226102753
1994,5.2655856753225,,58.45649,53.0142959060318,43.786658716783,3.19904537718518,49.7181344370491,46.088567343375
1993,5.11112353245465,,57.54092,52.8192158293328,43.9864643156847,3.19431985498243,47.1490445376303,44.1329548887157
1992,5.06597859021573,,57.30622,52.6592808684872,44.1537379719606,3.18698115955223,47.512667358438,47.7078016196631
1991,5.09873403402258,,57.12298,52.5381845706737,44.2861605738347,3.17565485549158,52.6317437260934,47.1812345599953
1990,,,56.93337,52.4638786965901,44.3770527474281,3.15906855598188,56.0367304551579,59.0080439941859
1989,,,56.47195,52.3408269306907,44.4881428901935,3.17103017911578,54.379084580764,51.5950382157927
1988,,,56.22288,52.2303292571583,44.5971170523167,3.17255369052505,46.0833254372038,42.012002719501
1987,,,55.72337,52.1599544873395,44.6715102368798,3.16853527578076,37.9231870474812,35.9553382587814
1986,,,55.12725,52.1421923766707,44.699599613289,3.15820801004025,32.8524178523289,31.5625684815547
1985,,,,52.189727831645,44.6696061293258,3.14066603902924,29.4436272635999,25.6203999852454
1984,,,,52.1268938143875,44.727334269042,3.14577191657046,19.8413035124733,19.8291750494034
1983,,,,52.1016069257802,44.7538356953757,3.14455737884403,,
1982,,,,52.1219680821698,44.7412291618894,3.13680275594086,,
1981,,,,52.2000963122779,44.6769894414429,3.12291424627925,,
1980,,,,52.3459501006257,44.5511788630541,3.1028710363202,,
1979,,,,52.3084946754095,44.5813072591382,3.11019806545229,,
1978,,,,52.3193250518358,44.5653723477707,3.11530260039351,,
1977,,,,52.3751383646575,44.5085605725353,3.11630106280716,,
1976,,,,52.4752689104477,44.4140440544342,3.11068703511809,,
1975,,,,52.6272080250456,44.2763329038258,3.09645907112867,,
1974,,,,52.6532165347262,44.2412852497475,3.10549821552629,,
1973,,,,52.7073087479818,44.1851108679463,3.1075803840719,,
1972,,,,52.7995215234902,44.0983046075344,3.10217386897547,,
1971,,,,52.9430284859494,43.9678423360626,3.08912917798792,,
1970,,,,53.15256860647,43.7792629835697,3.06816840996028,,
1969,,,,53.1699529852823,43.7506413581193,3.07940565659844,,
1968,,,,53.2150358851659,43.7011475348672,3.08381657996691,,
1967,,,,53.3044048080184,43.6151285949215,3.08046659706012,,
1966,,,,53.4691992889744,43.4619614416125,3.06883926941307,,
1965,,,,53.7360385518191,43.2158288366093,3.04813261157161,,
1964,,,,53.8053104643963,43.1327879814628,3.06190155414094,,
1963,,,,53.948344921511,42.9835491855303,3.06810589295876,,
1962,,,,54.1589963503874,42.7755174378889,3.06548621172367,,
1961,,,,54.4130173426405,42.5346289039114,3.05235375344807,,
1960,,,,54.6998235356253,42.2725961701134,3.02758029426128,,
