date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,20.003999710083,,,,,
2018,19.806999206543,59.4102228356395,37.0258696960045,3.56390746835592,59.0,70.0
2017,19.9820003509521,59.5932435855277,36.8221392342104,3.58461718026194,63.0,75.0
2016,20.1590003967285,59.8055255486776,36.5886189016935,3.60585554962889,64.0,75.0
2015,20.2600002288818,60.0405301470566,36.3328585819275,3.62661127101596,68.0,80.0
2014,20.3430004119873,59.8357575114131,36.4471812294299,3.71706125915702,61.0,70.0
2013,20.4599990844727,59.5829221863097,36.605999435355,3.81107837833524,70.0,79.0
2012,20.423999786377,59.2652264811549,36.8284065333015,3.90636698554366,71.0,82.0
2011,20.3959999084473,58.8864650206128,37.1131432031271,4.00039177626014,72.0,75.0
2010,20.3899993896484,58.4750698831382,37.433164628665,4.09176548819683,62.0,67.0
2009,19.55299949646,58.0745579147035,37.6984157335455,4.227026351751,63.0,76.0
2008,18.3479995727539,57.6160654312695,38.0252742766078,4.3586602921227,67.0,82.0
2007,17.761999130249,57.1020830857511,38.4127124255131,4.48520448873572,62.0,81.0
2006,17.3229999542236,56.5399342167825,38.8567089372319,4.6033568459856,55.0,45.0
2005,16.9099998474121,55.9458889977987,39.3450356657694,4.70907533643187,55.0,45.0
2004,17.0919990539551,55.4965855243962,39.670112535502,4.83330194010171,55.0,45.0
2003,17.25,55.0384748547865,40.0133186560431,4.94820648917045,55.0,45.0
2002,17.3120002746582,54.5875814532936,40.361557538335,5.0508610083714,55.0,45.0
2001,17.2889995574951,54.1602841964606,40.6993465039432,5.14036929959626,55.0,45.0
2000,17.3649997711182,53.7710443192549,41.0155003419193,5.21345533882575,55.0,45.0
1999,17.4710006713867,53.4268738970453,41.2856156363527,5.28751046660195,55.0,45.0
1998,17.4570007324219,53.1232986998114,41.5252709046793,5.35143039550929,56.0,50.0
1997,17.5370006561279,52.8683878044891,41.726990602258,5.40462159325283,56.0,54.0
1996,17.6310005187988,52.6757146515358,41.87680544137,5.44747990709418,57.0,62.0
1995,17.6770000457764,52.5570857904449,41.9631944815687,5.47971972798646,57.0,70.0
1994,17.7399997711182,52.4469498843704,42.0327167996368,5.52033331599283,60.0,69.0
1993,17.7800006866455,52.4031393174063,42.0408087956822,5.55605188691155,63.0,67.0
1992,17.6049995422363,52.4216046815263,41.9919028824661,5.58649243600754,66.0,66.0
1991,17.5160007476807,52.4933309967483,41.8943556098026,5.61231339344916,71.0,72.0
1990,,52.6168840469811,41.7503960028984,5.63271995012049,76.0,78.0
1989,,52.6857426186329,41.6391057376171,5.67515164375005,76.0,78.0
1988,,52.7874640082184,41.4902461854555,5.72228980632609,68.0,72.0
1987,,52.9262462136687,41.305141400236,5.76861238609537,67.0,65.0
1986,,53.1112360713748,41.0802684083722,5.80849552025297,66.0,59.0
1985,,53.3559099899892,40.8088181954473,5.83527181456352,58.0,48.0
1984,,53.5122311719444,40.5862516534905,5.90151717456513,,31.0
1983,,53.7005411568743,40.3415040411397,5.95795480198607,,14.0
1982,,53.9316429515793,40.0649274148155,6.00342963360517,,
1981,,54.2230655193529,39.7346031132167,6.04233136743047,,
1980,,54.5895242920554,39.3353966802877,6.07507902765693,,
1979,,54.8501103291816,38.9809082546544,6.16898141616393,,
1978,,55.1665493868457,38.5709971578307,6.26245345532361,,
1977,,55.5407353734908,38.1087015992488,6.35056302726043,,
1976,,55.9664167934176,37.6081414933732,6.42544171320921,,
1975,,56.4433483234909,37.0784018185862,6.47824985792296,,
1974,,56.8367935318602,36.5748603369558,6.58834613118401,,
1973,,57.2656199833044,36.054870609388,6.67950940730752,,
1972,,57.7387102258609,35.509167832808,6.7521219413311,,
1971,,58.2772933652785,34.9143291936738,6.80837744104773,,
1970,,58.9054392055848,34.2455804545624,6.84898033985278,,
1969,,59.1256582751374,33.893249498828,6.98109222603463,,
1968,,59.3688910256184,33.5340052247749,7.09710374960673,,
1967,,59.639135904299,33.1650600387323,7.19580405696866,,
1966,,59.9450941978818,32.7808997039285,7.27400609818969,,
1965,,60.3039967301696,32.3656960295185,7.33030724031191,,
1964,,60.4816201335505,32.0946093980701,7.42377046837939,,
1963,,60.6640519340005,31.8410680474516,7.49488001854786,,
1962,,60.8701179572334,31.5883251481066,7.54155689465995,,
1961,,61.1228966447146,31.3126360471254,7.56446730815996,,
1960,,61.4451577871471,30.9956720327073,7.55917018014565,,
