date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,9.05599975585938,,,,,
2018,9.02700042724609,53.141274000107,44.2687450605107,2.58998093938232,91.0,93.0
2017,9.13599967956543,53.0073097612392,44.3758020388556,2.61688819990524,90.0,92.0
2016,9.24899959564209,52.9075405186084,44.4533989472979,2.6390605340937,97.0,95.0
2015,9.3129997253418,52.8426164747394,44.5037538473339,2.65362967792661,97.0,97.0
2014,9.36499977111816,52.6823554056685,44.6468502135825,2.67079438074902,96.0,96.0
2013,9.44099998474121,52.5350967962716,44.7863535997132,2.67854960401525,96.0,97.0
2012,9.41699981689453,52.4019521126628,44.9209008022517,2.67714708508551,95.0,98.0
2011,9.39900016784668,52.2863170516198,45.0440359993009,2.66964694907927,91.0,96.0
2010,9.39500045776367,52.1964693206989,45.1453159609992,2.65821471830185,92.0,97.0
2009,9.3100004196167,51.9411542631957,45.4050183907293,2.65382734607497,96.0,98.0
2008,8.95899963378906,51.6751761840069,45.6777867559352,2.64703706005795,92.0,96.0
2007,9.01099967956543,51.4230587225157,45.9393797473912,2.63756153009303,88.0,95.0
2006,9.16600036621094,51.215907555712,46.1599992459683,2.62409319831977,89.0,95.0
2005,9.34500026702881,51.0728807487785,46.3209178223549,2.60620142886663,91.0,95.0
2004,9.43099975585938,50.8220032114356,46.5759054129996,2.60209137556489,92.0,87.0
2003,9.4980001449585,50.6230322258048,46.7789713261031,2.59799644809214,90.0,87.0
2002,9.48999977111816,50.4796473020329,46.9281707602789,2.59218193768822,90.0,87.0
2001,9.41699981689453,50.3912287125553,47.0266323744149,2.58213891302973,89.0,87.0
2000,9.42000007629395,50.3624868426345,47.0720640387098,2.56544911865572,89.0,80.0
1999,9.44600009918213,50.4468211219975,46.9965931504393,2.55658572756322,90.0,74.0
1998,9.38000011444092,50.6146794548208,46.8402624936901,2.54505805148915,90.0,85.0
1997,9.38599967956543,50.8662036474012,46.6037386945389,2.53005765805988,91.0,96.0
1996,9.40299987792969,51.2047597653448,46.2847835779162,2.51045665673903,94.0,96.0
1995,9.38300037384033,51.6471656735264,45.8655384001949,2.48729592627872,91.0,96.0
1994,9.37600040435791,51.9389295675792,45.5873267703151,2.4737436621057,89.0,93.0
1993,9.35200023651123,52.2759793450986,45.2661137829425,2.45790687195884,87.0,90.0
1992,9.2209997177124,52.6698946446386,44.8922844838074,2.43782087155405,83.0,85.0
1991,9.1540002822876,53.1603055588295,44.4264123230913,2.41328211807917,87.0,85.0
1990,,53.7856597944941,43.8312126606202,2.38312754488574,86.0,92.0
1989,,53.6772840706177,43.9420729875988,2.38064294178357,85.0,87.0
1988,,53.6370963679412,43.988051895714,2.37485173634486,80.0,82.0
1987,,53.6370232833508,43.9985415566115,2.36443516003769,88.0,85.0
1986,,53.6277076194437,44.0203906480085,2.35190173254781,62.0,73.0
1985,,53.6222507134947,44.0399213005781,2.33782798592725,75.0,78.0
1984,,53.7267774020455,43.9528230907242,2.32039950723032,79.0,70.0
1983,,53.7610022293662,43.9316537155866,2.30734405504721,70.0,62.0
1982,,53.778057639361,43.923505374473,2.29843698616602,71.0,80.0
1981,,53.8840200188875,43.8269774430144,2.28900253809808,70.0,76.0
1980,,54.1663658932343,43.5585315561023,2.27510255066332,69.0,63.0
1979,,54.1662343052817,43.5603014423576,2.27346425236069,,
1978,,54.2567422586399,43.4776777931257,2.26557994823447,,
1977,,54.4277746087174,43.321017343526,2.25120804775668,,
1976,,54.6479504486335,43.1222380581027,2.22981149326378,,
1975,,54.9180616283226,42.8812972356332,2.20064113604418,,
1974,,54.9952126226228,42.8001093165613,2.20467806081594,,
1973,,55.0727979315455,42.7261189676646,2.20108310078986,,
1972,,55.17417845524,42.6358478228201,2.18997372193995,,
1971,,55.3560223878724,42.4723288908968,2.17164872123083,,
1970,,55.6768803428006,42.1769557072414,2.14616394995801,,
1969,,55.6738500270373,42.1569583447836,2.1691916281791,,
1968,,55.729896968329,42.0856674486951,2.18443558297595,,
1967,,55.8346947816487,41.9755806567299,2.18972456162146,,
1966,,55.9661402047762,41.8489065606362,2.18495323458763,,
1965,,56.1443422601349,41.6884017381477,2.16725600171742,,
1964,,55.9196587973566,41.8907555598203,2.18958564282305,,
1963,,55.6638745643521,42.1346039247654,2.20152151088249,,
1962,,55.4312518755232,42.366291649776,2.20245647470084,,
1961,,55.3072265703661,42.4988924539194,2.19388097571454,,
1960,,55.3621862390322,42.460011998455,2.17780176251277,,
