date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,17.238000869751,,,,,
2018,19.2919998168945,64.2734830567542,14.0712448654023,21.6552720778435,97.0,99.0
2017,21.488000869751,64.3958389509388,14.2048072510869,21.3993537979744,97.0,99.0
2016,23.5389995574951,64.5147682306055,14.3552750140483,21.1299567553462,97.0,99.0
2015,24.8969993591309,64.6191514810385,14.5598442740214,20.8210042449401,97.0,99.0
2014,26.4909992218018,64.8470824904574,14.6756385299346,20.477278979608,97.0,99.0
2013,27.4659996032715,65.0809645733439,14.8171593501234,20.1018760765328,99.0,99.0
2012,24.4389991760254,65.3157625015942,14.9602198286357,19.7240176697701,99.0,99.0
2011,17.8649997711182,65.5525091284309,15.0504581229853,19.3970327485837,99.0,99.0
2010,12.7130002975464,65.7932203287086,15.0549563693205,19.1518233019709,99.0,99.0
2009,9.61600017547607,66.1137163125434,15.0237807766793,18.8625029107773,99.0,99.0
2008,7.76000022888184,66.4074619650591,14.9499076520413,18.6426303828996,99.0,99.0
2007,8.39599990844727,66.6919356373239,14.8566440037272,18.4514203589489,99.0,99.0
2006,9.00800037384033,67.0013253194302,14.7761493999049,18.2225252806648,98.0,98.0
2005,9.99400043487549,67.35838555925,14.7284969492973,17.9131174914526,96.0,96.0
2004,10.3109998703003,67.5224779866332,14.7545187393102,17.7230032740566,95.0,95.0
2003,9.41199970245361,67.7534770838169,14.7760508086188,17.4704721075644,94.0,94.0
2002,9.97500038146973,68.0207613725435,14.8169004512039,17.1623381762526,92.0,92.0
2001,10.456000328064,68.2684391344814,14.9139109343186,16.8176499312001,91.0,91.0
2000,11.2480001449585,68.4689116795872,15.080602022865,16.4504862975478,89.0,89.0
1999,11.8529996871948,68.4949627762312,15.3709772486149,16.1340599751539,88.0,88.0
1998,10.83899974823,68.4540489571628,15.7487597447649,15.7971912980723,89.0,89.0
1997,9.57699966430664,68.3688821930384,16.1808583824863,15.4502594244753,90.0,90.0
1996,9.65499973297119,68.2967568461304,16.5932939757708,15.1099491780988,90.0,90.0
1995,9.0620002746582,68.2806658748315,16.9341351447205,14.7851989804479,70.0,90.0
1994,8.86299991607666,68.0175076461146,17.496570439182,14.4859219147034,70.0,90.0
1993,8.61299991607666,67.7599141431665,18.0234226631092,14.2166631937242,72.0,89.0
1992,7.84299993515015,67.4957361810231,18.5272099403507,13.9770538786262,72.0,89.0
1991,7.6560001373291,67.1828513266998,19.0556433394244,13.7615053338758,72.0,85.0
1990,,66.7917987809887,19.6451063134022,13.5630949056092,76.0,54.0
1989,,66.5102031632805,20.2170835104502,13.2727133262693,76.0,54.0
1988,,66.1772008341062,20.7699028803273,13.0528962855665,82.0,83.0
1987,,65.817465666968,21.277377012929,12.905157320103,81.0,82.0
1986,,65.4558972289795,21.7312145766815,12.812888194339,39.0,80.0
1985,,65.1143361544939,22.1358278163102,12.7498360291959,77.0,54.0
1984,,64.814769996053,22.4948625934076,12.6903674105393,75.0,60.0
1983,,64.5073558888436,22.8570089929365,12.6356351182198,,72.0
1982,,64.2097152047872,23.206478341104,12.5838064541088,,83.0
1981,,63.9852750677712,23.4843759275486,12.5303490046802,,95.0
1980,,63.8851118967255,23.6464581600793,12.4684299431952,,72.0
1979,,63.703739044737,23.9544750353782,12.3417859198848,,
1978,,63.6374916815143,24.174605974313,12.1879023441727,,
1977,,63.6474770658558,24.3467677610903,12.0057551730539,,
1976,,63.6383567131063,24.5668123398921,11.7948309470016,,
1975,,63.5468048060341,24.8984894196139,11.554705774352,,
1974,,63.5628983801766,25.124584549991,11.3125170698324,,
1973,,63.5243314293665,25.4339918882981,11.0416766823354,,
1972,,63.4836869597564,25.7656093545466,10.750703685697,,
1971,,63.5412377810254,25.9997937333721,10.4589684856026,,
1970,,63.7507212672465,26.0705545092203,10.1787242235332,,
1969,,64.2188284330365,26.1713556804267,9.60981588653681,,
1968,,64.7400363700399,26.1643261559122,9.09563747404787,,
1967,,65.2498173669652,26.1243217953033,8.62586083773157,,
1966,,65.6114121040587,26.2060176942785,8.18257020166285,,
1965,,65.7433957970011,26.4991534597196,7.75745074327928,,
1964,,65.7666626758342,26.6294355252506,7.60390179891525,,
1963,,65.6327168646545,26.9168293790827,7.45045375626278,,
1962,,65.4415909212018,27.2574703160204,7.30093876277784,,
1961,,65.3940429432025,27.4406378153489,7.16531924144862,,
1960,,65.6016362348372,27.35154066009,7.04682310507276,,
