date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,5.31099987030029,,,,,,,
2018,4.92899990081787,,,65.6863809661696,24.4637083152357,9.84991071859466,,
2017,5.15399980545044,,,65.6539709400357,24.8330604269514,9.51296863301295,,
2016,5.40000009536743,,,65.6142030426324,25.1995998797184,9.18619707764911,,
2015,6.90000009536743,,,65.6002669088617,25.5342811069304,8.86545198420789,,
2014,7.59999990463257,,,65.5667759725741,25.9042579619417,8.52896606548418,,
2013,11.5,,,65.5345464973474,26.2744144582219,8.19103904443073,,
2012,12.1999998092651,,,65.4935123378084,26.6500412510313,7.85644641116028,,
2011,13.3000001907349,,,65.4008967261979,27.0545800666283,7.54452320717381,,
2010,8.19999980926514,,,65.2335616266526,27.5005644615037,7.26587391184366,,
2009,9.30000019073486,,,65.0327207868062,27.920063306244,7.04721590694987,,
2008,7.97700023651123,,,64.7696119117684,28.3589879021102,6.87140018612138,,
2007,8.30000019073486,,,64.4809155980283,28.7905972413706,6.72848716060108,,
2006,7.40000009536743,,,64.2359185114215,29.1809540618224,6.58312742675609,,
2005,7.0,,,64.0825242105529,29.5065718867186,6.4109039027285,,
2004,7.69999980926514,,,63.9698673632678,29.7929804365564,6.23715220017584,,
2003,9.57499980926514,,,63.9449139915165,30.0183239600043,6.03676204847924,,
2002,11.3900003433228,,,63.9887769125057,30.2011757520232,5.81004733547106,,
2001,13.2130002975464,,,64.063529005569,30.3565833978044,5.57988759662662,,
2000,15.3199996948242,,,64.1605881709146,30.4862582003361,5.3531536287493,,
1999,13.9499998092651,,,64.0682545971822,30.7340551986645,5.19769020415321,,
1998,7.73999977111816,,,64.0116366884034,30.931132081667,5.05723122992967,,
1997,9.67000007629395,,,64.0286621025528,31.0452885171953,4.92604938025189,,
1996,8.28299999237061,,,64.1631770903688,31.0421450763204,4.79467783331082,,
1995,7.90000009536743,,,64.426597783747,30.9224311457052,4.65097107054774,,
1994,7.59999990463257,,,64.7014747692609,30.772678253806,4.5258469769331,,
1993,5.52699995040894,,,65.0710208985968,30.5346951036347,4.39428399776853,,
1992,3.83699989318848,,,65.473473209844,30.2724373043046,4.2540894858514,,
1991,3.5090000629425,,,65.8440527710807,30.0416298536965,4.11431737522275,,
1990,,,99.36915,66.1616161616162,29.8677212182523,3.97066262013151,,
1989,,,,65.9298003481752,30.2394880883299,3.83071156349493,,
1988,,,,65.6100358537935,30.6802595590064,3.70970458720012,,
1987,,,,65.2433172844266,31.1485494467638,3.60813326880962,,
1986,,,,64.8525563607085,31.6316089640365,3.51583467525497,,
1985,,,,64.4648800741173,32.1174896201489,3.4176303057338,,
1984,,,,64.2500504558577,32.4725125262151,3.27743701792719,,
1983,,,,63.9907721584891,32.8557835586435,3.15344428286745,,
1982,,,,63.6622408315428,33.2883404036509,3.04941876480635,,
1981,,,,63.2389538432643,33.7944311405362,2.96661501619946,,
1980,,,96.42065,62.7332353816754,34.3819922598984,2.88477235842624,,
1979,,,,62.5063823101999,34.7403872589451,2.75323043085503,,
1978,,,,62.198133092442,35.1731406202951,2.62872628726287,,
1977,,,,61.8135560183428,35.6689270289402,2.51751695271705,,
1976,,,,61.3880589191173,36.1891282696441,2.42281281123866,,
1975,,,,60.9820892964264,36.6826634673065,2.33524723626703,,
1974,,,,60.8862186326975,36.9053481729538,2.20843319434869,,
1973,,,,60.6925690780649,37.2261468300098,2.08128409192524,,
1972,,,,60.3171703563314,37.7122175665339,1.97061207713473,,
1971,,,,59.7846627627558,38.3500921540723,1.86524508317197,,
1970,,,,59.2403161772596,38.9904264577894,1.76925736495106,,
1969,,,,59.2881521209166,38.9480741101901,1.76377376889322,,
1968,,,,59.3390428462795,38.9144445691063,1.74651258461423,,
1967,,,,59.268659762257,38.999285750727,1.73205448701597,,
1966,,,,59.0729306721318,39.2052945553278,1.72177477254037,,
1965,,,,58.9710009354537,39.3197915274622,1.70920753708406,,
1964,,,,58.9218491191086,39.3875511628862,1.69059971800523,,
1963,,,,58.8292231293662,39.5070560839436,1.66372078669023,,
1962,,,,58.6144474455491,39.7347853571634,1.65076719728751,,
1961,,,,58.3705488306499,39.9885415442473,1.64090962510283,,
1960,,,,58.3410745857181,40.0257708789068,1.63315453537503,,
