date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,2.45900011062622,,,,,
2018,2.40199995040894,60.7525320983504,34.4353953933618,4.81207250828785,87.0,86.0
2017,2.46199989318848,60.2527879150835,35.0508927890502,4.69631929586632,86.0,82.0
2016,2.58299994468689,59.7478598059853,35.6598860187338,4.59225417528087,86.0,80.0
2015,2.50600004196167,59.2610003095537,36.2316795846332,4.50732010581311,77.0,74.0
2014,2.71700000762939,58.6966744699381,36.8680524486354,4.43527308142641,67.0,73.0
2013,3.01699995994568,58.1420683598729,37.4720373720747,4.38589426805241,85.0,85.0
2012,2.76500010490417,57.5873804931002,38.0594535796523,4.35316592724755,93.0,96.0
2011,3.1159999370575,56.9962099301476,38.6793228433504,4.32446722650198,89.0,88.0
2010,3.49699997901917,56.34349998363,39.3660071343148,4.29049288205524,93.0,94.0
2009,3.34699988365173,55.7565825662745,39.9767872384015,4.26663019532402,92.0,92.0
2008,3.04399991035461,55.1460872108149,40.6133526692173,4.24056011996777,96.0,95.0
2007,2.9909999370575,54.5443258398139,41.2428039126365,4.21287024754957,86.0,85.0
2006,2.99499988555908,54.0097981484093,41.8030471102494,4.18715474134138,95.0,89.0
2005,3.01099991798401,53.5776725584276,42.2567132568745,4.16561418469783,93.0,87.0
2004,2.97099995613098,53.221879474952,42.6422441328679,4.13587639218015,95.0,87.0
2003,2.80699992179871,52.9563269500574,42.9378220576845,4.10585099225806,94.0,84.0
2002,2.80299997329712,52.7514962918696,43.1755805297928,4.07292317833755,92.0,82.0
2001,2.76500010490417,52.5424685361259,43.424414668209,4.03311679566515,91.0,77.0
2000,2.76600003242493,52.2861245845007,43.7298805749985,3.98399484050073,86.0,81.0
1999,2.77900004386902,52.0955584966738,43.9639216056831,3.94051989764299,83.0,77.0
1998,2.74499988555908,51.8648716158556,44.2484893116729,3.88663907247145,79.0,78.0
1997,2.74799990653992,51.6234289286359,44.5530130788746,3.82355799248946,74.0,73.0
1996,2.75600004196167,51.4333584366348,44.8113091468754,3.75533241648988,69.0,66.0
1995,2.74499988555908,51.331062558648,44.9839261010892,3.68501134026274,83.0,77.0
1994,2.7409999370575,51.1561253077845,45.2120106206101,3.63186407160546,66.0,71.0
1993,2.72900009155273,51.0428233413411,45.3835675760955,3.57360908256338,71.0,75.0
1992,2.66300010681152,50.9759856884822,45.5145591347168,3.50945517680097,59.0,66.0
1991,2.63000011444092,50.905868967139,45.6558233605075,3.43830767235352,49.0,63.0
1990,,50.7887842727395,45.8509363261111,3.3602794011494,68.0,66.0
1989,,50.665761372482,46.0285963207415,3.3056423067765,60.0,50.0
1988,,50.5419744814152,46.2075357008564,3.25048981772843,55.0,47.0
1987,,50.4394782424297,46.365110842462,3.19541091510837,24.0,16.0
1986,,50.3906096316405,46.4675910849709,3.14179928338858,55.0,37.0
1985,,50.4107130287886,46.4984478268362,3.09083914437516,23.0,21.0
1984,,50.393135707196,46.5454922523563,3.06137204044761,24.0,48.0
1983,,50.4240346445327,46.5382864698338,3.03767888563349,9.0,44.0
1982,,50.5041334092942,46.4789565893067,3.01691000139912,12.0,45.0
1981,,50.6327606767733,46.3722167637583,2.99502255946839,8.0,42.0
1980,,50.8073705089848,46.2232985728347,2.9693309181805,23.0,43.0
1979,,50.8917141431817,46.149818220709,2.95846763610931,,
1978,,51.0089551257257,46.0480283407361,2.94301653353824,,
1977,,51.1569849217709,45.9201338079756,2.92288127025344,,
1976,,51.325006281051,45.7750574538119,2.89993626513703,,
1975,,51.4995660369851,45.623688163379,2.87674579963592,,
1974,,51.4608195916638,45.6629094325193,2.87627097581686,,
1973,,51.4200601848136,45.7016838315153,2.87825598367114,,
1972,,51.3843065305836,45.7364530266174,2.87924044279901,,
1971,,51.366028426705,45.7598330934455,2.87413847984942,,
1970,,51.3790264741207,45.7619741178614,2.85899940801794,,
1969,,51.1532130933021,45.993367135595,2.85341977110287,,
1968,,50.9293877662444,46.234111470805,2.83650076295063,,
1967,,50.7435072100987,46.4472119472721,2.80928084262923,,
1966,,50.6558846298926,46.5675992733515,2.77651609675587,,
1965,,50.7052156635007,46.5526942433604,2.7420900931389,,
1964,,50.6400326389799,46.636663044811,2.72330431620914,,
1963,,50.7231623911166,46.5721758847223,2.70466172416119,,
1962,,50.9310748571596,46.3838598608635,2.68506528197688,,
1961,,51.1867574478056,46.1521679520256,2.66107460016886,,
1960,,51.4377377695691,45.931422619312,2.63083961111888,,
