date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,4.44717577695905,,,,,
2018,4.42163362978648,54.1155308905095,42.8560598715572,3.02840923793326,76.9865220484396,80.406185205934
2017,4.47497909444887,53.8500814870944,43.1411859843412,3.00873252856438,77.58984289835,81.3748487854345
2016,4.57763930272266,53.6055858658949,43.405951444884,2.98846268922109,76.0538539160159,80.5208479311462
2015,4.65490001599989,53.3853225214806,43.6481540092684,2.96652346925094,76.7765044923135,79.8882806516777
2014,4.59301632693011,53.1324934776825,43.9077336852476,2.95977283706993,74.920458761885,77.8924177227357
2013,4.68326504288356,52.8988784092358,44.147895406652,2.95322618411225,75.127276215303,76.040333143566
2012,4.80013888073814,52.6901969461126,44.3637811379386,2.94602191594883,75.8859880553811,77.1886214908377
2011,4.9414568779091,52.5145386391521,44.5482849148804,2.93717644596753,75.7246598231838,76.8136775393976
2010,4.98731710751149,52.3800161868106,44.6943818269414,2.92560198624802,75.8216851215919,74.9708686310763
2009,4.76004423988081,52.2260623514505,44.8441687454417,2.92976890310788,73.6054526997094,74.5699184030004
2008,4.55077901511859,52.1005684603376,44.9674218188401,2.93200972082227,70.0515092703875,72.3128943345736
2007,4.64059869179587,52.0068123054665,45.061370934356,2.9318167601776,70.4218403959954,72.0983032881387
2006,4.78374902372171,51.9469642473398,45.1238739236007,2.92916182905949,68.1922606682545,69.5584788554142
2005,4.94825882958165,51.9235348270693,45.1526376911998,2.9238274817309,65.8428864534951,68.1612264713256
2004,5.07080509444079,51.8029580438618,45.253293064012,2.94374889212613,63.1499069535849,64.7040974678572
2003,5.18669222003019,51.7020269493548,45.3346386884398,2.96333436220546,60.8642804831223,61.1725159333402
2002,5.16966597844402,51.6230785748514,45.3959694444295,2.98095198071902,57.121761610219,56.9381747097717
2001,5.13848076935425,51.5746118830626,45.4314192063821,2.99396891055535,54.7376069191424,54.3726559146643
2000,5.17655233709061,51.5684967660566,45.4315606498915,2.99994258405188,54.3258929940491,53.2179050150582
1999,5.16229379037062,51.4693379766384,45.5130861529362,3.01757587042542,50.303337880987,49.2893420374983
1998,4.99089998855378,51.391300037075,45.5804172846392,3.02828267828586,50.6053327261934,49.4949845711005
1997,4.9717392126488,51.3418927038724,45.6250629375967,3.03304435853088,52.5611328335164,51.7604243355446
1996,5.00109907329998,51.3325939184934,45.6336734983583,3.0337325831483,54.1276740215993,52.5063394877736
1995,4.96040670014267,51.3750172563185,45.5940243611807,3.03095838250077,53.2612100257216,52.8275016782572
1994,4.96904071354482,51.2329174841242,45.7319387778963,3.0351437379795,54.5851741861902,51.20447168125
1993,4.98099029633606,51.1248944803601,45.835032606073,3.04007291356691,48.4073193823437,48.3325378612191
1992,4.87882716319089,51.0526227504728,45.9037662123768,3.04361103715048,46.4904474884268,45.4938199150097
1991,4.83939809605333,51.0233875593459,45.9335329108794,3.04307952977473,46.8862352190248,45.6532159875021
1990,,51.0491376207798,45.9142655135927,3.03659686562749,53.273869287912,52.5132193800446
1989,,50.9939717059508,45.9658701469831,3.04015814706615,49.3348185395691,47.2758292211009
1988,,50.9732577412651,45.9881543822376,3.03858787649734,45.32839827259,41.8574422632864
1987,,50.9940765532842,45.9739572764634,3.03196617025246,39.6112872353373,38.1405869085311
1986,,51.0665107577083,45.9125698906092,3.02091935168248,36.6300915065063,31.0227413749456
1985,,51.204556281094,45.7896468805264,3.00579683837956,29.7004778191921,26.2094534564968
1984,,51.1917448261419,45.7884748984073,3.01978027545074,25.3971789700601,22.8619447766316
1983,,51.2111224501407,45.7587179427404,3.03015960711888,26.7596114614758,21.3102751460041
1982,,51.2739074204629,45.6897453476115,3.03634723192555,24.5142402769145,19.4065912058626
1981,,51.3951332328767,45.5680212966841,3.03684547043924,22.0590317857401,19.1456827340232
1980,,51.5889103549938,45.3811412920068,3.02994835299941,,
1979,,51.607394937075,45.3645097784208,3.0280952845042,,
1978,,51.6586368526198,45.3195844813512,3.02177866602895,,
1977,,51.7437004184508,45.2454558885204,3.01084369302879,,
1976,,51.8692465906823,45.1357391662771,2.99501424304057,,
1975,,52.0481801720257,44.9784355068325,2.97338432114181,,
1974,,52.0614682480503,44.9601384905302,2.97839326141947,,
1973,,52.1133511948634,44.9082525304836,2.978396274653,,
1972,,52.2112353283179,44.8159902014741,2.97277447020806,,
1971,,52.3658222503246,44.6734284998783,2.9607492497971,,
1970,,52.5909593877059,44.4675622564521,2.94147835584199,,
1969,,52.6179296160826,44.4353859181387,2.94668446577875,,
1968,,52.6820140658276,44.37166003255,2.94632590162241,,
1967,,52.7938872408279,44.2658955011027,2.94021725806938,,
1966,,52.9721673166724,44.0989047222754,2.92892796105224,,
1965,,53.2370752289587,43.8502743252989,2.91265044574249,,
1964,,53.2679007413112,43.8037731934915,2.92832606519727,,
1963,,53.3387279411221,43.7203688599292,2.94090319894869,,
1962,,53.456481951622,43.5943420720532,2.94917597632475,,
1961,,53.6315839418217,43.4172872423181,2.95112881586019,,
1960,,53.8803063346646,43.1746428496946,2.94505081564086,,
