date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,5.46190298965473,,,,,
2018,5.35290560392288,57.7572014724765,38.7439381447917,3.4988603827318,73.4465247789164,70.5709877285637
2017,5.37247934569749,57.5974391574188,38.9232381332795,3.47932270930166,73.943791212787,70.0937209089652
2016,4.88587081010029,57.4569478548647,39.0820426648764,3.46100948025886,74.4946266927142,70.8566460332289
2015,3.98047979248781,57.3369192278789,39.2216932753363,3.4413874967848,65.5512264976653,64.9432534759277
2014,3.42802790036146,57.1531346848071,39.4004950110093,3.44637030418367,64.9346821835622,63.8620703036971
2013,3.5846733935341,56.9747112230085,39.5724728100442,3.45281596694734,63.2731237563357,62.4030912553084
2012,3.15142300363689,56.8052628151287,39.7363776850263,3.45835949984502,61.7170430146538,62.1579119381889
2011,2.9020660097876,56.6515637563288,39.8881244451854,3.4603117984859,62.2401803199411,64.3198874444386
2010,2.91378076798726,56.5124148098658,40.032121651568,3.45546353856617,64.1133710653882,62.1423938965087
2009,2.81936271551028,56.2853211916917,40.2473620661736,3.46731674213466,66.2118220415735,64.9149380626103
2008,2.63983700044358,56.0728304932227,40.4528125773526,3.47435692942472,62.3113808648441,61.372152966204
2007,2.66821203718999,55.8685842762548,40.6563029574914,3.47511276625383,56.4736590905473,56.391884639973
2006,2.90772347662606,55.669872867189,40.8604724324903,3.46965470032073,58.0237859147295,57.0582227927434
2005,3.09138129861437,55.4778824118113,41.0644569534164,3.45766063477235,56.4799813387787,56.4991404917411
2004,3.24146944643944,55.1994289190441,41.3330740279136,3.46749705304229,55.9059504052778,56.4142516268639
2003,3.41422654136812,54.916834623814,41.6108193556984,3.47234602048756,54.2548756198644,54.3015689976732
2002,3.54673123129454,54.6444304823923,41.8837240544057,3.471845463202,52.2101261359667,52.5963597742665
2001,3.65962755304718,54.4033584568129,42.1307484773585,3.46589306582861,52.609644653717,52.2184627595544
2000,3.78083632729427,54.2090850894009,42.3369611846566,3.45395372594254,52.5559145691598,52.7796707458348
1999,3.94965092657681,53.8989443177482,42.6407726876735,3.46028299457824,52.5883669229554,52.9188235359617
1998,3.96029867423587,53.6269042701612,42.9072525639519,3.46584316588687,54.3914779528528,52.1698718331234
1997,3.79452459853383,53.3952276853965,43.1364295997449,3.46834271485861,52.5404955454528,46.7208492017183
1996,3.77880595990071,53.2049483354447,43.3295525979079,3.46549906664739,51.6728965101052,47.2134104611535
1995,3.50075793015356,53.0587373968497,43.486589930713,3.4546726724373,53.3702197874438,55.2695072590923
1994,3.41748695782371,52.8614721926413,43.6817357825056,3.45679202485315,53.2103125042634,49.7625232473997
1993,3.20345712297947,52.7027244749826,43.8431322159519,3.4541433090655,52.8525544727275,42.0537095520797
1992,2.9806744594128,52.5913062941072,43.9619037041132,3.44679000177956,55.072059952194,51.7743755059337
1991,2.85279495125269,52.5434314590475,44.020144066746,3.43642447420656,58.1354438131694,51.3537154765003
1990,,52.5726481526891,44.0033962376641,3.42395560964687,56.8737114543165,59.5231753035165
1989,,52.4749999425682,44.0960695023681,3.42893055506371,57.3746903393936,50.5896233650784
1988,,52.4296727028646,44.1346080728214,3.43571922431402,50.8737662056048,45.0906316114515
1987,,52.433707943635,44.1237518796877,3.4425401766773,45.1793037276413,40.7700646258181
1986,,52.4842434611188,44.0685885499678,3.44716798891342,40.3125985724516,36.0865096103791
1985,,52.5824055716145,43.9700341696066,3.44756025877891,34.2145324551193,31.0216898737059
1984,,52.5573533431104,43.9830821221151,3.45956453477457,26.9798303938086,23.8611551762301
1983,,52.5601296593128,43.9679027469397,3.47196759374759,,
1982,,52.5907268867968,43.9262262103729,3.4830469028304,,
1981,,52.6499362328178,43.8598568340726,3.49020693310955,,
1980,,52.7445485912246,43.7645281984535,3.49092321032197,,
1979,,52.6985857350787,43.7895896676777,3.51182459724365,,
1978,,52.6596708810524,43.8125381996296,3.5277909193181,,
1977,,52.6406989175443,43.8210828163591,3.53821826609667,,
1976,,52.6677710565862,43.7880843196539,3.54414462375997,,
1975,,52.7653795251807,43.6887015291814,3.54591894563791,,
1974,,52.7644046165857,43.6701461808593,3.56544920255499,,
1973,,52.7993004908496,43.6181869088824,3.58251260026806,,
1972,,52.8782574709911,43.5265076429071,3.59523488610176,,
1971,,53.0061680161744,43.3937485561054,3.60008342772021,,
1970,,53.1885484071099,43.2176958965392,3.5937556963509,,
1969,,53.2865702348912,43.0917678836328,3.62166188147605,,
1968,,53.4349382615135,42.9220078068379,3.64305393164858,,
1967,,53.6362411193915,42.706330475316,3.65742840529245,,
1966,,53.8940270095394,42.4405774365228,3.66539555393786,,
1965,,54.2159863018079,42.1170941577802,3.66691954041193,,
1964,,54.3816619125753,41.9139448873041,3.70439320012056,,
1963,,54.5756880920346,41.6886591047585,3.7356528032069,,
1962,,54.8013082476423,41.4389965234144,3.75969522894326,,
1961,,55.070891577157,41.1524218821759,3.77668654066703,,
1960,,55.4017010032431,40.8110256379999,3.78727335875697,,
