date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,4.38226977623361,,,,,
2018,4.36885035396888,57.5102192911601,38.9021881180137,3.58759259082614,79.1891512236597,81.7298975851802
2017,4.43309478116218,57.2473768958184,39.1918904979583,3.56073260622329,79.4011021290454,82.3828241141127
2016,4.48448227506788,56.9937172268109,39.4724368026526,3.53384597053647,78.258738536555,81.6763439687759
2015,4.52044361861935,56.7529362319877,39.7423958634092,3.50466790460306,78.481034186654,81.1623713286269
2014,4.5037184185081,56.4868269629303,40.0233642722474,3.48980876482229,76.9464397865068,79.5382784980117
2013,4.56088158470489,56.2291203276912,40.2968877869568,3.473991885352,76.7650443134391,77.4267330513574
2012,4.57901538135237,55.986308447859,40.557625883788,3.45606566835307,76.8556354248854,78.4245458037457
2011,4.60338401922423,55.7662956887741,40.7987961087695,3.43490820245645,78.0707407535356,79.0436291042007
2010,4.56644016138258,55.574716171862,41.0160978942248,3.40918593391329,77.9191534916803,77.9557483355546
2009,4.64251417883753,55.3674571604506,41.2322317223225,3.40031111722697,76.8486637197266,78.2683156497515
2008,4.41688970180319,55.1828504224293,41.4290780755555,3.38807150201523,73.396785442868,75.9753260720578
2007,4.38559478993377,55.0199990838875,41.6080650577412,3.37193585837133,73.5458287034486,75.7069657987673
2006,4.41977833856918,54.8770828819106,41.7709837966965,3.35193332139292,70.9646493357554,73.8249333947702
2005,4.63895925840119,54.7543532416177,41.9178471957422,3.32779956264013,70.1926421511082,72.1027425889583
2004,4.72780375584029,54.553730459508,42.1211739804763,3.32509556001573,67.4922997960548,70.858633478838
2003,4.81443687219501,54.3643359488959,42.3149406731715,3.32072337793261,64.6975762232026,66.1546164881006
2002,4.75378001826499,54.1880713784912,42.4985362790487,3.3133923424601,61.7449015972154,62.6860878546626
2001,4.6227772279408,54.0325762836493,42.6660914111406,3.30133230521006,60.4419464517323,61.2976994447957
2000,4.55972210631002,53.9079078440222,42.8092771610477,3.2828149949301,60.462427961479,60.6286887445807
1999,4.49231625193441,53.6826549528074,43.0395939873521,3.27775105984041,57.9936497348168,56.9460842336533
1998,4.33253833991244,53.4755500199195,43.2567668153926,3.26768316468785,57.9071753735018,57.7884940747634
1997,4.25286227869572,53.2958266224162,43.4513616766301,3.25281170095367,59.1141963166173,59.3845176475663
1996,4.22636720156301,53.1558656839581,43.6105723787568,3.23356193728509,59.5469645612275,59.3517607680857
1995,4.1496987899565,53.0661911651244,43.7242749395259,3.20953389534969,59.8545446276782,57.7295865560978
1994,4.12663929956513,52.8412771231736,43.9597051419008,3.19901773492564,60.2221472850803,58.4203309382362
1993,4.09719953390171,52.6558068134651,44.1565618593028,3.18763132723202,55.511268200035,54.9096826335092
1992,3.95962799511699,52.5099638854417,44.3163297695287,3.17370634502955,52.9093178771785,51.701914480519
1991,3.91126275566886,52.403136195973,44.4413548795121,3.15550892451491,52.7342776566677,52.4087688199314
1990,,52.3393311106694,44.5286682072463,3.13200068208432,56.9507446435725,58.5351489213306
1989,,52.205164843797,44.6650186120502,3.12981654415275,50.4822570538452,48.550510002513
1988,,52.1017406449462,44.7744470773492,3.12381227770462,38.7143341802056,36.7845268667548
1987,,52.0364931554486,44.8498210759691,3.1136857685823,31.4135412927662,31.5606654674991
1986,,52.0231206643332,44.8773589584202,3.0995203772466,28.540696142594,26.2424327537286
1985,,52.0782638895319,44.8403619374142,3.0813741730539,23.3616107714253,20.6256780490659
1984,,51.9905121307849,44.9117520810157,3.09773578819941,19.5038768552772,17.5536701874709
1983,,51.9371984140893,44.9528991806961,3.1099024052146,19.2122335631464,15.9629503037185
1982,,51.9251385184664,44.9581944065828,3.11666707495081,17.1891638084721,14.1984691898235
1981,,51.9636870649709,44.9200488281357,3.11626410689335,,13.5649955959821
1980,,52.0642945332049,44.8286682702986,3.10703719649655,,
1979,,52.0208273298834,44.8682114425916,3.11096122752493,,
1978,,52.0065481816682,44.8848145656214,3.10863725271039,,
1977,,52.0279853002683,44.8725496288911,3.09946507084063,,
1976,,52.0978953634795,44.8190767010415,3.08302793547902,,
1975,,52.2343193417967,44.7069485476676,3.05873211053571,,
1974,,52.2260494147733,44.7190357270336,3.05491485819314,,
1973,,52.2502070023519,44.7040566290979,3.04573636855021,,
1972,,52.3158642225245,44.6535664314901,3.03056934598536,,
1971,,52.4361231273456,44.5553156972243,3.00856117543014,,
1970,,52.6223745020433,44.3988694082341,2.97875608972259,,
1969,,52.6374428081893,44.3816348936546,2.98092229815616,,
1968,,52.7096569536282,44.3133703963721,2.97697264999963,,
1967,,52.8422701320103,44.191531158988,2.96619870900172,,
1966,,53.0453352618538,44.0056033024421,2.94906143570409,,
1965,,53.3336576151518,43.7404350340174,2.92590735083082,,
1964,,53.4267591994291,43.6336065174477,2.93963428312321,,
1963,,53.5703531771066,43.4794603393091,2.95018648358432,,
1962,,53.7677466293889,43.2761864166633,2.95606695394776,,
1961,,54.0206012497619,43.0244813133925,2.95491743684555,,
1960,,54.3369688689391,42.7181726364772,2.94485849458369,,
