date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,11.3819999694824,,,,,
2018,12.039999961853,69.3388675341431,24.4765586602319,6.18457380562499,99.0,99.0
2017,12.1000003814697,69.7134511301508,24.2478436298895,6.03870523995975,99.0,99.0
2016,12.4300003051758,70.0525811997687,24.0328498361237,5.91456896410762,99.0,99.0
2015,11.0600004196167,70.3118532200932,23.8804548960684,5.80769188383842,99.0,98.0
2014,10.5699996948242,70.6073056525482,23.7503325662418,5.64236178120995,99.0,99.0
2013,10.4399995803833,70.8198460026411,23.6819437723361,5.49821022502287,98.0,98.0
2012,12.6300001144409,70.9340078627079,23.6952024201045,5.37078971718752,98.0,99.0
2011,12.4499998092651,70.9335827714083,23.8115552206991,5.25486200789263,99.0,99.0
2010,13.5200004577637,70.8080712373719,24.044269692037,5.14765907059112,99.0,99.0
2009,11.9700002670288,70.6199219889926,24.3302059077623,5.04987210324515,99.0,99.0
2008,10.4799995422363,70.2812125644427,24.7509075215177,4.96787991403954,98.0,99.0
2007,10.6000003814697,69.7815963011909,25.3207871569208,4.89761654188828,97.0,99.0
2006,11.1999998092651,69.1268413357228,26.0419098583852,4.83124880589205,99.0,98.0
2005,12.1000003814697,68.3431120802171,26.8940249386965,4.76286298108634,94.0,95.0
2004,10.3000001907349,67.2483996345187,28.0409569185524,4.71064344692885,96.0,99.0
2003,11.5539999008179,65.9817241000381,29.3747107618876,4.64356513807434,99.0,99.0
2002,12.8000001907349,64.581132117871,30.8555546486312,4.5633132334978,99.0,99.0
2001,12.0729999542236,63.1207592360301,32.4042705040212,4.4749702599487,96.0,96.0
2000,11.451000213623,61.6561911104735,33.9632986127434,4.38051027678311,99.0,99.0
1999,10.8669996261597,60.1689328910348,35.5550480178664,4.27601909109876,99.0,99.0
1998,10.2119998931885,58.7391488967114,37.095083530196,4.16576757309263,99.0,99.0
1997,9.64299964904785,57.3771128728583,38.5717113156689,4.0511758114728,95.0,99.0
1996,9.10000038146973,56.0506346263869,40.0170736233388,3.93229175027434,99.0,99.0
1995,9.51599979400635,54.7296142628191,41.4626032491039,3.80778248807701,95.0,98.0
1994,9.95100021362305,53.7361166203069,42.5657825484323,3.69810083126076,97.0,95.0
1993,10.3800001144409,52.8527371449663,43.5547498312397,3.59251302379401,96.0,99.0
1992,10.7069997787476,52.1036427637322,44.4056561739914,3.4907010622764,96.0,97.0
1991,11.1000003814697,51.5281722644662,45.0809959820062,3.39083175352763,84.0,88.0
1990,,51.1569900105235,45.5522959789904,3.2907140104861,85.0,91.0
1989,,50.837212204742,45.9593185604692,3.20346923478881,79.0,82.0
1988,,50.7318786088512,46.1551322313547,3.11298915979413,83.0,88.0
1987,,50.8224397251994,46.156732471924,3.02082780287653,55.0,57.0
1986,,51.0890574967588,45.9734120336973,2.93753046954385,55.0,57.0
1985,,51.5191673693131,45.6073440140666,2.87348861662021,62.0,51.0
1984,,51.7994881818448,45.3406543706543,2.85985744750086,38.0,33.0
1983,,52.1634622601084,44.9617235089702,2.87481423092146,38.0,33.0
1982,,52.5809976566088,44.5121138584903,2.90688848490094,55.0,41.0
1981,,53.0141936152786,44.0465408053442,2.93926557937723,48.0,29.0
1980,,53.4377012762092,43.6007108467046,2.96158787708622,39.0,32.0
1979,,53.5547134034499,43.4256989198713,3.01958767667879,,
1978,,53.5878548881206,43.338498679326,3.07364643255344,,
1977,,53.5690483404541,43.3102965559479,3.12065510359798,,
1976,,53.5250752201913,43.3174924225471,3.15743235726157,,
1975,,53.4639379706036,43.3555601914978,3.18050183789853,,
1974,,53.2916598385521,43.4755622918946,3.23277786955337,,
1973,,53.1021503568904,43.6283822919825,3.26946735112709,,
1972,,52.9108690098721,43.79771877232,3.29141221780786,,
1971,,52.7322132188787,43.9652749743004,3.30251180682088,,
1970,,52.5856016858605,44.1086592747543,3.30573903938526,,
1969,,52.2842093859144,44.3553744285416,3.36041618554403,,
1968,,51.9861392392163,44.6059311191673,3.4079296416164,,
1967,,51.7400268860033,44.8110845810986,3.44888853289808,,
1966,,51.6356166061117,44.8782727288586,3.48611066502974,,
1965,,51.7364925078961,44.7418145546162,3.5216929374876,,
1964,,51.7483727485678,44.6284905376286,3.62313671380368,,
1963,,51.9611272816369,44.3094412231488,3.72943149521428,,
1962,,52.3434793378704,43.8200033244746,3.83651733765501,,
1961,,52.7981254046864,43.2677448576029,3.93412973771075,,
1960,,53.2541324624728,42.732321859665,4.01354567786225,,
