date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,4.92799997329712,,,,,,,
2018,5.73999977111816,,,64.7277787116415,21.4064195870662,13.8658017012923,92.0,94.0
2017,6.71199989318848,,,64.890068519016,21.6032763908872,13.5066550900967,92.0,95.0
2016,8.37399959564209,,,65.0970797390593,21.7553253677398,13.1475948932009,92.0,95.0
2015,9.9060001373291,,,65.3362278811587,21.8727007958215,12.7910713230197,93.0,95.0
2014,11.8570003509521,,,65.8827485862934,21.7098307183039,12.4074206954027,93.0,96.0
2013,13.7349996566772,,,66.4457117897345,21.5284972858387,12.0257909244268,93.0,96.0
2012,15.451000213623,,,67.0189735770902,21.3256895645543,11.6553368583555,92.0,95.0
2011,15.3529996871948,,,67.6057071227951,21.0808291250146,11.3134637521904,92.0,95.0
2010,14.5329999923706,,,68.2043272751306,20.7857768479648,11.0098958769046,90.0,94.0
2009,12.6090002059937,,,68.4788732018326,20.6716940596844,10.849432738483,90.0,94.0
2008,6.77400016784668,,,68.7417570074495,20.5237380068988,10.7345049856518,89.0,93.0
2007,4.98000001907349,,,68.9741414374049,20.3727662018651,10.6530923607301,87.0,92.0
2006,4.41499996185303,,,69.1575921560489,20.2584347506266,10.5839730933246,86.0,91.0
2005,4.34200000762939,,,69.2873820125118,20.1993469079062,10.513271079582,84.0,90.0
2004,4.49100017547607,,,69.2272302760138,20.2784780182005,10.4942917057857,81.0,89.0
2003,4.47800016403198,,,69.077801529418,20.439107192928,10.483091277654,78.0,86.0
2002,4.21500015258789,,,68.8297435157336,20.688828397558,10.4814280867083,73.0,83.0
2001,3.68300008773804,,,68.4739520774963,21.0320789017879,10.4939690207158,73.0,84.0
2000,4.31799983978271,,,68.012369739867,21.4640468419707,10.5235834181623,79.0,86.0
1999,5.80399990081787,,,67.5503849959319,21.8881952089633,10.5614197951048,77.0,86.0
1998,7.69899988174438,,,66.9649459477268,22.4187249970782,10.616329055195,77.0,84.0
1997,10.2030000686646,,,66.2829462714757,23.0312486990208,10.6858050295035,77.0,76.0
1996,11.7170000076294,,,65.5546226821942,23.6774862479456,10.7678910698602,77.0,74.0
1995,11.9829998016357,,,64.810703009254,24.3311175980308,10.8581793927152,77.0,73.0
1994,14.5699996948242,,,64.08930489317,24.9871913881284,10.9235037187016,78.0,71.0
1993,15.5869998931885,,,63.3808213354023,25.6176395875759,11.0015390770218,78.0,70.0
1992,15.0299997329712,,,62.6899193819119,26.2305824066895,11.0794982113986,78.0,68.0
1991,15.7749996185303,,,61.9885095701465,26.8792481472321,11.1322422826214,78.0,67.0
1990,,,,61.2527610559731,27.6073411689645,11.1398977750624,78.0,65.0
1989,,,,60.7388647846044,28.152119991372,11.1090152240236,78.0,65.0
1988,,,,60.2530903127256,28.7116424675807,11.0352672196937,68.0,43.0
1987,,,,59.8332170970821,29.2332844496375,10.9334984532804,66.0,44.0
1986,,,,59.5290610740122,29.6399294510158,10.831009474972,65.0,44.0
1985,,,,59.3506540483438,29.9067582004905,10.7425877511657,63.0,45.0
1984,,,,59.0866735457464,30.1731584408309,10.7401680134228,10.0,45.0
1983,,,,58.9452150306168,30.2997190941808,10.7550658752024,10.0,42.0
1982,,,,58.8910546281675,30.3352321191875,10.7737132526451,,43.0
1981,,,,58.8547751648296,30.3783323173636,10.7668925178067,,36.0
1980,,,,58.7902938941537,30.4962898359586,10.7134162698877,,34.0
1979,,,,58.6327668570215,30.6130900462447,10.7541430967338,,
1978,,,,58.4821749756615,30.7678040022938,10.7500210220448,,
1977,,,,58.3614060580344,30.9210526315789,10.7175413103867,,
1976,,,,58.3344749699439,30.9737872919387,10.6917377381174,,
1975,,,,58.4391822454335,30.8644781166246,10.6963396379419,,
1974,,,,58.3991214706809,30.8362688953168,10.7646096340023,,
1973,,,,58.4160070183788,30.7141075147339,10.8698854668873,,
1972,,,,58.4472266810779,30.5564317011578,10.9963416177643,,
1971,,,,58.4098709005981,30.4829882802416,11.1071408191603,,
1970,,,,58.2509547276684,30.5753534306072,11.1736918417244,,
1969,,,,58.2635717469393,30.4942022324633,11.2422260205973,,
1968,,,,58.1998212342527,30.5252476031442,11.2749311626031,,
1967,,,,58.0936196465153,30.6301726388244,11.2762077146602,,
1966,,,,58.0076354243615,30.7322655592409,11.2600990163976,,
1965,,,,57.9792113045172,30.783772776371,11.2370159191118,,
1964,,,,57.9138432784871,30.8107746751326,11.2753820463804,,
1963,,,,57.8637461873265,30.8452068839462,11.2910469287273,,
1962,,,,57.8335853291859,30.8799609221401,11.2864537486741,,
1961,,,,57.8244244012349,30.9054839268418,11.2700916719233,,
1960,,,,57.8217286899714,30.9296026326603,11.2486686773684,,
