date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,9.88700008392334,,,,,,,
2018,10.6099996566772,,99.15576,63.9192043068525,13.3291160906398,22.7516796025077,93.0,95.0
2017,11.2110004425049,,,64.0252405238968,13.4750705252017,22.4996889509015,92.0,95.0
2016,11.6879997253418,,,64.160474265558,13.6046648487564,22.2348608856856,87.0,94.0
2015,11.8959999084473,,,64.3359820070799,13.7153723233859,21.9486456695341,85.0,93.0
2014,12.6829996109009,,,64.5244929532747,13.8401681718905,21.6353388748348,87.0,95.0
2013,12.1490001678467,,,64.7592901271348,13.9414158931092,21.299293979756,90.0,96.0
2012,10.6549997329712,,,65.0201886386071,14.017652226754,20.962159134639,90.0,97.0
2011,8.35900020599365,,98.84828,65.2711916526445,14.0650360143191,20.6637723330363,90.0,96.0
2010,8.36299991607666,,,65.4943700259463,14.0787909980086,20.4268389760451,91.0,96.0
2009,7.74900007247925,,,65.6540286986222,14.1243967896457,20.2215745117322,90.0,96.0
2008,6.72300004959106,,,65.7580077454458,14.1584375399733,20.0835547145809,90.0,96.0
2007,6.07499980926514,,,65.8446509226949,14.1793622069066,19.9759868703986,90.0,97.0
2006,6.77699995040894,,,65.9720758307721,14.1823736994069,19.845550469821,88.0,96.0
2005,7.73099994659424,,,66.1733373012215,14.1668965291937,19.6597661695848,87.0,95.0
2004,7.86600017547607,,,66.3798967164318,14.1788636046426,19.4412396789255,86.0,94.0
2003,8.86600017547607,,,66.6360349873433,14.1850368146472,19.1789281980095,84.0,96.0
2002,9.20699977874756,,,66.9170590403686,14.1997574468519,18.8831835127795,81.0,93.0
2001,9.59500026702881,,98.41662,67.178073403485,14.2423983537133,18.5795282428017,77.0,93.0
2000,10.8420000076294,,,67.3910146828369,14.3243235424824,18.2846617746808,74.0,87.0
1999,11.6899995803833,,,67.6711593297556,14.405002136416,17.9238385338284,70.0,95.0
1998,12.1190004348755,,,67.8990147817977,14.5204850803873,17.5805001378149,55.0,95.0
1997,11.9989995956421,,,68.0910412760941,14.6613573402334,17.2476013836725,57.0,95.0
1996,11.8739995956421,,,68.2673642310181,14.8210508238599,16.911584945122,55.0,96.0
1995,11.668999671936,,,68.4379819026722,15.0001763026563,16.5618417946715,50.0,95.0
1994,11.0930004119873,,,68.5287263449368,15.2272720599164,16.2440015951468,50.0,95.0
1993,10.2399997711182,,,68.5961772565579,15.4802334146357,15.9235893288064,50.0,95.0
1992,9.32800006866455,,,68.6381012641703,15.7684779918757,15.593420743954,50.0,95.0
1991,10.1020002365112,,,68.655418685848,16.1006390244498,15.2439422897022,50.0,95.0
1990,,,,68.6549501723419,16.4745725003662,14.8704773272919,43.0,83.0
1989,,,,68.5467105923836,16.9421878663451,14.5111015412712,,
1988,,,,68.419356681359,17.4631888918663,14.1174544267747,,
1987,,,,68.2569144425491,18.0201895739037,13.7228959835472,,
1986,,,,68.0298345861748,18.5836565048487,13.3865089089765,,
1985,,,,67.7197289049078,19.1342277312726,13.1460433638197,,
1984,,,,67.171473497848,19.7275943464041,13.1009321557479,,
1983,,,,66.5284436071638,20.2969172108479,13.1746391819883,,
1982,,,,65.8457519793101,20.8466511782366,13.3075968424533,,
1981,,,96.46054,65.2050107424983,21.4016258742205,13.3933633832812,,
1980,,,,64.6666352791405,21.9750985943067,13.3582661265528,,
1979,,,,64.2302711080921,22.506695743844,13.263033148064,,
1978,,,,63.9157962171164,23.0319801676691,13.0522236152146,,
1977,,,,63.7238166814515,23.5153003305253,12.7608829880232,,
1976,,,,63.6443822311358,23.8975593556234,12.4580584132408,,
1975,,,,63.6638436527351,24.1499111811314,12.1862451661336,,
1974,,,,63.667346254837,24.3798741266798,11.9527796184832,,
1973,,,,63.7543893189134,24.5027479970106,11.7428626840759,,
1972,,,,63.9009666663663,24.5517086362177,11.547324697416,,
1971,,,,64.0652929582459,24.5877711232192,11.3469359185349,,
1970,,,,64.2199142513377,24.6509774880006,11.1291082606617,,
1969,,,,64.4471586668564,24.6359894566362,10.9168518765074,,
1968,,,,64.6608550663485,24.6218116223912,10.7173333112603,,
1967,,,,64.8581882468283,24.6113547774782,10.5304569756935,,
1966,,,,65.0465762913733,24.5993364085196,10.3540873001071,,
1965,,,,65.2390141373022,24.5765366377708,10.1844492249269,,
1964,,,,65.3239211704837,24.6276014866315,10.0484773428848,,
1963,,,,65.3426643114078,24.7411550226564,9.91618066593579,,
1962,,,,65.3226112294277,24.8931953770026,9.78419339356964,,
1961,,,,65.3307812496129,25.0159973077692,9.65322144261792,,
1960,,,,65.4051550272152,25.0734210985439,9.52142387424084,,
