date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,2.29099988937378,,,,,,,
2018,2.40000009536743,,,59.7267812806245,12.6968488090205,27.576369910355,97.0,99.0
2017,2.79999995231628,,,60.0761301376108,12.8143904375377,27.1094794248515,97.0,99.0
2016,3.09999990463257,,,60.4938234789163,12.9143600079412,26.5918165131425,96.0,99.0
2015,3.40000009536743,,,60.9912848236834,12.9893829152797,26.0193322610369,96.0,96.0
2014,3.59999990463257,,,61.5688116965961,13.0814785354786,25.3497097679254,98.0,96.0
2013,4.0,,,62.2084890919512,13.1659120021756,24.6255989058732,95.0,96.0
2012,4.30000019073486,,,62.8795791700886,13.2424849017787,23.8779359281327,96.0,97.0
2011,4.52099990844727,,,63.5357234200291,13.3060246827669,23.158251897204,94.0,97.0
2010,5.09999990463257,3.4,,64.1471468940669,13.3547819838026,22.4980711221305,94.0,97.0
2009,5.09999990463257,,,64.7316507776283,13.4392404806001,21.8291087417716,94.0,97.0
2008,4.0,,,65.2515796688881,13.5125229185937,21.2358974125183,95.0,98.0
2007,3.90000009536743,,,65.7156229412229,13.5867645614147,20.6976124973624,96.0,98.0
2006,4.09999990463257,,,66.1353035826196,13.6870127683156,20.1776836490648,97.0,98.0
2005,4.40000009536743,,,66.5177671238799,13.8298808950159,19.6523519811041,98.0,98.0
2004,4.69999980926514,,,66.924610384239,13.9778585248322,19.0975310909288,98.0,99.0
2003,5.30000019073486,,,67.2817783440195,14.1592890154812,18.5589326404993,98.0,97.0
2002,5.40000009536743,,,67.6030605815899,14.3664577374547,18.0304816809554,98.0,96.0
2001,5.0,,,67.9135661018633,14.5791816685661,17.5072522295706,98.0,95.0
2000,4.69999980926514,,,68.2316773916136,14.7838769769252,16.9844456314612,96.0,85.0
1999,4.69999980926514,,,68.5150590134448,15.038927220482,16.4460137660732,95.0,80.0
1998,4.09999990463257,,,68.7864813256064,15.3056487908653,15.9078698835283,95.0,75.0
1997,3.40000009536743,,,69.04267760382,15.5880598935457,15.3692625026343,94.0,70.0
1996,3.40000009536743,,,69.2709152311516,15.897104526643,14.8319802422054,94.0,99.0
1995,3.20000004768372,,,69.4562955181654,16.2464933858046,14.29721109603,93.0,74.0
1994,2.90000009536743,,,69.5928714312201,16.6274547615553,13.7796738072246,81.0,80.0
1993,2.5,,,69.7097381155993,17.0188390881744,13.2714227962264,68.0,85.0
1992,2.20000004768372,,,69.7839877935676,17.4380713541965,12.7779408522358,69.0,87.0
1991,2.09999990463257,,,69.7714816929306,17.9207146876086,12.3078036194607,71.0,92.0
1990,,,,69.6564835343476,18.475086671051,11.8684297946014,73.0,90.0
1989,,,,69.4676560706995,19.0850656609478,11.4472782683527,77.0,87.0
1988,,,,69.1483918532941,19.7883453484432,11.0632627982628,76.0,86.0
1987,,,,68.7647700290341,20.5210123349035,10.7142176360625,75.0,85.0
1986,,,,68.4401937204396,21.1615409814765,10.3982652980839,74.0,84.0
1985,,,,68.2464544293213,21.6427538556865,10.1107917149922,73.0,83.0
1984,,,,67.9816882462181,22.1728407860808,9.84547096770105,73.0,82.0
1983,,,,67.83918020279,22.5481599588985,9.61265983831153,70.0,80.0
1982,,,,67.7804017800222,22.8225592104026,9.39703900957525,66.0,81.0
1981,,,,67.6936728903842,23.1356268144885,9.17070029512728,68.0,75.0
1980,,,,67.5013448830024,23.5844140918954,8.91424102510216,69.0,60.0
1979,,,,67.5007073831635,23.8183056010953,8.68098701574116,,
1978,,,,67.4771741412703,24.0948741012743,8.42795175745544,,
1977,,,,67.4746702524176,24.3589150059021,8.1664147416804,,
1976,,,,67.5920652883605,24.4880393281476,7.91989538349195,,
1975,,,,67.8909443494167,24.4074025045369,7.70165314604646,,
1974,,,,68.0859567362848,24.3955692696292,7.51847399408602,,
1973,,,,68.3723896477293,24.272703531296,7.35490682097462,,
1972,,,,68.6861195587424,24.1118993941127,7.20198104714484,,
1971,,,,68.9197994988175,24.0350881297596,7.04511237142291,,
1970,,,,69.0106527111301,24.1139737097714,6.87537357909855,,
1969,,,,69.0341373947321,24.2264807535864,6.73938185168156,,
1968,,,,68.9253089907706,24.4767035918734,6.59798741735599,,
1967,,,,68.6884579918939,24.8589729031252,6.45256910498096,,
1966,,,,68.3559277826517,25.3362479597463,6.30782425760198,,
1965,,,,67.9673343430001,25.865646980291,6.16701867670892,,
1964,,,,67.3141533565794,26.6305075481979,6.05533909522262,,
1963,,,,66.5337589318928,27.5208035271587,5.94543754094848,,
1962,,,,65.6849481561228,28.4783588315277,5.83669301234953,,
1961,,,,64.8618412960503,29.4090360511151,5.72912265283459,,
1960,,,,64.1153029057328,30.2638998185348,5.62079727573234,,
