date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,14.7150001525879,,,,,
2018,14.9589996337891,61.9080193928583,34.2454902091433,3.84649039799834,92.0,96.0
2017,15.1149997711182,61.303517744971,34.8862228834041,3.81025937162491,93.0,99.0
2016,15.2749996185303,60.7565965682836,35.46191730078,3.78148613093642,96.0,98.0
2015,13.0749998092651,60.2676393381589,35.9767335827962,3.75562707904485,94.0,99.0
2014,11.8999996185303,59.8232077129417,36.4659347618319,3.71085752522641,98.0,98.0
2013,12.6000003814697,59.4926413164576,36.828621444602,3.67873723894038,97.0,98.0
2012,12.1999998092651,59.2399445139545,37.1040679795529,3.65598750649261,98.0,98.0
2011,12.8999996185303,59.0388871184414,37.320689989072,3.64042289248668,98.0,98.0
2010,12.5,58.8918409720033,37.4775787887389,3.63058023925782,98.0,98.0
2009,12.8999996185303,58.8015975024879,37.6231710395372,3.57523145797489,95.0,98.0
2008,12.6999998092651,58.7084864770384,37.7735729457187,3.51794057724284,95.0,97.0
2007,13.1000003814697,58.6059456970751,37.9345608829661,3.45949341995882,95.0,98.0
2006,14.0,58.4982658882357,38.099453562857,3.40228054890729,99.0,98.0
2005,14.8000001907349,58.4081371782987,38.2431943749474,3.34866844675391,95.0,95.0
2004,14.6639995574951,58.2513596179665,38.4549851225144,3.29365525951912,99.0,95.0
2003,14.5,58.0412327499112,38.7242617357652,3.23450551432362,96.0,97.0
2002,15.3000001907349,57.8155624083922,39.0103368007483,3.17410079085947,95.0,95.0
2001,14.6999998092651,57.5803820187161,39.3050591336268,3.11455884765712,99.0,99.0
2000,13.6999998092651,57.3295854186624,39.613797422466,3.05661715887167,94.0,91.0
1999,13.7349996566772,57.0990639064407,39.8756936436978,3.0252424498615,83.0,85.0
1998,13.6639995574951,56.8344904656678,40.1691553861013,2.99635414823093,93.0,99.0
1997,13.6759996414185,56.5650780306901,40.465678231864,2.96924373744597,95.0,99.0
1996,13.6999998092651,56.3643839425429,40.6918954187051,2.94372063875201,94.0,96.0
1995,14.6000003814697,56.2791535905674,40.8011779875668,2.91966842186582,92.0,95.0
1994,17.0690002441406,55.2501281641699,41.8165278608839,2.93334397494626,91.0,94.0
1993,19.7000007629395,54.2710020456712,42.7559796313508,2.97301832297804,88.0,91.0
1992,19.4790000915527,53.3107053573045,43.6538759354718,3.03541870722372,91.0,92.0
1991,19.367000579834,52.2623079508661,44.6252302887704,3.11246176036353,85.0,92.0
1990,,51.0343841228978,45.7698078179641,3.19580805913811,87.0,92.0
1989,,50.7543545345701,45.9939164482413,3.25172901718868,84.0,94.0
1988,,50.4002385340596,46.2909919000368,3.30876956590363,87.0,93.0
1987,,49.9845136784133,46.6470996195154,3.36838670207127,87.0,90.0
1986,,49.603007860912,46.9580628654074,3.43892927368065,81.0,88.0
1985,,49.3443386646226,47.126755444477,3.52890589090046,73.0,85.0
1984,,48.9625468178245,47.5740205562078,3.46343262596774,65.0,81.0
1983,,48.6544012475795,47.9426056547602,3.4029930976603,56.0,76.0
1982,,48.4184723120505,48.2410219642103,3.34050572373918,48.0,75.0
1981,,48.1712400709653,48.5617276713105,3.26703225772425,40.0,81.0
1980,,47.8370644177132,48.9790769114317,3.18385867085507,29.0,30.0
1979,,47.9001112403077,48.9274558620863,3.17243289760595,,
1978,,48.0154767123202,48.83578357447,3.14873971320985,,
1977,,48.2641487443808,48.6215467547169,3.11430450090233,,
1976,,48.7728313190591,48.1524882487589,3.07468043218192,,
1975,,49.6275980643909,47.3374241800115,3.03497775559765,,
1974,,49.6198452485014,47.3060936826822,3.07406106881635,,
1973,,49.7470799746669,47.1354035685948,3.11751645673826,,
1972,,50.0024682380231,46.8345776260858,3.1629541358911,,
1971,,50.3439676052492,46.4485054571624,3.20752693758837,,
1970,,50.7367879241723,46.013792879082,3.24941919674576,,
1969,,50.6052819661833,46.1084511953546,3.28626683846205,,
1968,,50.5957019337232,46.053795487557,3.35050257871978,,
1967,,50.6765056947146,45.8814298497895,3.44206445549595,,
1966,,50.8556803060939,45.5815106127403,3.56280908116572,,
1965,,51.1960572798708,45.0869371833477,3.71700553678151,,
1964,,51.4780945918855,44.6955231272888,3.82638228082573,,
1963,,51.6603774662854,44.404801692609,3.93482084110557,,
1962,,51.7962555087873,44.1593496514152,4.04439483979744,,
1961,,51.9587510318402,43.8850375979992,4.15621137016062,,
1960,,52.1969731069058,43.5388628467199,4.26416404637435,,
