date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,2.64199995994568,,,,,
2018,2.63499999046326,57.8786464540153,39.7821669340692,2.33918661191556,89.0,92.0
2017,2.6949999332428,57.3938820427461,40.3500123513719,2.25610560588208,89.0,82.0
2016,2.75699996948242,56.9216999411272,40.9019501816192,2.17634987725358,96.0,89.0
2015,2.79399991035461,56.4557151693827,41.4432448111814,2.10104001943593,96.0,89.0
2014,2.82399988174438,56.0138783562461,41.932273955566,2.05384768818795,95.0,92.0
2013,2.86700010299683,55.5814203876755,42.405707506776,2.01287210554855,94.0,87.0
2012,2.85400009155273,55.1783625759348,42.843300908339,1.97833651572621,93.0,94.0
2011,2.84400010108948,54.8499761708863,43.1987369388596,1.95128689025411,87.0,96.0
2010,2.84200000762939,54.6263043687425,43.4413498369619,1.93234579429558,86.0,90.0
2009,2.79299998283386,54.4033229644315,43.6453175450112,1.95135949055728,88.0,88.0
2008,2.59899997711182,54.2713794520559,43.7471585041217,1.98146204382235,90.0,88.0
2007,2.62700009346008,54.1913627089512,43.7901921596927,2.01844513135609,80.0,81.0
2006,2.71300005912781,54.0815829187432,43.8645369723042,2.0538801089526,77.0,80.0
2005,2.81500005722046,53.8921463119553,44.026971271863,2.08088241618167,69.0,76.0
2004,2.86500000953674,53.6536231196334,44.2078299334387,2.13854694692795,73.0,73.0
2003,2.90400004386902,53.3302599840669,44.4848274502398,2.18491256569327,72.0,73.0
2002,2.90000009536743,52.963736179638,44.8158982267551,2.2203655936069,78.0,84.0
2001,2.85800004005432,52.6548983998205,45.0960200269333,2.24908157324625,77.0,80.0
2000,2.85999989509583,52.4781744980855,45.2481102741389,2.27371522777556,78.0,82.0
1999,2.87599992752075,52.0911752196398,45.5971150229573,2.31170975740284,76.0,82.0
1998,2.83800005912781,51.7747019486099,45.8830912083137,2.34220684307638,90.0,81.0
1997,2.84200000762939,51.5043501150187,46.1311575579524,2.36449232702895,79.0,79.0
1996,2.85199999809265,51.206261358429,46.4164352089167,2.37730343265423,81.0,87.0
1995,2.84100008010864,50.825365733641,46.7951724513452,2.37946181501378,83.0,94.0
1994,2.83699989318848,50.3089236186339,47.2910107499623,2.40006563140375,84.0,92.0
1993,2.82399988174438,49.7695113936922,47.8103486748043,2.42013993150347,84.0,89.0
1992,2.74900007247925,49.2398546667984,48.3200438694061,2.44010146379554,84.0,87.0
1991,2.71099996566772,48.7736801966813,48.7657810715675,2.46053873175122,81.0,86.0
1990,,48.407678804332,49.1108567195228,2.48146447614518,78.0,84.0
1989,,48.040395913825,49.4511118595033,2.50849222667169,75.0,83.0
1988,,47.7400996565988,49.7195995824801,2.54030076092112,72.0,82.0
1987,,47.5060929434847,49.9185721223423,2.57533493417301,69.0,77.0
1986,,47.3423668060609,50.0461775841603,2.61145560977881,65.0,72.0
1985,,47.258835715482,50.0943272209509,2.64683706356712,63.0,70.0
1984,,47.1142825805373,50.1945744369699,2.69114298249279,55.0,58.0
1983,,47.0327984396065,50.2301109481617,2.73709061223179,,
1982,,47.0053944655731,50.2114079319471,2.78319760247979,,
1981,,47.0124841507287,50.1598288688924,2.8276869803789,,
1980,,47.0435543899485,50.087746403969,2.8686992060825,,
1979,,47.0144341836471,50.0578689050915,2.92769691126143,,
1978,,46.9939443778233,50.0214069052166,2.9846487169602,,
1977,,46.9932966228997,49.9679962073627,3.0387071697376,,
1976,,47.0378922413692,49.872686115462,3.08942164316883,,
1975,,47.1498147416596,49.7142179892658,3.13596726907454,,
1974,,47.1621104014952,49.6404964893093,3.19739310919552,,
1973,,47.2106645317753,49.5347000669878,3.25463540123692,,
1972,,47.2923006852917,49.4012794922604,3.30641982244789,,
1971,,47.3959211983081,49.2526539633407,3.35142483835121,,
1970,,47.5202882051542,49.0914483646885,3.38826343015738,,
1969,,47.5311014213144,49.0258851995866,3.44301337909891,,
1968,,47.5450986508973,48.9633671837686,3.49153416533411,,
1967,,47.5903751644912,48.8761693522185,3.53345548329037,,
1966,,47.7166697592759,48.7147366416538,3.56859359907035,,
1965,,47.964008628175,48.4397292682935,3.59626210353159,,
1964,,48.1159297090264,48.2448291670154,3.63924112395817,,
1963,,48.364021727699,47.9597213913944,3.67625688090657,,
1962,,48.7190891742823,47.5743814828037,3.70652934291398,,
1961,,49.1838328819761,47.0873614893641,3.72880562865972,,
1960,,49.7576009103359,46.5008965428912,3.74150254677294,,
