date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,5.06516855518965,,,,,,,
2018,5.05945590124645,,96.1515,70.2609934017877,19.0157536118667,10.7232529863456,96.6722702283315,95.3588391565359
2017,5.26060647699278,,96.00959,70.6618555753484,19.0835576210465,10.2545868036051,97.353085609072,96.98388714452
2016,5.27411043425305,,95.86127,71.0383102082367,19.1480409233207,9.8136488684426,97.8366902588075,96.9095544148021
2015,5.10176747751594,,95.67817,71.3628541441111,19.2123390458902,9.42480680999872,97.9169856005027,97.9185363410913
2014,4.95334863533287,,95.53109,71.5877778725274,19.2948019906807,9.11742013679186,98.009470770477,97.3850388470303
2013,5.03901544974372,,95.36598,71.7368278483868,19.3951786246899,8.8679935269233,98.1959275629942,96.0320206017511
2012,5.05268645358574,,95.30169,71.815198161036,19.5186841382381,8.66611770072586,98.1408813349537,97.7259120467889
2011,5.10520649367696,,95.13004,71.8419486714416,19.665134424469,8.4929169040895,98.0099268381127,97.8490874331256
2010,5.19527798144264,,94.61558,71.8285876976348,19.8369552217435,8.33445708062165,98.131418261708,97.7794835226929
2009,5.48643357803272,,94.59371,71.7051639683112,20.0709492811247,8.22388675056411,98.012359109856,98.0766884904519
2008,5.05760955803176,,94.31301,71.5386531698955,20.3195267494253,8.14182008067925,96.8142151263372,96.8024402531593
2007,5.02712426013047,,94.08961,71.3062984181359,20.6189284845898,8.0747730972743,94.4372054169739,94.2748242174961
2006,5.29639650711031,,93.09925,70.9653174086876,21.0361428817041,7.99853970960829,94.3154618078943,94.3822608290809
2005,5.55372555311141,,92.87304,70.5115573001163,21.5928311343889,7.89561156549477,90.3238458888108,90.8862537762331
2004,5.62161910518241,,92.54826,69.9461224693039,22.2584974630975,7.79538006759863,90.0021445292467,90.3903424085715
2003,5.79762837992608,,92.11989,69.2449791675952,23.0949862702972,7.66003456210765,88.9537905388063,89.9201630304401
2002,5.56462119898653,,91.72359,68.4951618990689,24.0041658214449,7.50067227948625,89.0421746542888,88.5129727287122
2001,5.3586411676445,,91.40297,67.8590193256582,24.7974242177212,7.34355645662065,89.1103340100209,89.1111033172916
2000,5.18007286351597,,91.18588,67.4287549655066,25.3689582444719,7.20228679002148,88.3785950512918,88.5472152328677
1999,5.33455070083234,,90.78952,66.9078075390186,26.0126750307739,7.07951743020745,87.8000129129039,87.6668581905419
1998,5.11147429670558,,90.48052,66.5793686444532,26.4473276934,6.9733036621468,86.6822509447371,86.6725814003513
1997,4.83898672359036,,90.13376,66.3721470341916,26.7537599855929,6.87409298021551,86.95969867745,85.3293370069858
1996,4.58179378795093,,85.27111,66.0966803202427,27.1453608302406,6.75795884951667,85.6849931540391,84.6497042818147
1995,4.40300459839926,,84.82749,65.6171136297431,27.7755403690639,6.60734600119295,84.071737395665,83.0897339022726
1994,4.25113895271632,,84.40255,65.4016977411788,28.1016321624629,6.49667009635831,79.2835448954424,85.1879441939412
1993,3.87030640361716,,83.99336,65.1221540451057,28.5120461612718,6.36579979362246,83.4762432718346,86.3029099014938
1992,3.6056971256249,,83.55749,64.8214252241392,28.9507779068839,6.2277968689769,86.3975856492882,87.2914353718764
1991,3.60930498706185,,83.11192,64.6131690220254,29.2889048936953,6.0979260842793,90.1415478124692,91.6857035856405
1990,,,82.022,64.5803957438283,29.4203417525958,5.99926250357596,93.6686199809746,92.8056566494698
