date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,8.12651687393868,,,,,
2018,8.00167825941299,66.9923932114571,24.7649039681473,8.24270282039559,88.7834262247434,84.6434611734584
2017,8.14643469937748,66.8717243375742,25.1289771923739,7.99929847005197,86.4161700914794,85.6084615316435
2016,7.86214000522865,66.7286371316902,25.5020899572126,7.76927291109717,92.3463651402942,89.2651965356981
2015,6.70598050991361,66.5688224129356,25.8757397264,7.55543786066445,92.920640913299,89.9119654641497
2014,6.11814282493354,66.3778647648103,26.2691826694137,7.35295256577606,92.6488370153357,88.5022966239899
2013,6.31042374208445,66.1625463053854,26.667062588289,7.17039110632559,91.6637554053388,89.5976570644577
2012,6.3722488594624,65.9221885930972,27.0738656497145,7.00394575718831,95.3474365888654,93.3211750605367
2011,6.43389446795371,65.6536454119737,27.4988346746874,6.84751991333888,94.5878196342365,92.863070901802
2010,6.88461603461421,65.3558513850318,27.9479733559776,6.69617525899057,93.4336607505979,93.2944010451301
2009,7.36160313439798,65.0430344221935,28.4001612400789,6.55680433772756,94.1290192827176,93.7674371855934
2008,6.40315886421439,64.7110762238885,28.861993834934,6.42692994117753,95.1024643627047,92.0900997042085
2007,6.81588706435242,64.3691695960608,29.3265734807418,6.30425692319746,93.9119564128456,92.7999301631999
2006,7.18492664719612,64.0280731647541,29.7867199270449,6.18520690820101,94.4310753217091,93.4580578185527
2005,7.86618553592998,63.6939344571665,30.2393216901057,6.06674385272775,92.8682539931867,93.6451851143158
2004,8.32665608714804,63.3600711554786,30.6878873792725,5.95204146524894,93.1638481472097,93.2156885373955
2003,8.86774550129283,63.026819526002,31.1342869528544,5.83889352114366,93.9162534830807,92.4695131386335
2002,9.02814851063704,62.6916178551372,31.5811332767337,5.72724886812912,93.483411438271,91.1296260875611
2001,8.65773729108052,62.3514816972241,32.0299109250432,5.6186073777327,94.7198307892263,89.8018865423621
2000,9.11694695630743,62.0061984703595,32.4804138064419,5.5133877231986,93.4659899496747,90.5982675443042
1999,9.13123663464199,61.6406609457216,32.9349318481175,5.42440720616086,92.1053498971476,88.4044886303765
1998,8.3217066970883,61.2699541622839,33.3892782786993,5.34076755901691,90.6516290177229,85.524576517049
1997,7.90735727909415,60.8982678313604,33.8422808378021,5.25945133083748,88.4247165659374,82.4924681517442
1996,8.02846149071247,60.5345738673905,34.2893234601261,5.17610267248341,83.7957149785995,81.2589852612153
1995,7.81046670511907,60.1861798532162,34.7265114450478,5.087308701736,85.9397124771529,82.7812065278388
1994,6.56237788785427,59.8469225850535,35.141559559087,5.01151785585947,82.0690873342294,79.6310436551113
1993,6.06161538414146,59.5255275774905,35.5428152992972,4.93165712321221,81.735329587065,78.2267985283859
1992,6.02915015755988,59.2211651414668,35.9303453454507,4.84848951308251,82.5330832568948,76.8905641312682
1991,6.0869080077609,58.9278125648483,36.3073796573572,4.76480777779454,79.9762679211449,77.3423587751526
1990,,58.6379318400792,36.6796379730536,4.68243018686722,75.2997832504104,66.9791524030681
1989,,58.3404224696151,37.0403692844901,4.61920824589476,68.9462269048387,62.964233831879
1988,,58.0570412680559,37.3825836731147,4.56037505882937,64.9646219488974,61.2875858828625
1987,,57.7857543348305,37.7092911899253,4.50495447524427,59.1752641552211,57.6989155757581
1986,,57.5234022929229,38.0251651683182,4.4514325387589,60.1941230254479,55.040987098154
1985,,57.2695674529293,38.3319371662137,4.39849538085698,59.089535507324,54.1312931504279
1984,,56.9750195727061,38.6610729887907,4.3639074385032,50.6846775415508,54.8785393833528
1983,,56.676858545089,38.9888491008545,4.33429235405655,46.2292542979355,48.1827433058936
1982,,56.3783733299467,39.3149840418154,4.30664262823799,47.2900717242026,45.0807608517163
1981,,56.0933318394112,39.6304234724291,4.27624468815964,48.9067777259503,40.3679279723505
1980,,55.8373092975695,39.923547608008,4.23914309442251,41.7160127904508,35.6094149912296
1979,,55.5278187176069,40.2653845430206,4.20679673937251,,
1978,,55.2313757942811,40.6010425300978,4.16758167562114,,
1977,,54.9513274893493,40.9266615584235,4.12201095222714,,
1976,,54.6898392881816,41.2375552601204,4.07260545169807,,
1975,,54.4480275179551,41.5312422558143,4.02073022623057,,
1974,,54.1759274212864,41.8381392504237,3.98593332828988,,
1973,,53.9407459484682,42.1077374706343,3.95151658089753,,
1972,,53.7427686899488,42.3409845585056,3.91624675154562,,
1971,,53.5724603256124,42.549982549806,3.87755712458154,,
1970,,53.4252347085797,42.7414190406832,3.83334625073719,,
1969,,53.2449335552191,42.950189101189,3.80487734359194,,
1968,,53.082197849473,43.1433821020295,3.77442004849753,,
1967,,52.9572753688671,43.3011126845474,3.74161194658548,,
1966,,52.9149309903422,43.3781346245938,3.70693438506402,,
1965,,52.989856278987,43.3399595155079,3.67018420550517,,
1964,,52.9988538936848,43.3592842807741,3.64186182554112,,
1963,,53.1021137262405,43.2862897089048,3.6115965648547,,
1962,,53.2834018524682,43.1380982017021,3.5784999458297,,
1961,,53.5007928995407,42.9575445343511,3.54166256610823,,
1960,,53.7257416054594,42.7736226446196,3.50063574992104,,
