date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,8.16516986391651,,,,,
2018,8.04621747462187,66.9915330457314,24.7522577173464,8.25620923692216,88.8739846581286,84.7974827740554
2017,8.17879663762136,66.8713922380026,25.1162426963184,8.01236506567902,86.5655093832857,85.6280711230897
2016,7.88888201124313,66.7282541967632,25.4895582944562,7.7821875087807,92.2980554426563,89.2942960419928
2015,6.7466185354409,66.5679017984228,25.8639239048303,7.56817429674694,92.926133050541,89.8537307128736
2014,6.16815823729487,66.3797278657539,26.2554269138987,7.36484522034738,92.6765881708679,88.5027143519655
2013,6.32855165705892,66.1665824677981,26.6517043432271,7.18171318897473,91.5555138284762,89.4711610588751
2012,6.40334359839518,65.9276482949821,27.0573383304793,7.01501337453868,95.1778852706175,93.117514512016
2011,6.48992256389401,65.6597398641525,27.4815054258675,6.85875470997992,94.4635100044758,92.8045698260816
2010,6.9894745691758,65.3620912959636,27.9298244322676,6.7080842717688,93.3892021122035,93.2392248563287
2009,7.55983345524168,65.0454842232276,28.3846422618521,6.56987351492034,94.059188072803,93.6843463209025
2008,6.56485167759227,64.7073690828011,28.8512521917366,6.44137872546229,95.0885034938071,92.0874870564017
2007,6.94655609812157,64.3578167538863,29.3218914086683,6.32029183744537,93.8447220249293,92.8151347049798
2006,7.33110818885721,64.0097237842813,29.7871850469571,6.20309116876155,94.3282682111139,93.4904092237493
2005,8.01314174462937,63.6706171900613,30.2426746648233,6.08670814511544,92.7938615762831,93.6454755675983
2004,8.4960905055904,63.3326797500567,30.694437471271,5.97288277867232,93.1471569600719,93.2927420851528
2003,9.03250606014576,62.9984326669847,31.1407742021865,5.86079313082884,93.9001310886442,92.8380939788107
2002,9.18394724714332,62.66418881259,31.585737423599,5.750073763811,93.4643842349151,91.2337153296825
2001,8.80489292066658,62.3235273792449,32.0349078633167,5.64156475743836,94.7223470660995,89.9239096849926
2000,9.21207212955536,61.9737674711304,32.4910300061708,5.53520252269879,93.5354362473559,90.5899756482718
1999,9.21531771098218,61.6071556521359,32.9479491206422,5.44489522722188,92.1114816154981,88.5182095054757
1998,8.30429891019588,61.2335468402142,33.4076626383582,5.35879052142767,90.7767927787174,85.5659231394949
1997,7.8782003821228,60.8582912556844,33.8675302511871,5.2741784931285,88.5538287324673,82.5957679555213
1996,7.99461694018953,60.493533662669,34.3190754699609,5.18739086737017,83.9283792680185,81.5297788962116
1995,7.68583853303771,60.1492750297345,34.7552009094336,5.09552406083192,86.0651535655138,82.9364787712969
1994,6.5026577296132,59.8094282051615,35.1751966406712,5.01537515416724,82.2674008851236,79.8375635987142
1993,5.97115751563144,59.488798005369,35.5802148995388,4.93098709509213,81.9173275209049,78.345614135594
1992,5.93417544606863,59.186801639976,35.9699216281526,4.84327673187139,82.4706394283291,77.081591689945
1991,6.01536667100088,58.897856926585,36.3469009233468,4.7552421500682,80.2754154002755,77.5580735495937
1990,,58.6144448224213,36.7167483294077,4.66880684817102,75.6419035393129,67.5921319515752
1989,,58.3268020728678,37.0710159286493,4.60218199848291,69.1183725478505,63.4366671231401
1988,,58.0577616268835,37.4014771696747,4.54076120344177,65.4263639952762,61.7903557228672
1987,,57.803752075423,37.712893958104,4.48335396647303,59.6130342691206,58.3736544875786
1986,,57.5570720479564,38.01513289589,4.42779505615357,60.7273171230403,55.3414619310582
1985,,57.3138034685444,38.3139215836169,4.37227494783863,59.5492256938199,54.8681807720987
1984,,57.0356218769245,38.6264022575993,4.33797586547624,51.346737998772,55.5813999577322
1983,,56.7502942800205,38.9412237433118,4.30848197666773,47.0536539133878,48.6909828530649
1982,,56.463224203368,39.2557658462267,4.28100995040536,48.500358326124,45.9001258002119
1981,,56.193986695997,39.554575032059,4.25143827194396,50.2698631644994,41.8597361871493
1980,,55.9619637899265,39.8218406075316,4.21619560254185,43.1954889586802,36.7518315829148
1979,,55.6710359721902,40.1433406699887,4.18562335782107,,
1978,,55.397219115634,40.4541579983918,4.14862288597428,,
1977,,55.139438718786,40.7550652679251,4.10549601328894,,
1976,,54.8918477510923,41.0498113994137,4.05834084949393,,
1975,,54.6511151336096,41.3405123929598,4.00837247343058,,
1974,,54.3754824476992,41.6481376824261,3.97637986987477,,
1973,,54.1242129101293,41.9313370642018,3.94445002566892,,
1972,,53.902307207569,42.1860699755989,3.9116228168322,,
1971,,53.7104032987523,42.4136887708729,3.87590793037479,,
1970,,53.5505847558667,42.613968409355,3.83544683477825,,
1969,,53.3551513829264,42.833834598176,3.81101401889766,,
1968,,53.1854739115653,43.0293903748615,3.78513571357318,,
1967,,53.058129107272,43.1849267765767,3.75694411615135,,
1966,,53.0080036692906,43.2661689027054,3.72582742800399,,
1965,,53.0623792977083,43.2467923408205,3.69082836147113,,
1964,,53.0594854988517,43.2749192349631,3.66559526618518,,
1963,,53.1446980489547,43.2183175831127,3.6369843679326,,
1962,,53.3057019215164,43.0897797136839,3.60451836479963,,
1961,,53.5107200778026,42.9210575895453,3.56822233265205,,
1960,,53.7387190359031,42.7330057137608,3.52827525033609,,
