date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,6.51999998092651,,,,,,,
2018,7.41200017929077,,99.88931,63.9606027403227,15.9957769389964,20.0436203206809,98.0,96.0
2017,8.71500015258789,,,64.5904329718102,15.5762629946128,19.833304033577,96.0,98.0
2016,9.64299964904785,,,65.0915327519189,15.2285963492255,19.6798708988556,93.0,98.0
2015,9.8730001449585,,,65.387095191708,15.0943046763386,19.5186001319535,96.0,94.0
2014,10.8459997177124,,,65.9201204817489,14.8047787003783,19.2751008178728,95.0,92.0
2013,11.8669996261597,,,66.4204186200492,14.5550737741674,19.0245076057834,96.0,94.0
2012,15.0469999313354,,,66.8907828648981,14.3450799800485,18.7641371550534,90.0,91.0
2011,16.2059993743896,,99.8959,67.3284900244076,14.185975420446,18.4855345551464,92.0,92.0
2010,19.4820003509521,,,67.7321447702327,14.0892205765267,18.1786346532406,95.0,92.0
2009,17.5149993896484,,,67.9836440482379,14.0163699391781,17.999986012584,92.0,94.0
2008,7.73899984359741,,,68.1494469337836,14.0706382794498,17.7799147867666,96.0,94.0
2007,6.05200004577637,,,68.2462357074714,14.2407336554616,17.513030637067,95.0,94.0
2006,7.03000020980835,,,68.3332089924524,14.4633911982836,17.2033998092641,98.0,96.0
2005,10.0329999923706,,,68.4623353624989,14.6798413671801,16.857823270321,98.0,99.0
2004,11.7080001831055,,,68.1971424195924,15.229005305581,16.5738522748265,98.0,99.0
2003,12.0609998703003,,,67.9382162224049,15.837817583813,16.2239661937821,98.0,98.0
2002,13.8290004730225,,,67.6944347982663,16.4790163470566,15.8265488546771,98.0,97.0
2001,13.8210000991821,,,67.4445550989468,17.1458939336319,15.4095509674214,98.0,97.0
2000,14.2110004425049,,99.74657,67.1549859825079,17.8565316815454,14.9884823359467,97.0,96.0
1999,13.789999961853,,,66.7588696777366,18.4928565852135,14.7482737370499,97.0,95.0
1998,14.46399974823,,,66.3846316202636,19.0821497529982,14.5332186267382,97.0,94.0
1997,15.1400003433228,,,66.0493366708692,19.6317052859671,14.3189580431638,97.0,92.0
1996,20.7000007629395,,,65.7650054541816,20.1761152026438,14.0588793431745,96.0,93.0
1995,19.0,,,65.5394501849726,20.7392524556704,13.7212973593571,81.0,98.0
1994,18.7000007629395,,,65.5743685790532,21.0309447765161,13.3946866444307,81.0,97.0
1993,16.7000007629395,,,65.7174906036836,21.2642309617871,13.0182784345293,80.0,80.0
1992,6.59999990463257,,,65.9635287266044,21.4197936535924,12.6166776198033,95.0,87.0
1991,2.70000004768372,,,66.2883206085547,21.4839258603287,12.2277535311166,,
1990,,,,66.6678801804057,21.4568244947623,11.875295324832,,
1989,,,99.4523,66.7269034168652,21.5056084368488,11.767488146286,,
1988,,,,66.7915552286582,21.521766121512,11.6866786498299,,
1987,,,,66.8463710363557,21.5118388279448,11.6417901356995,,
1986,,,,66.9182655319162,21.4265621072971,11.6551723607867,,
1985,,,,67.0343751719456,21.2222533069742,11.7433715210802,,
1984,,,,66.9947982032,21.0466071321322,11.9585946646678,,
1983,,,,66.9555543185359,20.7695691068448,12.2748765746193,,
1982,,,,66.9067030696948,20.4601314413836,12.6331654889216,,
1981,,,,66.797523052968,20.2775640957259,12.9249128513061,,
1980,,,,66.6009754139679,20.3263198766078,13.0727047094243,,
1979,,,,66.4197991909191,20.3704684284474,13.2097323806335,,
1978,,,,66.2325970213189,20.5619382405794,13.2054647381017,,
1977,,,,66.0856900118974,20.8194510518711,13.0948589362315,,
1976,,,,66.0616085982275,20.9849302187668,12.9534611830056,,
1975,,,,66.2110175407906,20.9596573155739,12.8293251436356,,
1974,,,,66.1216452581671,21.1789118232203,12.6994429186127,,
1973,,,,66.1313220503663,21.2955197473806,12.5731582022531,,
1972,,,,66.2188403795434,21.3450585004015,12.436101120055,,
1971,,,,66.3176394065995,21.4239194789816,12.2584411144189,,
1970,,,,66.3835180597648,21.5948471439066,12.0216347963285,,
1969,,,,66.457368287096,21.7384406549589,11.8041910579452,,
1968,,,,66.5072710346377,21.9287984334371,11.5639305319251,,
1967,,,,66.5566646489549,22.1287248277492,11.3146105232959,,
1966,,,,66.6446138457967,22.2728835837987,11.0825025704046,,
1965,,,,66.7888429484111,22.3261458272219,10.8850112243669,,
1964,,,,66.8751202058773,22.3657230626159,10.7591567315068,,
1963,,,,66.9886015099815,22.3240380124329,10.6873604775856,,
1962,,,,67.121556133711,22.225749915709,10.6526939505801,,
1961,,,,67.2562405568996,22.1209087622702,10.6228506808302,,
1960,,,,67.384364848379,22.0412793848194,10.5743557668016,,
