date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,23.4050006866455,,,,,
2018,23.9710006713867,62.3825609677432,32.7163515354347,4.90108749682213,90.0,93.0
2017,24.1340007781982,62.1459655927181,32.9813906921905,4.87264371509141,90.0,93.0
2016,24.2999992370605,61.9357792417459,33.2251099984097,4.83911075984444,90.0,93.0
2015,24.3939990997314,61.7959214597617,33.4026219256627,4.80145661457557,90.0,93.0
2014,24.4710006713867,61.4066441719743,33.8001267467439,4.79322908128185,90.0,93.0
2013,24.5799999237061,61.0835925522423,34.139992999857,4.7764144479007,90.0,93.0
2012,25.3020000457764,60.8358635311073,34.4124101610228,4.7517263078699,91.0,95.0
2011,26.0419998168945,60.6301165592368,34.6494239909611,4.72045944980208,92.0,96.0
2010,26.8139991760254,60.4286671400459,34.8872333420693,4.68409951788477,88.0,93.0
2009,27.4640007019043,60.0410224251569,35.3313425096137,4.62763506522937,84.0,91.0
2008,27.6679992675781,59.6136939272689,35.8137795784773,4.57252649425377,80.0,88.0
2007,28.5510005950928,59.1688048146832,36.3123967624295,4.51879842288726,81.0,88.0
2006,29.6350002288818,58.7560724223205,36.7757001596531,4.46822741802638,82.0,89.0
2005,30.7840003967285,58.4185572567499,37.1594508129295,4.42199193032061,83.0,89.0
2004,31.7859992980957,57.8823394518281,37.7460941005214,4.37156644765048,84.0,90.0
2003,32.7700004577637,57.3575518196069,38.3289204834845,4.31352769690856,85.0,90.0
2002,33.6290016174316,56.8620805003771,38.8914041527636,4.24651534685927,78.0,84.0
2001,34.3689994812012,56.3880456246868,39.4436912375844,4.16826313772879,70.0,78.0
2000,35.2680015563965,55.9092760541597,40.0134002097595,4.0773237360808,74.0,83.0
1999,36.226001739502,55.3269717601007,40.5668378610815,4.10619037881777,77.0,88.0
1998,37.0019989013672,54.7909002981703,41.0764669719792,4.13263272985047,79.0,88.0
1997,37.939998626709,54.2818656493452,41.56426380711,4.15387054354476,80.0,87.0
1996,37.976001739502,53.7959903654621,42.0365911850906,4.16741844944737,82.0,87.0
1995,37.931999206543,53.3364619577183,42.4931449416886,4.17039310059317,83.0,88.0
1994,37.9160003662109,52.6905579039436,43.1250013431299,4.18444075292641,82.0,87.0
1993,37.8619995117188,52.0781611163428,43.7242486703149,4.19759021334229,82.0,86.0
1992,37.5730018615723,51.502874119459,44.2835461219726,4.21357975856836,81.0,85.0
1991,37.4249992370605,50.964483434804,44.8041622023955,4.23135436280049,81.0,84.0
1990,,50.4556721156369,45.2985096965688,4.24581818779431,80.0,82.0
1989,,50.1984623443578,45.5671342757519,4.23440337989023,79.0,81.0
1988,,50.0117106357097,45.7690883362068,4.21920102808345,79.0,80.0
1987,,49.8926956628502,45.9050835821232,4.20222075502664,78.0,79.0
1986,,49.844719701452,45.9691795821455,4.18610071640247,76.0,81.0
1985,,49.8685892626518,45.9602747077413,4.1711360296069,73.0,82.0
1984,,49.7677706316276,46.047871672716,4.18435769565635,63.0,74.0
1983,,49.7366334234626,46.067742894747,4.1956236817904,53.0,66.0
1982,,49.7651139245157,46.030040265175,4.20484581030927,51.0,61.0
1981,,49.8378936259933,45.9520583191017,4.21004805490496,49.0,56.0
1980,,49.9425855527493,45.8472454868663,4.21016896038441,49.0,56.0
1979,,49.8706883647164,45.883790715509,4.24552091977458,,
1978,,49.8273003046154,45.8943314980533,4.27836819733133,,
1977,,49.8131108897094,45.8794858270332,4.30740328325747,,
1976,,49.83272183732,45.837065288336,4.33021287434406,,
1975,,49.8955023811329,45.7597915905692,4.34470602829792,,
1974,,49.9507798714881,45.6862736426875,4.36294648582434,,
1973,,50.0124220448681,45.6146554741322,4.37292248099971,,
1972,,50.086296937596,45.5373017236177,4.37640133878627,,
1971,,50.1836380667557,45.4390688324495,4.37729310079478,,
1970,,50.3124617319419,45.3088949059505,4.37864336210767,,
1969,,50.2907320642325,45.288689135896,4.42057879987156,,
1968,,50.2841865027931,45.2472082018126,4.46860529539436,,
1967,,50.2965374690966,45.1855138822351,4.51794864866831,,
1966,,50.3278848665419,45.1141120032619,4.5580031301962,,
1965,,50.3775319687826,45.0409083319419,4.58155969927551,,
1964,,50.3838948927982,44.9928797704708,4.62322533673098,,
1963,,50.4058993947342,44.9450768968588,4.64902370840702,,
1962,,50.4598819977541,44.8803179249278,4.65980007731816,,
1961,,50.5761587074535,44.7630995790782,4.66074171346833,,
1960,,50.7748993753508,44.5680604822817,4.65704014236746,,
