date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,2.81399989128113,,,,,
2018,2.93199992179871,55.6215816108536,41.1249865894663,3.25343179968014,91.0,84.0
2017,3.00399994850159,55.2985756107852,41.4787166758893,3.22270771332556,87.0,86.0
2016,3.08100008964539,55.0003302965671,41.8032055990392,3.19646410439377,80.0,79.0
2015,2.0789999961853,54.7322253104156,42.0914398409742,3.1763348486102,64.0,52.0
2014,2.13199996948242,54.4102703379695,42.3920967192154,3.19763294281508,58.0,50.0
2013,2.19600009918213,54.1217804438163,42.6453522722084,3.23286728397532,74.0,76.0
2012,2.21499991416931,53.8840605572171,42.8396780295474,3.27626141323547,80.0,80.0
2011,2.23799991607666,53.7166053133797,42.9671310831293,3.31626360349108,71.0,77.0
2010,2.26600003242493,53.6233898928805,43.0342790533685,3.34233105375093,65.0,70.0
2009,2.22699999809265,53.5166175519088,43.1168528126201,3.36652963547109,83.0,81.0
2008,2.07299995422363,53.5156574811661,43.1037512542061,3.38059126462778,76.0,75.0
2007,2.09400010108948,53.5786159725077,43.036981597736,3.38440242975628,71.0,65.0
2006,2.16199994087219,53.65715780706,42.9586469586938,3.38419523424619,63.0,60.0
2005,2.24200010299683,53.7465088269037,42.8670377326361,3.38645344046019,62.0,60.0
2004,2.28200006484985,53.7636682143517,42.824950863473,3.41138092217533,41.0,31.0
2003,2.31200003623962,53.7173169956497,42.8522309296737,3.43045207467653,47.0,35.0
2002,2.30900001525879,53.6780319823693,42.8754113178404,3.4465566997903,52.0,39.0
2001,2.27500009536743,53.7159178273532,42.8232315829064,3.46085058974037,58.0,42.0
2000,2.27600002288818,53.8358675717652,42.6928132293425,3.47131919889231,63.0,46.0
1999,2.28800010681152,53.6030509921058,42.9719170044805,3.4250320034137,69.0,50.0
1998,2.25799989700317,53.486203073628,43.1114673755234,3.40232955084865,,
1997,2.25999999046326,53.3838849764552,43.2203652133392,3.39574981020565,,
1996,2.26799988746643,53.2178527159268,43.3838252460798,3.39832203799344,,
1995,2.2590000629425,53.0209164257547,43.5693251839792,3.40975839026616,,
1994,2.25600004196167,52.9065544152433,43.6614677222623,3.43197786249436,,
1993,2.24399995803833,52.5744688493291,44.0037658743188,3.42176527635214,,
1992,2.18400001525879,52.1975655767517,44.4115877907139,3.39084663253438,,
1991,2.15400004386902,51.914943050449,44.7370987957193,3.34795815383168,,
1990,,51.7897675816701,44.9130791671323,3.29715325119755,,
1989,,51.51433870846,45.1819214586189,3.30373983292118,,
1988,,51.3242837602977,45.3839727060204,3.29174353368193,,
1987,,51.2435703816811,45.4909544163513,3.26547520196757,,
1986,,51.2869777046176,45.4841461081185,3.22887618726398,,
1985,,51.442197008604,45.3741202393191,3.18368275207689,,
1984,,51.3155695181683,45.5128189950044,3.17161148682726,,
1983,,51.3610311356015,45.4694110081192,3.16955785627935,,
1982,,51.5106688521591,45.3185073710105,3.17082377683046,,
1981,,51.7040627967309,45.1271246064,3.16881259686913,,
1980,,51.9265235150979,44.9137911960112,3.15968528889083,,
1979,,51.9834493336484,44.8518265033596,3.16472416299196,,
1978,,52.0439837924217,44.7909546364726,3.16506157110575,,
1977,,52.1322703795194,44.706407271266,3.1613223492146,,
1976,,52.2846747792611,44.5594214733424,3.15590374739646,,
1975,,52.5288481004116,44.3222289703159,3.14892292927248,,
1974,,52.572206979419,44.266299982651,3.16149303792995,,
1973,,52.6546422727399,44.1724127456639,3.17294498159626,,
1972,,52.7847157843625,44.0334009916131,3.18188322402441,,
1971,,52.9702701536397,43.843414735324,3.18631511103625,,
1970,,53.2282452721081,43.5872009594997,3.1845537683922,,
1969,,53.2570021851413,43.5454906030141,3.19750721184455,,
1968,,53.305751669068,43.489697731147,3.204550599785,,
1967,,53.4127632795742,43.3812599047608,3.20597681566497,,
1966,,53.6427413731366,43.1544982818517,3.20276034501172,,
1965,,54.041355647971,42.7634844374196,3.19515991460941,,
1964,,54.2147514453145,42.5854810859011,3.19976746878441,,
1963,,54.5284367705374,42.270192531981,3.20137069748163,,
1962,,54.9415933512079,41.8604411956306,3.19796545316154,,
1961,,55.3543633820128,41.4590887523615,3.18654786562573,,
1960,,55.7127877445902,41.1211837051035,3.16602855030631,,
