date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,6.35200023651123,,,,,
2018,6.14699983596802,65.4125423380302,14.8824245055089,19.7050331564608,92.0,92.0
2017,7.07299995422363,65.9715598503416,14.7274878102097,19.3009523394487,94.0,94.0
2016,7.86199998855591,66.389657653405,14.6418983948058,18.9684439517892,94.0,94.0
2015,9.11999988555908,66.7197497851208,14.5946969180185,18.6855532968607,94.0,93.0
2014,10.6979999542236,67.0528356582558,14.545900601616,18.4012637401283,93.0,93.0
2013,11.7700004577637,67.3350096745226,14.5428580354371,18.1221322900403,93.0,93.0
2012,13.3649997711182,67.5808168018963,14.5731443238208,17.8460388742829,93.0,93.0
2011,15.3900003433228,67.7907493765816,14.6439502069629,17.5653004164555,94.0,92.0
2010,17.8139991760254,67.9632859297731,14.7654023156293,17.2713117545976,96.0,95.0
2009,13.7849998474121,67.8618303173243,15.0526084808186,17.0855612018571,96.0,98.0
2008,5.82600021362305,67.7141741094008,15.4171743910809,16.8686514995183,97.0,96.0
2007,4.25,67.5447225819121,15.8409379621845,16.6143394559034,97.0,95.0
2006,5.78000020980835,67.3831446099169,16.2971058036802,16.3197495864028,97.0,94.0
2005,8.32499980926514,67.2411421572673,16.773027759737,15.9858300829957,97.0,94.0
2004,10.6840000152588,67.0188762281024,17.3864899053009,15.5946338665967,98.0,94.0
2003,12.8739995956421,66.7876457262185,18.0290332170111,15.1833210567704,98.0,94.0
2002,13.0080003738403,66.5512547597614,18.687903928369,14.7608413118696,98.0,95.0
2001,16.8400001525879,66.3079635827126,19.3564359998561,14.3356004174314,97.0,95.0
2000,15.9309997558594,66.0518944474603,20.0395278023918,13.9085777501479,97.0,94.0
1999,13.3879995346069,65.908152628046,20.4820891872647,13.6097581846893,97.0,93.0
1998,13.7110004425049,65.8276282150272,20.8674142600814,13.3049575248914,97.0,93.0
1997,14.1300001144409,65.8115706819445,21.2001419030087,12.9882874150467,96.0,90.0
1996,16.3999996185303,65.8563454351515,21.4922985906926,12.6513559741558,96.0,91.0
1995,17.5400009155273,65.9513066189601,21.7592618124023,12.2894315686376,94.0,90.0
1994,13.8000001907349,65.9613503773352,22.0157993260335,12.0228502966313,93.0,83.0
1993,13.8000001907349,66.0413643247478,22.2196008282999,11.7390348469522,92.0,83.0
1992,1.20000004768372,66.1819101728638,22.3718624139328,11.4462274132034,89.0,78.0
1991,1.10000002384186,66.360203783303,22.4832634970468,11.1565327196503,,
1990,,66.5564043630539,22.5650190000906,10.8785766368554,,
1989,,66.6528266493019,22.630193468779,10.716979881919,,
1988,,66.7386726552908,22.6863691378852,10.574958206824,,
1987,,66.7935092754174,22.7433401427496,10.4631505818329,,
1986,,66.8162747557983,22.7795496843817,10.40417555982,,
1985,,66.8115597447449,22.7756479696115,10.4127922856436,,
1984,,66.6269984907226,22.8396999104848,10.5333015987926,,
1983,,66.3842990526274,22.878991826701,10.7367091206717,,
1982,,66.0886171509727,22.9271110661704,10.9842717828568,,
1981,,65.7340468071046,23.0592377280795,11.206715464816,,
1980,,65.3260502046194,23.3203138663153,11.3536359290653,,
1979,,64.947745771955,23.5852212174455,11.4670330105994,,
1978,,64.5361769713137,23.9464323649729,11.5173906637134,,
1977,,64.1264769010279,24.3644804948738,11.5090426040982,,
1976,,63.7831947108463,24.7569923859317,11.4598129032219,,
1975,,63.5544680480854,25.066242199244,11.3792897526705,,
1974,,63.2740315647229,25.5153122895729,11.2106561457042,,
1973,,63.0801556752027,25.9309755899379,10.9888687348594,,
1972,,62.9628334804578,26.3130080945526,10.7241584249896,,
1971,,62.8859289897599,26.6753688710499,10.4387021391903,,
1970,,62.820977967765,27.0300256393416,10.1489963928934,,
1969,,62.9425989563447,27.1815989289564,9.87580211469898,,
1968,,63.1008049323068,27.2710752914733,9.62811977621989,,
1967,,63.2927882785658,27.3060836677154,9.40112805371885,,
1966,,63.5083404017526,27.3099744138207,9.18168518442663,,
1965,,63.7272033079751,27.314731311306,8.95806538071887,,
1964,,64.0112004476353,27.2496629241886,8.73913662817609,,
1963,,64.2894897266442,27.1777020380454,8.53280823531042,,
1962,,64.5307360822149,27.1376344947326,8.33162942305247,,
1961,,64.7307263970997,27.1397993959219,8.12947420697832,,
1960,,64.9362281921646,27.1378213320741,7.92595047576137,,
