date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,5.5228366456403,,,,,
2018,5.45864054905753,65.2907552918608,27.5525934775662,7.15665123057303,85.2303226538488,84.9453147271354
2017,5.56479850833029,65.346441121627,27.7196079625613,6.9339509158117,85.2989528089798,85.4790528332757
2016,5.56466454169453,65.3935076829145,27.8842823502521,6.72220996683338,85.4792508073837,85.6098229194738
2015,5.42182754601244,65.4211487765115,28.0466547184973,6.53219650499128,84.2553619918732,84.2018449273252
2014,5.28003219829694,65.3907404192518,28.221510495752,6.38774908499616,83.3932922425502,83.3366545452518
2013,5.31624861114527,65.3287448351193,28.4003542525209,6.27090091235976,83.323365176364,82.8996846144939
2012,5.29605735454106,65.2408879881819,28.583570654484,6.17554135733409,83.4783890605952,83.4211209563476
2011,5.34010518431879,65.1412835180727,28.7674192275849,6.09129725434244,83.9311369561377,83.6554357987509
2010,5.40647057685034,65.0391621538951,28.9507155733315,6.01012227277343,83.35275294108,82.4197286177047
2009,5.56151908324777,64.8764347400812,29.1646162070711,5.95894905284763,82.5322770484947,81.8677959518
2008,5.23808387541238,64.7025048170319,29.3803686432112,5.91712653975691,79.7713512743625,79.6632048842471
2007,5.29864818414852,64.5078853553482,29.6132863517373,5.87882829291452,78.0615353673835,76.8820312777099
2006,5.47473525538929,64.2723662066196,29.894285038993,5.83334875438735,77.3501727124732,76.5106145496532
2005,5.72727933281926,63.9919171714928,30.2356976612842,5.77238516722291,75.4983899765232,75.2830755214907
2004,5.79848070917022,63.6301456235305,30.6432536461493,5.72660073032033,74.0034565217449,74.4472613095599
2003,5.96765918701474,63.2121367699449,31.1263577314335,5.66150549862166,72.024069851239,72.282561803207
2002,5.90575067806844,62.774443134718,31.6442348882625,5.58132197701955,70.3872700604088,70.6567336142489
2001,5.7024736639576,62.3883239562374,32.1133758576748,5.49830018608781,71.1249241000016,71.1749440731429
2000,5.59832270921317,62.096786011119,32.4847949151572,5.41841907372378,70.3072113336421,70.5916815417655
1999,5.7089757666735,61.7053245357782,32.94162672441,5.35304873981185,69.718185690597,69.7509556900624
1998,5.530357311394,61.3990812321115,33.3066818011712,5.29423696671718,69.0709457852772,69.9816711578164
1997,5.33482052376213,61.1553378918855,33.6078759438927,5.23678616422182,69.3490123016732,69.6067475335365
1996,5.22667251774757,60.900945020224,33.9299577050753,5.16909727470072,71.0391567982286,69.5891215851414
1995,5.12404538199308,60.581094967428,34.3368909509854,5.08201408158663,71.9477019186442,71.2596876911494
1994,4.83405060818072,60.3431045296321,34.6346286534376,5.0222668169303,70.0578850626633,70.9739220359003
1993,4.55570439287926,60.0993999470211,34.9477634732958,4.95283657968314,68.7986233476959,68.8555928860494
1992,4.29483238704938,59.8691722088174,35.253711366706,4.87711642447661,68.3649619859888,69.0031516427069
1991,4.26115765930175,59.6994375551137,35.4958790607877,4.80468338409864,68.2112582982706,71.0533109175016
1990,,59.6268819223179,35.6313158461818,4.74180223150032,72.4182389562126,75.4940822766418
1989,,59.4272693902132,35.8718333992519,4.70089721053482,66.3561017299541,67.3859780399922
1988,,59.2413314146642,36.0913355461769,4.66733303915885,60.2767370675773,61.8495123395957
1987,,59.0628289458768,36.2985062889005,4.63866476522275,49.9058553668501,51.5101235913419
1986,,58.8884270305918,36.502094776948,4.60947819246017,41.2124281162736,46.588351061483
1985,,58.726581778853,36.6974653978603,4.57595282328672,41.366520904382,43.2007815747074
1984,,58.4098451980325,37.0297546919803,4.56040010998722,46.5331019935469,38.0050295046667
1983,,58.0852702194674,37.3698175407237,4.54491223980896,,32.5394773911732
1982,,57.7613931289672,37.7129273826598,4.52567948837304,,
1981,,57.4404095782978,38.0638568169841,4.49573360471815,,
1980,,57.1220320932077,38.4290214404892,4.4489464663031,,
1979,,56.7772628314099,38.8093617383652,4.41337543022494,,
1978,,56.4584237515082,39.177218320785,4.36435792770677,,
1977,,56.1815558960075,39.5145084070465,4.30393569694595,,
1976,,55.962383083776,39.8000559761779,4.23756094004613,,
1975,,55.8094063149072,40.0220848322749,4.16850885281798,,
1974,,55.6246096999209,40.248497219077,4.12689308100209,,
1973,,55.5040431252471,40.4109588704196,4.08499800433328,,
1972,,55.4360932744214,40.5229581468382,4.04094857874033,,
1971,,55.4033173445457,40.6048275486709,3.99185510678345,,
1970,,55.4084698582408,40.655264299972,3.93626584178721,,
1969,,55.2885228799552,40.8044906006597,3.90698651938511,,
1968,,55.1552893154543,40.9720289034028,3.8726817811429,,
1967,,55.0474131123783,41.1198148101502,3.83277207747145,,
1966,,55.0506746877103,41.1603638128133,3.78896149947643,,
1965,,55.2276637746341,41.029828097216,3.74250812814999,,
1964,,55.2613207284359,40.9790069357715,3.75967233579258,,
1963,,55.4466060331472,40.7808095611386,3.77258440571421,,
1962,,55.7523466603988,40.4694401587465,3.77821318085466,,
1961,,56.0799961672458,40.1509374787088,3.76906635404536,,
1960,,56.3512056094004,39.9093368975908,3.73945749300883,,
