date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,5.36299991607666,,,,,,,
2018,5.58500003814697,,,69.9380218288939,15.8788239869589,14.1831541841472,99.0,99.0
2017,5.52199983596802,,,69.8281833386832,16.0651112500211,14.1067054112956,99.0,99.0
2016,6.29099988937378,,,69.7182977019114,16.2394003425036,14.042301955585,99.0,99.0
2015,6.66900014877319,,,69.6279252780371,16.3778516112298,13.9942231107331,99.0,99.0
2014,5.85200023651123,,,69.4019649568272,16.6370312128054,13.9610038303674,99.0,99.0
2013,5.84800004959106,,,69.1584340902389,16.8989604836331,13.942605426128,99.0,99.0
2012,5.1399998664856,,,68.9068807607322,17.1533953588254,13.9397238804424,99.0,99.0
2011,4.90100002288818,,,68.6430184842492,17.4012674583628,13.955714057388,96.0,99.0
2010,4.36100006103516,,,68.3629690739512,17.6440127665691,13.9930181594797,96.0,99.0
2009,5.12200021743774,,,68.1447333176242,17.8127272031531,14.0425394792227,96.0,99.0
2008,5.05999994277954,,,67.8773395412079,17.9967243847921,14.1259360740001,96.0,99.0
2007,4.06500005722046,,,67.5714601560279,18.1990461450997,14.2294936988724,96.0,99.0
2006,4.73099994659424,,,67.2547840467344,18.4117609157879,14.3334550374777,95.0,99.0
2005,4.48799991607666,,,66.9567230616676,18.6225815892819,14.4206953490505,95.0,99.0
2004,5.11299991607666,,,66.8787722517203,18.7336079270681,14.3876198212116,95.0,99.0
2003,3.67499995231628,,,66.8379824824176,18.8273771466639,14.3346403709185,95.0,98.0
2002,2.62100005149841,,,66.8439532504293,18.8925147500935,14.2635319994772,94.0,99.0
2001,1.80499994754791,,,66.8942157847151,18.9292091286194,14.1765750866655,94.0,99.0
2000,2.34500002861023,,,66.9823413276222,18.9439192117458,14.073739460632,93.0,99.0
1999,2.39000010490417,,,67.0228306690597,18.9005755202174,14.076593810723,92.0,98.0
1998,2.76300001144409,,,67.0946122071328,18.8357877383857,14.0696000544814,92.0,98.0
1997,2.52699995040894,,,67.2060651373656,18.7473510264921,14.0465838361422,91.0,98.0
1996,3.28600001335144,,,67.3842207348327,18.6186440063865,13.9971352587808,91.0,98.0
1995,2.91799998283386,,,67.6561745833017,18.4332192410125,13.9106061756858,88.0,97.0
1994,3.48000001907349,,,67.9477080656904,18.2025330924651,13.8497588418445,86.0,95.0
1993,2.32999992370605,,,68.2898616466319,17.9529245734734,13.7572137798947,83.0,94.0
1992,2.02900004386902,,,68.6459169021498,17.7153967613198,13.6386863365305,80.0,93.0
1991,1.48199999332428,,,68.9705242887315,17.5156334120181,13.5138422992504,80.0,91.0
1990,,,,69.2470487779963,17.3555688845468,13.3973823374569,80.0,90.0
1989,,,,69.4524312560563,17.2099463603967,13.337622383547,80.0,90.0
1988,,,,69.595956356016,17.110376939896,13.293666704088,71.0,90.0
1987,,,,69.6627124216472,17.0675706994217,13.2697168789311,77.0,95.0
1986,,,,69.6364731220129,17.0951484541563,13.2683784238308,68.0,86.0
1985,,,,69.5208839851288,17.1896294196531,13.2894865952181,58.0,77.0
1984,,,,69.2554572916524,17.378312989516,13.3662297188316,49.0,68.0
1983,,,,68.8564350337389,17.6679760747868,13.4755888914742,39.0,75.0
1982,,,,68.3832833924042,18.0296797024361,13.5870369051597,,
1981,,,,67.9391196361653,18.4077569829569,13.6531233808778,,
1980,,,,67.6022832781193,18.7568330778655,13.6408836440152,,
1979,,,,67.1867118352541,19.1102817340107,13.7030064307352,,
1978,,,,66.8848127663935,19.4367897904302,13.6783974431763,,
1977,,,,66.6675023957567,19.7549642307949,13.5775333734483,,
1976,,,,66.4710963529689,20.1060679148764,13.4228357321547,,
1975,,,,66.2551591460607,20.515956980985,13.2288838729544,,
1974,,,,65.9377144500539,20.9078302566424,13.1544552933036,,
1973,,,,65.6547176260078,21.2963095932195,13.0489727807728,,
1972,,,,65.4236561258523,21.6599102296995,12.9164336444482,,
1971,,,,65.2752859221684,21.9691081332219,12.7556059446097,,
1970,,,,65.2387036753536,22.1966743997079,12.5646219249385,,
1969,,,,65.2623034834566,22.3600055692648,12.3776909472786,,
1968,,,,65.365924831911,22.4560348267299,12.1780403413591,,
1967,,,,65.5557450475276,22.4766401278173,11.9676148246551,,
1966,,,,65.8313754628947,22.4186944789558,11.7499300581495,,
1965,,,,66.1864968909108,22.292457316279,11.5210457928102,,
1964,,,,66.4363434199031,22.1889261560455,11.3747304240514,,
1963,,,,66.7528484732554,22.0121497835685,11.2350017431762,,
1962,,,,67.1278410242499,21.7696747457928,11.1024842299573,,
1961,,,,67.5445200840471,21.4861974351139,10.969282480839,,
1960,,,,67.9936933385889,21.1819904128574,10.8243162485537,,
